Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Ecuador ,1970,6172215,455,744732000.0,83096000.0,270126000.0,2403605000.0,277339000.0,559635000.0,450556000.0,2126266000.0,372234000.0,663527000.0,702610000.0,627703000.0,2722170000.0,141037000.0,422992000.0,2806228071.0,2861132000.0
 Ecuador ,1971,6350944,423,695349000.0,117359000.0,291268000.0,2304476000.0,234341000.0,616618000.0,512330000.0,2070135000.0,459462000.0,635741000.0,663261000.0,599182000.0,2617297000.0,148573000.0,393573000.0,2689521709.0,2752900000.0
 Ecuador ,1972,6533630,470,822726000.0,106895000.0,395125000.0,2544022000.0,293838000.0,740499000.0,633048000.0,2250184000.0,495186000.0,692674000.0,754527000.0,693773000.0,3022636000.0,170542000.0,474173000.0,3070425900.0,3184460000.0
 Ecuador ,1973,6720443,546,987079000.0,95351000.0,695436000.0,3044078000.0,420376000.0,798416000.0,915277000.0,2623702000.0,648040000.0,725637000.0,853099000.0,1018580000.0,3668688000.0,190534000.0,524045000.0,3668482129.0,3889890000.0
 Ecuador ,1974,6911123,896,1589253000.0,241532000.0,1494151000.0,4713377000.0,1057872000.0,1625489000.0,966016000.0,3655505000.0,1236921000.0,1244452000.0,1503967000.0,1846003000.0,6351404000.0,296228000.0,874421000.0,6193275006.0,6596096000.0
 Ecuador ,1975,7105786,1063,1727602000.0,294103000.0,1241954000.0,6390137000.0,1618152000.0,1590018000.0,1430749000.0,4771985000.0,1494138000.0,1456115000.0,1685787000.0,2382254000.0,7461716000.0,388137000.0,983833000.0,7550946381.0,7727971000.0
 Ecuador ,1976,7304349,1206,1828212000.0,441230000.0,1457249000.0,7350648000.0,1834862000.0,1913456000.0,1719679000.0,5515786000.0,1633787000.0,1755597000.0,2010689000.0,2865581000.0,8764003000.0,516111000.0,1102180000.0,8809906136.0,9087566000.0
 Ecuador ,1977,7506665,1429,2061277000.0,506469000.0,1796750000.0,8524435000.0,2304812000.0,2699023000.0,2180244000.0,6219623000.0,1999147000.0,2284083000.0,2570125000.0,3450009000.0,10568118000.0,665552000.0,1314686000.0,10724429808.0,11021061000.0
 Ecuador ,1978,7712718,1500,2168870000.0,646200000.0,1755579000.0,9203169000.0,2357046000.0,3170253000.0,2612519000.0,6846123000.0,2212214000.0,2346035000.0,2581568000.0,3731738000.0,11375108000.0,902873000.0,1343859000.0,11572819744.0,11916787000.0
 Ecuador ,1979,7922490,1712,2270137000.0,730352000.0,2537283000.0,10977396000.0,2668921000.0,3228298000.0,2855925000.0,8308475000.0,2574606000.0,2908246000.0,3335617000.0,4598032000.0,13580678000.0,1047323000.0,1599217000.0,13565877772.0,14168371000.0
