Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 El Salvador ,1970,3619090,217,247567862.0,23348691.0,230366570.0,799597742.0,99472304.0,122918364.0,111004553.0,700125438.0,227428123.0,151199600.0,165970337.0,175562611.0,860654975.0,44656840.0,203548635.0,786485903.0,929895894.0
 El Salvador ,1971,3708010,223,246890522.0,25942990.0,240100369.0,845912366.0,99111897.0,152115981.0,129385177.0,746800468.0,259505941.0,161799160.0,176912401.0,188106995.0,904270320.0,46052366.0,220365046.0,826272837.0,978000194.0
 El Salvador ,1972,3798109,232,246550489.0,33077130.0,302106602.0,897602660.0,110644307.0,147068666.0,170830738.0,786958353.0,292302993.0,175515267.0,191655933.0,200869029.0,963080634.0,48843149.0,242084904.0,880550919.0,1042374623.0
 El Salvador ,1973,3890639,261,312253332.0,33725831.0,359789438.0,1017309541.0,125781797.0,219522457.0,187770374.0,891527745.0,396106320.0,190168250.0,209070530.0,229192028.0,1113349333.0,50936622.0,278170990.0,1015953026.0,1205137269.0
 El Salvador ,1974,3984049,301,338331736.0,47345997.0,460733521.0,1220542983.0,154614688.0,321534520.0,258770568.0,1065928295.0,580284599.0,220408672.0,241376788.0,271657002.0,1317468128.0,60356560.0,358400045.0,1199777529.0,1426492589.0
 El Salvador ,1975,4076751,333,348152890.0,71018936.0,533556375.0,1368425260.0,180563856.0,357220230.0,371576929.0,1187861403.0,616687035.0,259065707.0,281061320.0,318067516.0,1496593134.0,65589733.0,412702740.0,1359541122.0,1619631977.0
 El Salvador ,1976,4166890,421,546613584.0,70046074.0,731116438.0,1700316012.0,247239133.0,403359674.0,412663030.0,1453076880.0,757252753.0,290864385.0,324515913.0,370737390.0,1906135012.0,73614009.0,520608041.0,1754634628.0,2063782953.0
 El Salvador ,1977,4256699,514,804002879.0,106041973.0,985997760.0,1957041195.0,290127554.0,605219743.0,548175081.0,1666913641.0,968101331.0,326404085.0,365878191.0,447248775.0,2397575430.0,84778219.0,589625392.0,2188281365.0,2592206874.0
 El Salvador ,1978,4346522,537,693935088.0,103771962.0,839269757.0,2375760721.0,358965272.0,661091727.0,595388057.0,2016795450.0,1096052177.0,375660862.0,423355077.0,533509652.0,2566589656.0,101524534.0,710493343.0,2332316235.0,2782092267.0
 El Salvador ,1979,4433041,595,849384676.0,109284847.0,1147146205.0,2555030540.0,408341017.0,560882621.0,544931442.0,2146689524.0,1152278464.0,416812093.0,477543001.0,596097707.0,2873054682.0,101873416.0,738871035.0,2636115691.0,3113035380.0
 El Salvador ,1980,4508992,601,839901913.0,99231938.0,1098116701.0,2766896879.0,449427403.0,426429396.0,436089315.0,2317469475.0,1068299458.0,417435597.0,486054870.0,728824822.0,2977210234.0,109199929.0,713996761.0,2710754746.0,3225158183.0
 El Salvador ,1981,4549173,576,713239286.0,92097616.0,831699024.0,2897341962.0,493397045.0,443731688.0,422754353.0,2403944917.0,1046673963.0,423670632.0,494023948.0,763309362.0,2887596707.0,114433152.0,710493343.0,2621311251.0,3127502838.0
 El Salvador ,1982,4599904,586,702740512.0,97610501.0,736163593.0,2998225190.0,509975762.0,427150325.0,406896559.0,2488249427.0,920164816.0,430840922.0,504287539.0,832831331.0,2990395983.0,121061902.0,731864198.0,2694716602.0,3242880820.0
 El Salvador ,1983,4689680,643,731866143.0,111230571.0,896230505.0,3427074315.0,579173887.0,441208437.0,425277183.0,2847900428.0,1094250052.0,490073755.0,578943838.0,944093904.0,3389231790.0,143739203.0,879358131.0,3017021609.0,3671840964.0
 El Salvador ,1984,4782219,730,785714693.0,115122020.0,914256058.0,3996573119.0,673600494.0,502487387.0,481500269.0,3322972625.0,1199133703.0,572376218.0,674978763.0,1101082640.0,3893984093.0,167812031.0,1049273945.0,3489530003.0,4216179089.0
 El Salvador ,1985,4876757,884,884267699.0,141713585.0,1153274893.0,5011710606.0,800103316.0,560161692.0,620976769.0,4211607290.0,1543699925.0,731369612.0,853527197.0,1336056394.0,4795061940.0,213864397.0,1365632667.0,4311176452.0,5183328689.0
 El Salvador ,1986,4970788,617,692570165.0,91395153.0,905522004.0,3355257380.0,520501498.0,486411327.0,481688012.0,2834755882.0,1065939342.0,495690523.0,574369589.0,901351129.0,3422088859.0,146681035.0,1015721786.0,3065570398.0,3682908376.0
 El Salvador ,1987,5067200,688,541702867.0,115284164.0,792223063.0,3964222321.0,573227173.0,515644338.0,569078536.0,3390995148.0,1088483253.0,630517920.0,722342332.0,1061822921.0,3900602559.0,185081668.0,1274368606.0,3487679448.0,4184893210.0
 El Salvador ,1988,5170440,801,643642575.0,132147107.0,779965687.0,4635549450.0,627828818.0,630992949.0,622778791.0,4007720632.0,1099115788.0,749451214.0,849372904.0,1269022921.0,4632226878.0,210375581.0,1527665789.0,4141696450.0,4948955862.0
 El Salvador ,1989,5270825,928,637885183.0,159549391.0,769150355.0,5543768769.0,708199557.0,890347091.0,773608029.0,4835569212.0,1376102338.0,909691615.0,1023715173.0,1498730661.0,5464165029.0,247008145.0,1897276478.0,4889012271.0,5828577337.0
 El Salvador ,1990,5367179,745,771465656.0,150108201.0,891100175.0,4760153272.0,476010767.0,665442389.0,658358572.0,4284142505.0,1499153633.0,901682576.0,972742738.0,1445417099.0,4527584184.0,341070146.0,846780343.0,3998802246.0,4817542204.0
 El Salvador ,1991,5461070,810,829470464.0,164971212.0,904756573.0,5139227926.0,534498480.0,811774982.0,797699913.0,4604729446.0,1603417129.0,987234095.0,1043061378.0,1589989770.0,4909468359.0,335033758.0,946941777.0,4422462556.0,5252342352.0
 El Salvador ,1992,5552206,901,753709082.0,236336013.0,937870799.0,5672508248.0,571447900.0,1094835866.0,1004710422.0,5101060348.0,1891815586.0,1143333462.0,1213793738.0,1736501725.0,5397303073.0,426190374.0,1030772142.0,5003316157.0,5813399327.0
 El Salvador ,1993,5630987,1037,850318807.0,286112976.0,1294121999.0,6401371509.0,618925047.0,1266420741.0,1201212938.0,5782446462.0,2281645096.0,1368868620.0,1468592445.0,1931168440.0,6179007887.0,490855702.0,1151959517.0,5840625010.0,6680269152.0
 El Salvador ,1994,5693038,1201,956988117.0,355415462.0,1529942423.0,7291197377.0,711544708.0,1563378354.0,1439494744.0,6579652669.0,2705134135.0,1532770468.0,1655297170.0,2239421039.0,7089216624.0,537842448.0,1344252388.0,6840175823.0,7679384019.0
 El Salvador ,1995,5748195,1400,1028600471.0,390748914.0,1923081229.0,8503287394.0,871680673.0,1868632409.0,1700740778.0,7631606722.0,3373053921.0,1709461351.0,1882826013.0,2607560726.0,8147412909.0,636713580.0,1600963203.0,8047577755.0,8921947111.0
 El Salvador ,1996,5797140,1505,1040147955.0,414361290.0,2026644354.0,9360561881.0,1047553778.0,1471977173.0,1562832882.0,8313008103.0,3272855646.0,1788514211.0,2022316042.0,2935747962.0,8775964013.0,703093644.0,1660297120.0,8723243641.0,9586327762.0
 El Salvador ,1997,5842638,1607,1115653927.0,438902548.0,2659875561.0,9856813106.0,1112449549.0,1541760692.0,1702987752.0,8744363558.0,3836743479.0,1884220705.0,2138708378.0,3270031571.0,9440624038.0,761100158.0,1716227456.0,9388213196.0,10221705880.0
 El Salvador ,1998,5885083,1722,1035504068.0,497246239.0,2667080419.0,10220106137.0,1293488500.0,2039804422.0,1872216045.0,8926617637.0,3990321067.0,2038585560.0,2366316082.0,3632143484.0,10123232568.0,827719752.0,1764302941.0,10136186285.0,10936669911.0
 El Salvador ,1999,5923852,1760,895257950.0,494756346.0,2752937969.0,10708274365.0,1411813489.0,1952333634.0,1876179090.0,9296460876.0,4129349014.0,2185618588.0,2537775469.0,3885711090.0,10459510164.0,896815667.0,1749193643.0,10424644961.0,11284196954.0
 El Salvador ,2000,5958482,1850,845307546.0,532349451.0,3161574405.0,11476927160.0,1542145231.0,2082285972.0,2083926539.0,9934781929.0,4935859868.0,2301934359.0,2635170518.0,4114256865.0,10915724022.0,960499419.0,1828140225.0,11022441552.0,11784927669.0
 El Salvador ,2001,5988095,1936,821270686.0,609179690.0,3071774735.0,12056299656.0,1695807495.0,2175736649.0,2111789235.0,10360492161.0,5021277440.0,2364184798.0,2716678081.0,4281843360.0,11323373634.0,1034965783.0,1859436033.0,11592256539.0,12282533600.0
 El Salvador ,2002,6011275,1991,737433829.0,654660493.0,3231026237.0,12389154598.0,1774974162.0,2161102338.0,2222331867.0,10614180436.0,5117092902.0,2391013210.0,2799514635.0,4528622429.0,11677069215.0,1090478441.0,1866359389.0,11965611572.0,12664190271.0
