Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Eritrea ,1990,2149960,155,77202582.0,14125300.0,70349614.0,385356535.0,85891915.0,65101739.0,65101739.0,299464621.0,197548321.0,25042396.0,26600795.0,71688319.0,293546782.0,36415342.0,67514443.0,332354988.0,332354988.0
 Eritrea ,1991,2039220,188,87923633.0,17283201.0,86480494.0,455633061.0,99246885.0,80610174.0,80610174.0,356386175.0,246658294.0,28382204.0,30288272.0,83383546.0,340653246.0,42588113.0,79186480.0,383945899.0,383945899.0
 Eritrea ,1992,1921153,228,119546887.0,13303297.0,49833469.0,504239138.0,90945432.0,52190619.0,52190619.0,413293706.0,196103199.0,32260270.0,33727940.0,91532414.0,391200749.0,46608146.0,86482065.0,437072694.0,437072694.0
 Eritrea ,1993,1981419,255,98161323.0,26288964.0,149376168.0,574788063.0,155931943.0,130449368.0,130449368.0,418856120.0,349542111.0,39553542.0,42454928.0,111366937.0,438102964.0,56135466.0,103695346.0,505071488.0,505071488.0
 Eritrea ,1994,2042500,309,138221011.0,33151083.0,167755695.0,800082735.0,163157102.0,159058763.0,159058763.0,636925633.0,496130220.0,43929515.0,47582159.0,139782304.0,567231914.0,72529280.0,135966076.0,631004242.0,630766973.0
 Eritrea ,1995,2157220,300,120342696.0,40101549.0,134353623.0,860532831.0,245858148.0,142546561.0,142546561.0,614674682.0,497709294.0,51965771.0,56393960.0,146903262.0,574718950.0,74168559.0,136808923.0,648079747.0,639723720.0
 Eritrea ,1996,2264073,327,121454663.0,69331107.0,202714630.0,950396045.0,244602822.0,201278749.0,201278749.0,705793222.0,605933975.0,64513240.0,72173592.0,173079518.0,674944310.0,84653678.0,154251751.0,740145703.0,748455449.0
 Eritrea ,1997,2291561,340,118309014.0,80308631.0,207178561.0,936790134.0,187156819.0,238334879.0,238334879.0,749633315.0,600237754.0,75073162.0,83877554.0,156545230.0,701662857.0,88877190.0,173745238.0,778448813.0,782065820.0
 Eritrea ,1998,2322753,350,189259235.0,77939742.0,110403114.0,1049102810.0,353882725.0,245862755.0,245862755.0,695220084.0,596059722.0,69539928.0,78203151.0,173352269.0,741305581.0,80851873.0,141699310.0,813985205.0,809308957.0
 Eritrea ,1999,2356477,340,171408379.0,79474897.0,65678466.0,933008802.0,366154383.0,318257100.0,318257100.0,566854419.0,523243568.0,69178983.0,77975621.0,179661031.0,728993108.0,80098489.0,140374692.0,800726320.0,793700799.0
 Eritrea ,2000,2392880,295,99237096.0,69241542.0,68310438.0,893865398.0,387068374.0,155378667.0,155378667.0,506797024.0,411183691.0,73388288.0,81841270.0,194976799.0,657646549.0,82912132.0,129437709.0,706846469.0,706370812.0
 Eritrea ,2001,2461927,305,123849422.0,72255178.0,81309113.0,866641951.0,320884038.0,265290935.0,265290935.0,545757913.0,460870317.0,74801488.0,82895462.0,194197287.0,690698698.0,84909274.0,132592075.0,750014008.0,752371682.0
 Eritrea ,2002,2547424,284,76015423.0,77041021.0,85922705.0,900558148.0,289224667.0,215506770.0,215506770.0,611333481.0,472665955.0,75837760.0,84244438.0,190874380.0,649761067.0,86513675.0,135072130.0,723218953.0,729321669.0
 Eritrea ,2003,2653390,324,102949687.0,82753411.0,56064248.0,1171173267.0,405545169.0,230998360.0,230998360.0,765628098.0,587987584.0,79190709.0,88655924.0,247432078.0,799639579.0,108478077.0,169370401.0,860583718.0,870248292.0
 Eritrea ,2004,2763140,396,118028569.0,110049794.0,64052294.0,1483439435.0,406035249.0,224726746.0,224726746.0,1077404186.0,663164473.0,95158658.0,107466071.0,320495378.0,1019625172.0,141948177.0,221637183.0,1093759649.0,1109054002.0
 Eritrea ,2005,2831732,385,248243986.0,134706047.0,67725719.0,1410763586.0,387019537.0,223413429.0,223413429.0,1023744049.0,603478025.0,75001305.0,90057873.0,258217962.0,1025415470.0,114857869.0,179331732.0,1089002488.0,1098424709.0
 Eritrea ,2006,2880093,323,230580277.0,102505693.0,83564228.0,1156870024.0,313931707.0,161501838.0,161501838.0,842938317.0,464617886.0,56096416.0,67644811.0,226257252.0,883157786.0,100013384.0,156156369.0,930583386.0,937318204.0
 Eritrea ,2007,2926168,347,247495265.0,125937188.0,76071545.0,1161356715.0,337858081.0,161966862.0,161966862.0,823498633.0,379414634.0,55720411.0,69814101.0,249055638.0,975031683.0,110383794.0,172345696.0,1014386945.0,1019980488.0
 Eritrea ,2008,3005779,304,154796699.0,160884210.0,61125203.0,1050096157.0,363829398.0,167553643.0,167553643.0,686266759.0,356082321.0,60179391.0,78224512.0,232542906.0,890515841.0,103096341.0,160971174.0,914834747.0,922692683.0
 Eritrea ,2009,3083888,417,188390002.0,190320321.0,84082759.0,1490665630.0,372889221.0,162396145.0,162396145.0,1117776410.0,440468111.0,71222497.0,92616500.0,372237478.0,1265811964.0,164838293.0,257409370.0,1285389262.0,1296676423.0
 Eritrea ,2010,3147727,499,292274723.0,235577822.0,101385280.0,1714284616.0,421545420.0,288868440.0,288868440.0,1292739196.0,515022889.0,92639123.0,238117218.0,414995922.0,1532965050.0,183910878.0,168088487.0,1569887473.0,1589515447.0
 Eritrea ,2011,3207570,636,339299930.0,323076573.0,604061934.0,1744206070.0,395456895.0,265270300.0,265270300.0,1348749176.0,548536678.0,122833991.0,318183815.0,550770106.0,1997378552.0,244071398.0,221976730.0,2041455161.0,2065001626.0
 Eritrea ,2012,3252596,685,371657345.0,342810295.0,640836539.0,1928481773.0,390103154.0,230588287.0,230588287.0,1538378619.0,545044810.0,131105531.0,339168475.0,618774020.0,2205026353.0,274142815.0,258473404.0,2229150417.0,2254861789.0
 Eritrea ,2013,3296367,587,332489117.0,295904085.0,282324153.0,2000175302.0,354421678.0,212520925.0,212520925.0,1645753624.0,537069160.0,113956941.0,294346505.0,519797236.0,1885288275.0,230340810.0,212410522.0,1935625411.0,1957951220.0
