Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Eswatini ,1970,442865,246,37876240.0,6532810.0,117084437.0,104176910.0,21407729.0,37237545.0,36958242.0,82769179.0,100866460.0,19857189.0,35066927.0,47106329.0,180819976.0,10617886.0,43619784.0,108897337.0,154722302.0
 Eswatini ,1971,454913,301,44133701.0,8127531.0,141259863.0,130859221.0,25975452.0,39831799.0,38643141.0,104883770.0,116260448.0,24634244.0,40926016.0,55020897.0,209501785.0,12073382.0,49220259.0,136893964.0,192226877.0
 Eswatini ,1972,467512,321,47909089.0,9420224.0,152511363.0,148129544.0,31174746.0,41442694.0,38400892.0,116954797.0,126941717.0,28471136.0,44737515.0,59992904.0,226592149.0,12789804.0,51742613.0,149874303.0,211230630.0
 Eswatini ,1973,480668,394,61917391.0,12999033.0,219214536.0,180859087.0,42631373.0,58148146.0,52199144.0,138227713.0,179262855.0,39175769.0,58521966.0,78035719.0,292363521.0,16130433.0,64758978.0,189230550.0,274148157.0
 Eswatini ,1974,494624,471,73780390.0,16538435.0,289592690.0,183572663.0,53534671.0,79542593.0,72927512.0,130037992.0,208038627.0,49700848.0,70927017.0,93774726.0,348505808.0,18756929.0,74728311.0,232838979.0,339271266.0
 Eswatini ,1975,509535,576,79093748.0,18930003.0,318630634.0,232511589.0,66711135.0,81602344.0,85473266.0,165800453.0,229513186.0,56726110.0,77689472.0,101579067.0,374493448.0,19622320.0,77578838.0,293698417.0,396139644.0
 Eswatini ,1976,525457,600,78478719.0,20054669.0,318323492.0,280553977.0,71904215.0,77650975.0,86700639.0,208649763.0,263903949.0,59925372.0,79098878.0,102039695.0,373215216.0,18999733.0,74543522.0,315439628.0,405063304.0
 Eswatini ,1977,542328,645,91563225.0,24982723.0,334867185.0,337435747.0,87523856.0,104180320.0,111620019.0,249911891.0,320340957.0,74438550.0,95070789.0,120757338.0,438230466.0,21632369.0,84224022.0,349967870.0,450391386.0
 Eswatini ,1978,560236,650,106829271.0,31121751.0,341522695.0,392553341.0,111671463.0,179388910.0,200295401.0,280881879.0,410808918.0,92466639.0,114681205.0,143171778.0,515595460.0,24629788.0,95161668.0,364384671.0,504478083.0
 Eswatini ,1979,579091,737,128751908.0,40048154.0,397377573.0,523571023.0,134549929.0,252294755.0,278783782.0,389021093.0,581920862.0,118649653.0,143370981.0,175659768.0,627864655.0,28967531.0,111066312.0,426665763.0,598255665.0
