Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Fiji ,1970,527634,401,58793372.0,13409371.0,109437279.0,155679381.0,31437299.0,65428767.0,51943635.0,124242082.0,109739257.0,26130362.0,27900282.0,110112320.0,239622367.0,14235107.0,15171916.0,211446841.0,220819602.0
 Fiji ,1971,538000,438,59615606.0,16069067.0,126479399.0,176090005.0,36599466.0,81772588.0,69223527.0,139490539.0,137125506.0,24287816.0,26781096.0,121431557.0,259967719.0,17321025.0,18749368.0,235378256.0,247231525.0
 Fiji ,1972,547918,558,73927031.0,23156502.0,149021287.0,235029545.0,46692787.0,101163899.0,83008945.0,188336758.0,168451173.0,36767906.0,39500713.0,145293355.0,329430299.0,24036181.0,23516518.0,305610765.0,316782827.0
 Fiji ,1973,557244,754,98754177.0,33415517.0,197408674.0,343865315.0,53619557.0,126796229.0,107399113.0,290245758.0,241864629.0,48945245.0,52683271.0,181180497.0,431041772.0,32777250.0,32231060.0,420409927.0,426231517.0
 Fiji ,1974,566296,984,135042442.0,40611956.0,281117877.0,432058348.0,67965588.0,139808334.0,118716168.0,364092760.0,293566677.0,73296975.0,77686006.0,241896465.0,582219145.0,43930041.0,43052236.0,557180086.0,559451912.0
 Fiji ,1975,575804,1162,166405012.0,50842433.0,301733164.0,483813111.0,82657375.0,187018089.0,161967121.0,401155735.0,287751931.0,89806456.0,95383332.0,297148644.0,715999916.0,53909429.0,52311065.0,668894442.0,684854091.0
 Fiji ,1976,586607,1167,169660664.0,51247185.0,268254427.0,513562644.0,96005716.0,199264873.0,172759620.0,417556928.0,284950479.0,91812638.0,97853797.0,299198659.0,725481466.0,53765486.0,53755677.0,684698827.0,696173813.0
 Fiji ,1977,599289,1144,159575729.0,46917917.0,323920088.0,499631634.0,112729916.0,220978113.0,181723693.0,386901717.0,324067205.0,93056771.0,97600694.0,335116724.0,760500514.0,61562236.0,59727213.0,685478439.0,720506458.0
 Fiji ,1978,613611,1300,172893561.0,48758740.0,359023393.0,609092444.0,136986098.0,251009445.0,207932967.0,472106345.0,380606444.0,103745488.0,109331722.0,408997131.0,883599952.0,73976455.0,69642343.0,797902131.0,829810532.0
 Fiji ,1979,628859,1549,208718987.0,59913190.0,465941645.0,737048074.0,172886779.0,330899725.0,251298303.0,564161294.0,510745753.0,146567957.0,155147838.0,471784865.0,1067808603.0,82324945.0,89918777.0,973819032.0,1019788954.0
 Fiji ,1980,644582,1788,253875625.0,78398686.0,583714701.0,872395370.0,191586515.0,371061766.0,295937457.0,680808854.0,624519642.0,163367601.0,175078823.0,558740701.0,1269886130.0,100434974.0,103357322.0,1152711890.0,1202652194.0
 Fiji ,1981,660630,1808,230835584.0,84286481.0,531725796.0,984547974.0,202513008.0,429147814.0,332367468.0,782034966.0,709749746.0,144777250.0,158945668.0,601366591.0,1293570398.0,103335984.0,114800089.0,1194335241.0,1235671838.0
 Fiji ,1982,676967,1670,230500020.0,76309842.0,516208578.0,961635775.0,218518196.0,308815933.0,285055770.0,743117579.0,592605277.0,144636627.0,159408855.0,622549292.0,1289185930.0,99116761.0,101301161.0,1130256199.0,1194055009.0
 Fiji ,1983,693593,1545,193976678.0,64781664.0,489764053.0,950706833.0,227713245.0,233383555.0,231105931.0,722993588.0,550726453.0,114360208.0,130594941.0,616139042.0,1198348238.0,98952317.0,93903598.0,1071915036.0,1123127988.0
