Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 France ,1970,51724116,2882,9888620945.0,10435429914.0,23724186975.0,106000000000.0,25233521450.0,41851553854.0,38114829064.0,80559251389.0,22917555169.0,29377695689.0,32371563370.0,49666316160.0,132000000000.0,10499204610.0,18672994835.0,149000000000.0,148000000000.0
 France ,1971,52185222,3196,10121241421.0,12114944843.0,27355410490.0,119000000000.0,28813986865.0,45460936874.0,42972359325.0,90115631449.0,25771339719.0,33241808004.0,36496374932.0,56249903194.0,147000000000.0,11675714457.0,20645012037.0,167000000000.0,166000000000.0
 France ,1972,52637888,3881,13858911710.0,14862766077.0,33825471037.0,146000000000.0,35413173345.0,56269158044.0,52922109935.0,110000000000.0,32246871036.0,39401283893.0,43459612233.0,69254248336.0,180000000000.0,14059162452.0,24902610073.0,204000000000.0,203000000000.0
 France ,1973,53053660,4999,18006196125.0,19080115537.0,46339107036.0,188000000000.0,46539454142.0,74633716294.0,69426164687.0,142000000000.0,44637629778.0,52219883844.0,57465737105.0,90985575657.0,236000000000.0,18543892401.0,32105623688.0,265000000000.0,264000000000.0
 France ,1974,53415250,5356,15547823267.0,18968344386.0,58908520210.0,206000000000.0,51475569613.0,83141303001.0,76673954059.0,154000000000.0,62035814837.0,56993683029.0,62468153432.0,102000000000.0,255000000000.0,20277634767.0,35862281826.0,286000000000.0,286000000000.0
 France ,1975,53715733,6735,17476686448.0,25263480392.0,67959282393.0,268000000000.0,70644119991.0,89828087782.0,91763312603.0,197000000000.0,64442221631.0,69784360031.0,77187168654.0,133000000000.0,323000000000.0,25701009482.0,44701398634.0,362000000000.0,361000000000.0
 France ,1976,53966558,6919,17091096791.0,24539941437.0,71989109145.0,277000000000.0,74009065366.0,98513497092.0,93065488055.0,203000000000.0,75449940156.0,71547969281.0,79238553109.0,139000000000.0,332000000000.0,27007866313.0,44997631929.0,373000000000.0,372000000000.0
 France ,1977,54221988,7584,17829899386.0,26587719162.0,83015412440.0,306000000000.0,82723886297.0,105000000000.0,98886202653.0,223000000000.0,83708121349.0,78599727465.0,87514008520.0,156000000000.0,369000000000.0,30138186639.0,51395524120.0,411000000000.0,410000000000.0
 France ,1978,54486195,9329,21131725032.0,32715730020.0,103000000000.0,378000000000.0,104000000000.0,123000000000.0,120000000000.0,274000000000.0,97263491812.0,97980043187.0,109000000000.0,191000000000.0,452000000000.0,36674930720.0,61717892569.0,508000000000.0,507000000000.0
 France ,1979,54753575,11263,25378455068.0,39173171805.0,127000000000.0,459000000000.0,126000000000.0,153000000000.0,145000000000.0,333000000000.0,125000000000.0,116000000000.0,130000000000.0,231000000000.0,545000000000.0,45274177072.0,73730116728.0,617000000000.0,614000000000.0
 France ,1980,55052582,12833,25298642744.0,46238287585.0,147000000000.0,532000000000.0,148000000000.0,181000000000.0,171000000000.0,384000000000.0,158000000000.0,130000000000.0,149000000000.0,269000000000.0,626000000000.0,52235014401.0,84405909181.0,706000000000.0,701000000000.0
 France ,1981,55371044,11187,21739269519.0,38025314914.0,135000000000.0,480000000000.0,134000000000.0,145000000000.0,147000000000.0,346000000000.0,144000000000.0,111000000000.0,129000000000.0,242000000000.0,550000000000.0,45351802393.0,74522568354.0,619000000000.0,616000000000.0
 France ,1982,55694106,10527,23702723389.0,35779654204.0,125000000000.0,460000000000.0,130000000000.0,139000000000.0,136000000000.0,330000000000.0,140000000000.0,102000000000.0,119000000000.0,230000000000.0,522000000000.0,42512792657.0,70433458989.0,586000000000.0,585000000000.0
 France ,1983,55992656,9958,20130679871.0,32484164338.0,126000000000.0,440000000000.0,125000000000.0,122000000000.0,123000000000.0,314000000000.0,127000000000.0,97908658748.0,114000000000.0,224000000000.0,499000000000.0,40379274281.0,68418835137.0,558000000000.0,560000000000.0
 France ,1984,56275701,9370,17826003586.0,29043723220.0,126000000000.0,417000000000.0,120000000000.0,113000000000.0,113000000000.0,298000000000.0,126000000000.0,91616756313.0,108000000000.0,214000000000.0,473000000000.0,39366727444.0,65339745343.0,527000000000.0,531000000000.0
 France ,1985,56569195,9765,18461971262.0,29030754447.0,129000000000.0,438000000000.0,125000000000.0,117000000000.0,117000000000.0,313000000000.0,131000000000.0,95785574812.0,113000000000.0,224000000000.0,492000000000.0,42193368305.0,66251093046.0,552000000000.0,553000000000.0
 France ,1986,56865193,13625,24954637947.0,43364946006.0,157000000000.0,605000000000.0,172000000000.0,168000000000.0,164000000000.0,432000000000.0,158000000000.0,131000000000.0,153000000000.0,314000000000.0,689000000000.0,60819649311.0,92027863271.0,775000000000.0,771000000000.0
 France ,1987,57168409,16470,28847793598.0,53683917027.0,183000000000.0,736000000000.0,207000000000.0,208000000000.0,204000000000.0,530000000000.0,193000000000.0,154000000000.0,180000000000.0,383000000000.0,833000000000.0,74564027299.0,113000000000.0,942000000000.0,934000000000.0
 France ,1988,57472651,17844,29029987800.0,60094926761.0,207000000000.0,788000000000.0,221000000000.0,238000000000.0,230000000000.0,567000000000.0,214000000000.0,167000000000.0,194000000000.0,420000000000.0,908000000000.0,81446497654.0,123000000000.0,1030000000000.0,1020000000000.0
 France ,1989,57766282,17815,32036310772.0,57224294648.0,222000000000.0,783000000000.0,217000000000.0,249000000000.0,237000000000.0,567000000000.0,229000000000.0,166000000000.0,193000000000.0,425000000000.0,916000000000.0,82749502849.0,126000000000.0,1030000000000.0,1030000000000.0
 France ,1990,58044701,21941,39810784462.0,70754249133.0,266000000000.0,969000000000.0,269000000000.0,310000000000.0,297000000000.0,701000000000.0,276000000000.0,206000000000.0,240000000000.0,525000000000.0,1140000000000.0,102000000000.0,160000000000.0,1270000000000.0,1270000000000.0
 France ,1991,58312661,21823,33181995062.0,70324995595.0,271000000000.0,974000000000.0,275000000000.0,300000000000.0,294000000000.0,699000000000.0,275000000000.0,202000000000.0,238000000000.0,532000000000.0,1140000000000.0,104000000000.0,161000000000.0,1270000000000.0,1270000000000.0
 France ,1992,58567693,24021,36335383915.0,77415283756.0,299000000000.0,1080000000000.0,312000000000.0,308000000000.0,309000000000.0,772000000000.0,290000000000.0,219000000000.0,259000000000.0,599000000000.0,1260000000000.0,116000000000.0,175000000000.0,1410000000000.0,1400000000000.0
 France ,1993,58793642,22609,30369934719.0,67893367410.0,275000000000.0,1040000000000.0,310000000000.0,259000000000.0,274000000000.0,732000000000.0,253000000000.0,199000000000.0,237000000000.0,584000000000.0,1190000000000.0,109000000000.0,165000000000.0,1330000000000.0,1320000000000.0
 France ,1994,59006019,23701,33465114251.0,67016475751.0,302000000000.0,1090000000000.0,323000000000.0,283000000000.0,285000000000.0,767000000000.0,281000000000.0,205000000000.0,243000000000.0,618000000000.0,1250000000000.0,115000000000.0,172000000000.0,1400000000000.0,1390000000000.0
 France ,1995,59232333,27120,39140722797.0,75523039163.0,362000000000.0,1250000000000.0,371000000000.0,328000000000.0,321000000000.0,876000000000.0,337000000000.0,238000000000.0,282000000000.0,708000000000.0,1430000000000.0,130000000000.0,200000000000.0,1610000000000.0,1600000000000.0
 France ,1996,59471115,27231,38607108767.0,71263121753.0,370000000000.0,1260000000000.0,377000000000.0,315000000000.0,319000000000.0,885000000000.0,342000000000.0,232000000000.0,277000000000.0,721000000000.0,1430000000000.0,130000000000.0,195000000000.0,1620000000000.0,1610000000000.0
 France ,1997,59723345,24623,34059419235.0,62268071739.0,371000000000.0,1130000000000.0,340000000000.0,283000000000.0,284000000000.0,787000000000.0,327000000000.0,213000000000.0,251000000000.0,652000000000.0,1300000000000.0,122000000000.0,176000000000.0,1470000000000.0,1450000000000.0
 France ,1998,59998221,25380,35511312877.0,62465575722.0,393000000000.0,1150000000000.0,340000000000.0,311000000000.0,299000000000.0,811000000000.0,351000000000.0,220000000000.0,260000000000.0,672000000000.0,1340000000000.0,129000000000.0,184000000000.0,1520000000000.0,1500000000000.0
 France ,1999,60297219,25248,33378531401.0,63237028721.0,389000000000.0,1140000000000.0,338000000000.0,319000000000.0,311000000000.0,800000000000.0,354000000000.0,216000000000.0,253000000000.0,672000000000.0,1330000000000.0,130000000000.0,181000000000.0,1520000000000.0,1490000000000.0
 France ,2000,60631053,22823,28584831564.0,59332919252.0,390000000000.0,1040000000000.0,304000000000.0,306000000000.0,293000000000.0,734000000000.0,371000000000.0,197000000000.0,231000000000.0,620000000000.0,1220000000000.0,117000000000.0,166000000000.0,1380000000000.0,1360000000000.0
 France ,2001,60997885,22972,29001977611.0,61477749640.0,389000000000.0,1050000000000.0,305000000000.0,305000000000.0,296000000000.0,745000000000.0,367000000000.0,193000000000.0,227000000000.0,628000000000.0,1240000000000.0,121000000000.0,172000000000.0,1400000000000.0,1380000000000.0
 France ,2002,61372011,24603,30049362306.0,67385899666.0,411000000000.0,1150000000000.0,340000000000.0,319000000000.0,313000000000.0,807000000000.0,382000000000.0,203000000000.0,241000000000.0,685000000000.0,1350000000000.0,135000000000.0,187000000000.0,1510000000000.0,1490000000000.0
 France ,2003,61740850,30204,34050605648.0,84763096984.0,481000000000.0,1420000000000.0,426000000000.0,390000000000.0,387000000000.0,998000000000.0,454000000000.0,241000000000.0,287000000000.0,852000000000.0,1660000000000.0,165000000000.0,236000000000.0,1860000000000.0,1840000000000.0
 France ,2004,62129161,34527,38565122646.0,100000000000.0,560000000000.0,1630000000000.0,488000000000.0,463000000000.0,452000000000.0,1140000000000.0,539000000000.0,268000000000.0,322000000000.0,988000000000.0,1900000000000.0,190000000000.0,264000000000.0,2150000000000.0,2120000000000.0
 France ,2005,62535739,35718,36896234393.0,107000000000.0,594000000000.0,1700000000000.0,507000000000.0,493000000000.0,479000000000.0,1190000000000.0,592000000000.0,269000000000.0,323000000000.0,1040000000000.0,1970000000000.0,194000000000.0,269000000000.0,2230000000000.0,2200000000000.0
 France ,2006,62959772,37561,35205824149.0,119000000000.0,648000000000.0,1790000000000.0,528000000000.0,539000000000.0,521000000000.0,1260000000000.0,653000000000.0,272000000000.0,328000000000.0,1110000000000.0,2080000000000.0,204000000000.0,277000000000.0,2360000000000.0,2320000000000.0
