Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 French Polynesia ,1970,117891,2229,20681535.0,12617619.0,76861801.0,249313472.0,84663683.0,85516151.0,83825282.0,164649788.0,137390087.0,14678680.0,18986779.0,129947586.0,239919348.0,22392675.0,35293154.0,262818819.0,262818819.0
 French Polynesia ,1971,122108,2515,17745210.0,15620287.0,82511060.0,286965873.0,97449960.0,96046048.0,94146977.0,189515913.0,150730514.0,14721765.0,19354853.0,157660459.0,280368829.0,27168180.0,42819840.0,307129062.0,307129062.0
 French Polynesia ,1972,126457,2671,21502574.0,17787856.0,82092952.0,321079497.0,109034513.0,102038641.0,100021081.0,212044985.0,166596545.0,23323747.0,27601864.0,167185266.0,308293796.0,28809502.0,45406732.0,337719370.0,337719370.0
 French Polynesia ,1973,130883,3409,25075585.0,31562000.0,110370791.0,405655601.0,137755481.0,156938493.0,153835425.0,267900120.0,213233761.0,36875462.0,42411308.0,213474778.0,407288566.0,36786149.0,57978746.0,446162848.0,446162848.0
 French Polynesia ,1974,135349,4245,30323444.0,39482846.0,99761669.0,464147346.0,157618534.0,206295380.0,203736756.0,306528812.0,222666002.0,33164060.0,39128560.0,287791046.0,524480980.0,49592389.0,78162695.0,574540873.0,574540873.0
 French Polynesia ,1975,139833,5107,37623711.0,55440609.0,183510701.0,576320832.0,195711223.0,301824870.0,289359024.0,380609609.0,292573362.0,42131089.0,50188727.0,352312226.0,651962351.0,60710732.0,95686345.0,714189898.0,714189898.0
 French Polynesia ,1976,144356,5604,45568702.0,54694453.0,108152346.0,706479733.0,239911530.0,250417187.0,259248282.0,466568203.0,300573833.0,39910467.0,48633341.0,408325617.0,738484437.0,70363006.0,110899319.0,808970219.0,808970219.0
 French Polynesia ,1977,149007,5841,50762057.0,59652659.0,113381833.0,752545966.0,255555036.0,300291459.0,294353943.0,496990930.0,332001487.0,53367941.0,62661567.0,430388285.0,794520865.0,74164863.0,116891435.0,870355129.0,870355129.0
 French Polynesia ,1978,153745,7158,63836126.0,93157629.0,168745833.0,908943860.0,308665771.0,428331316.0,419862130.0,600278089.0,410369139.0,69282290.0,81125307.0,530889087.0,1004678372.0,91483243.0,144186981.0,1100571442.0,1100571442.0
 French Polynesia ,1979,158563,8621,77425223.0,108013798.0,221938977.0,1109103530.0,376637450.0,511324569.0,479097445.0,732466080.0,480109188.0,86640763.0,102415805.0,664894828.0,1247907187.0,114575222.0,180582311.0,1367015605.0,1367015605.0
 French Polynesia ,1980,163591,9525,82813234.0,124943431.0,245752297.0,1294797502.0,439696758.0,536055092.0,541043476.0,855100744.0,551100132.0,103251294.0,117442036.0,759890230.0,1422416455.0,130944908.0,206382615.0,1558181177.0,1558181177.0
 French Polynesia ,1981,168892,8629,69247837.0,117700978.0,258214651.0,1222651889.0,415197026.0,548867301.0,546671810.0,807454863.0,566583803.0,108056368.0,120182871.0,708664181.0,1330383321.0,122117594.0,192469861.0,1457363800.0,1457363800.0
 French Polynesia ,1982,174343,8402,70265491.0,115229183.0,274443597.0,1197956404.0,406810761.0,536715769.0,510354519.0,791145643.0,531987548.0,112936205.0,125595798.0,710593659.0,1337128112.0,122450082.0,192993898.0,1464752358.0,1464752358.0
 French Polynesia ,1983,179042,8496,67358577.0,117876111.0,282114007.0,1248820258.0,424083463.0,541246912.0,540422140.0,824736795.0,547264462.0,126939001.0,138619901.0,737366387.0,1388549802.0,127063581.0,200265245.0,1521082071.0,1521082071.0
 French Polynesia ,1984,183146,8573,71922410.0,123789409.0,254665093.0,1239597520.0,420951546.0,649259036.0,593353168.0,818645974.0,549569495.0,127836538.0,139652973.0,760446760.0,1433386129.0,131040811.0,206533766.0,1570197869.0,1570197869.0
 French Polynesia ,1985,187578,9149,73517786.0,162248085.0,336773906.0,1212534935.0,411761470.0,865291302.0,838286127.0,800773465.0,555728602.0,150734146.0,166936943.0,806059890.0,1566585684.0,138900899.0,218922080.0,1716110860.0,1716110860.0
 French Polynesia ,1986,192196,13635,103087590.0,234776322.0,474936000.0,1820818433.0,618326690.0,1238894403.0,1199753132.0,1202491742.0,751744587.0,148895844.0,179730586.0,1298330094.0,2392274253.0,223729313.0,352620348.0,2620608542.0,2620608542.0
 French Polynesia ,1987,196856,14709,133582413.0,138451726.0,611947533.0,2308863688.0,784060774.0,779222372.0,763157700.0,1524802915.0,846559733.0,195257015.0,235693978.0,1479030042.0,2643323440.0,254867677.0,401697604.0,2895619505.0,2895619505.0
 French Polynesia ,1988,201740,14557,140776807.0,120197253.0,577562227.0,2288590049.0,777176312.0,841830354.0,830402600.0,1511413736.0,825263475.0,209651839.0,254493606.0,1495822402.0,2675309738.0,257761315.0,406258355.0,2936769080.0,2936769080.0
 French Polynesia ,1989,206571,14344,139249972.0,147645989.0,585850874.0,2218029034.0,753213855.0,919455182.0,892138168.0,1464815179.0,807314004.0,214255973.0,266396884.0,1480144092.0,2690496772.0,255059685.0,402000151.0,2962974476.0,2962974476.0
 French Polynesia ,1990,211089,16903,163860601.0,160332390.0,629107996.0,2870248770.0,974700560.0,895667156.0,874549441.0,1895548210.0,948466336.0,282851357.0,349872113.0,1798157781.0,3270454077.0,309859907.0,488371285.0,3568060962.0,3568060962.0
 French Polynesia ,1991,215444,17100,157801345.0,151602351.0,610861301.0,3009418901.0,1021961522.0,835871155.0,826840016.0,1987457378.0,934494457.0,287273187.0,367134552.0,1848992664.0,3346328630.0,318620155.0,502177563.0,3684041170.0,3684041170.0
 French Polynesia ,1992,219621,18175,158354299.0,169041361.0,617788476.0,3218454363.0,1092941706.0,847269918.0,829785170.0,2125512657.0,913046633.0,278996163.0,391289769.0,1998269566.0,3604018919.0,344342951.0,542720974.0,3991655694.0,3991655694.0
 French Polynesia ,1993,223714,16968,169626913.0,156178023.0,749603244.0,2961464736.0,1005680550.0,779698264.0,770601739.0,1955784187.0,862294073.0,225549406.0,316331128.0,1948666318.0,3455847060.0,335796733.0,529247945.0,3795920458.0,3795920458.0
 French Polynesia ,1994,227682,17236,196751692.0,150752459.0,973586185.0,3007325092.0,1021252071.0,699864052.0,686946766.0,1986073021.0,888886269.0,233056332.0,326859557.0,2019924021.0,3590963966.0,348072965.0,548603273.0,3924326846.0,3924326846.0
 French Polynesia ,1995,231446,19100,210154510.0,161371683.0,984729549.0,3385039050.0,1149493595.0,926849898.0,902079071.0,2235545456.0,1028753785.0,248112625.0,347975819.0,2315522392.0,4062923487.0,399017280.0,628881804.0,4420602335.0,4420602335.0
 French Polynesia ,1996,235189,18115,222723795.0,160646028.0,1071467218.0,3371153280.0,1144836612.0,727460614.0,712757401.0,2226316668.0,1038598978.0,244173464.0,342451303.0,2323230618.0,4080368523.0,400331829.0,630984949.0,4260362478.0,4260362478.0
 French Polynesia ,1997,239036,17042,195514534.0,171202809.0,1026937630.0,3175549163.0,1078372179.0,697305859.0,668296179.0,2097176984.0,956377987.0,226017719.0,316987790.0,2073877807.0,3678215629.0,357388688.0,563244001.0,4073680199.0,4073680199.0
 French Polynesia ,1998,242882,17473,184225290.0,178810509.0,1127516478.0,3310504144.0,1124107660.0,817675557.0,768909230.0,2186396485.0,1093107252.0,236430495.0,331592091.0,2120460175.0,3756384501.0,365365956.0,575930481.0,4243838925.0,4243838925.0
 French Polynesia ,1999,246821,17019,184094600.0,176153170.0,1194789671.0,3208764569.0,1089856380.0,900330513.0,886995934.0,2118908189.0,1133047249.0,243272181.0,341186523.0,2085910088.0,3713333203.0,359511589.0,566477233.0,4200532043.0,4200532043.0
 French Polynesia ,2000,250927,14973,170535265.0,162600516.0,1081466227.0,3031422419.0,1029320827.0,804518476.0,780490524.0,2002101592.0,1152642875.0,216922660.0,304233369.0,1877149819.0,3347780561.0,323353459.0,509908133.0,3757034435.0,3757034435.0
 French Polynesia ,2001,255049,14480,142747958.0,159814032.0,937734708.0,3201747697.0,1086907712.0,830296457.0,805968045.0,2114839985.0,1269912347.0,213640917.0,299627279.0,1860945544.0,3289308874.0,320914683.0,505259378.0,3693013030.0,3693013030.0
 French Polynesia ,2002,259137,15171,150501661.0,157033116.0,891516414.0,3678900443.0,1250553282.0,1028899789.0,1008775868.0,2428347161.0,1610729221.0,236018529.0,331019083.0,2020715089.0,3556144215.0,347700907.0,549174360.0,3931324088.0,3931324088.0
 French Polynesia ,2003,263173,18705,155579779.0,209584321.0,985626944.0,4725612910.0,1603174798.0,1207257512.0,1186506424.0,3122438112.0,1984653781.0,276975252.0,388443507.0,2540763395.0,4422640975.0,439110056.0,689159917.0,4922602247.0,4922602247.0
 French Polynesia ,2004,267132,20788,175836370.0,231656580.0,1123007631.0,4925231969.0,1670844012.0,1412727913.0,1362908384.0,3254387957.0,1947061134.0,304454747.0,427021474.0,2884754162.0,4998985428.0,494189266.0,785527576.0,5553092213.0,5553092213.0
 French Polynesia ,2005,271060,21039,174484392.0,241691574.0,1166803801.0,5309273580.0,1811967736.0,1417457722.0,1370030232.0,3497305844.0,2190751957.0,290296675.0,407088564.0,2976562214.0,5122971395.0,518940740.0,804203911.0,5702783146.0,5702783146.0
 French Polynesia ,2006,274901,21363,173131601.0,243166377.0,1189487373.0,5528437154.0,1864363164.0,1290134768.0,1284132088.0,3664073990.0,2135282740.0,265347911.0,372239776.0,3116673686.0,5284986937.0,524482890.0,855292607.0,5872776555.0,5872776555.0
 French Polynesia ,2007,278178,23806,168921912.0,292378964.0,1349631943.0,6249950183.0,2120045698.0,1478112610.0,1462193028.0,4129904485.0,2455297429.0,305924373.0,433418668.0,3464080554.0,5949909632.0,626197016.0,964912518.0,6622397308.0,6622397308.0
 French Polynesia ,2008,280558,25335,161051284.0,327798285.0,1345723417.0,6838382374.0,2319089391.0,1703583790.0,1678849160.0,4519292983.0,2779718159.0,342626787.0,483264330.0,3765162980.0,6413032675.0,645935947.0,1029819850.0,7107971422.0,7107971422.0
 French Polynesia ,2009,282283,23233,151035857.0,293724811.0,1096028585.0,6385484960.0,2175130538.0,1369555523.0,1393618350.0,4210354422.0,2292906841.0,319126402.0,478381105.0,3634371604.0,5927685895.0,552944436.0,817228082.0,6558162227.0,6558162227.0
 French Polynesia ,2010,283788,21427,138012097.0,246257531.0,995906832.0,6088370070.0,2032912079.0,1286781060.0,1300732102.0,4055457991.0,2290345982.0,277922068.0,428619957.0,3427849785.0,5490706105.0,532403721.0,717563014.0,6080711980.0,6080711980.0
 French Polynesia ,2011,285265,21720,154423449.0,217096816.0,1129635022.0,6293291416.0,2097507520.0,1127293508.0,1128761323.0,4195783896.0,2354398430.0,286631636.0,443722780.0,3553673115.0,5626647157.0,552818706.0,704912291.0,6195821516.0,6195821516.0
