Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Georgia ,1990,5391636,1646,2654154769.0,775957630.0,3549353595.0,7096927471.0,1489625084.0,2720004385.0,2100662056.0,5607302387.0,4057166846.0,2073966266.0,2279820469.0,1504456078.0,8434683172.0,627054446.0,593239779.0,8877240047.0,8877833286.0
 Georgia ,1991,5322105,1357,1926635284.0,564527896.0,2005450468.0,5598517798.0,1354942371.0,2036373172.0,1396046941.0,4243575426.0,2245289975.0,1957557988.0,2115188356.0,1149796630.0,6738132562.0,489860880.0,492123517.0,7220074212.0,7220074212.0
 Georgia ,1992,5239328,833,2244111987.0,275065003.0,2029797173.0,5096081475.0,637254667.0,1034323830.0,723164325.0,4458826809.0,4063594968.0,537742894.0,624482310.0,637965889.0,4069551450.0,168974429.0,118951834.0,4363878708.0,4098267027.0
 Georgia ,1993,5127511,570,2401398592.0,17804868.0,571717919.0,3297834977.0,130429535.0,32688028.0,22903125.0,3167405442.0,1003543979.0,219254413.0,283210261.0,317678175.0,3367982411.0,114009177.0,233881338.0,2922997914.0,2966546110.0
 Georgia ,1994,4997913,539,2138346819.0,33984135.0,633988043.0,2863382226.0,178874216.0,455163426.0,292377249.0,2684508010.0,1222806634.0,204918872.0,302972228.0,342649296.0,3215301079.0,148974147.0,248374455.0,2695628656.0,2715356944.0
 Georgia ,1995,4877676,571,1383751213.0,44064029.0,374519605.0,2660681373.0,164381925.0,649477921.0,538227557.0,2496299449.0,767553327.0,237990094.0,298470509.0,103771416.0,2851074106.0,247209393.0,773807544.0,2784082864.0,2843752782.0
 Georgia ,1996,4761272,661,1240404663.0,56068915.0,404926680.0,3881344441.0,179802246.0,600434293.0,585698076.0,3701542196.0,987432061.0,470978883.0,613531303.0,908113186.0,3474078417.0,183423054.0,472537296.0,3148595734.0,3222645743.0
 Georgia ,1997,4640032,825,1179452647.0,93155341.0,543553924.0,4406709307.0,272178805.0,626325583.0,667312515.0,4134530503.0,1473143595.0,483918419.0,640878412.0,1071592099.0,3779523051.0,291890715.0,502553837.0,3827101138.0,3693015456.0
 Georgia ,1998,4518405,886,1158249562.0,124072816.0,589910739.0,3811729792.0,305326666.0,982022595.0,950905574.0,3506403126.0,1335198831.0,435905837.0,619289592.0,1102092756.0,3919225839.0,424580285.0,490940829.0,4002964862.0,3801321704.0
 Georgia ,1999,4394501,705,845481655.0,76913929.0,529230535.0,2845097274.0,226979873.0,740853960.0,755699701.0,2618117402.0,1062171576.0,325240948.0,498825602.0,804101943.0,3010734659.0,357411884.0,427999646.0,3098366281.0,2945566975.0
 Georgia ,2000,4265172,783,769481923.0,83685864.0,697463711.0,3067321496.0,199069593.0,813033803.0,801381467.0,2868251903.0,1207857062.0,340717097.0,537737500.0,868811557.0,3228677151.0,467804836.0,501155473.0,3340350971.0,3216917302.0
 Georgia ,2001,4144481,825,824252444.0,92160287.0,781135181.0,3069323591.0,236706332.0,911746673.0,902961780.0,2832617258.0,1246041754.0,358264421.0,540624680.0,886451426.0,3378802033.0,473078627.0,562234569.0,3420971491.0,3386804048.0
