Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Ghana ,1970,8861895,519,1692109267.0,96670947.0,563974322.0,3452032336.0,281688098.0,894895083.0,774681490.0,3170344238.0,579584439.0,1248701530.0,1346343207.0,1021148771.0,4895713253.0,403774512.0,335666550.0,4598297374.0,4697713819.0
 Ghana ,1971,9108878,548,1737582009.0,119820906.0,471181478.0,3909412076.0,310472763.0,974868231.0,874480878.0,3598929645.0,568939017.0,1368015776.0,1470742890.0,1202405165.0,5374788986.0,460584874.0,383653142.0,4995331944.0,5128224574.0
 Ghana ,1972,9365952,472,1604224841.0,82030516.0,534376433.0,3318619095.0,263612701.0,430352555.0,533858677.0,3055006394.0,398161655.0,1180595606.0,1294959592.0,1130665946.0,4819082687.0,395730455.0,311471338.0,4417274230.0,4481258332.0
 Ghana ,1973,9637197,432,1573263031.0,77542758.0,464980392.0,3089542646.0,213212996.0,508404111.0,439354481.0,2876329651.0,355144590.0,1186428425.0,1294505863.0,963668411.0,4511298885.0,303684243.0,298634580.0,4163582259.0,4185578726.0
 Ghana ,1974,9918979,489,1913303053.0,110515735.0,462716217.0,3770884674.0,277832910.0,855675849.0,796038776.0,3493056696.0,549762770.0,1272790147.0,1385342607.0,906007111.0,5012625866.0,342440971.0,355016389.0,4847656103.0,4874853528.0
 Ghana ,1975,10209848,453,1706406065.0,103070949.0,467898155.0,3415887943.0,283582459.0,798812338.0,743693271.0,3132305484.0,444669316.0,1575357289.0,1675048590.0,986195523.0,5160931047.0,364361048.0,325848873.0,4627329533.0,4664235125.0
 Ghana ,1976,10509006,448,1842382191.0,94364897.0,386485258.0,3716357659.0,271143906.0,566618031.0,639687557.0,3445213753.0,394139246.0,1512420540.0,1589611972.0,985715040.0,5247145028.0,377291556.0,357779372.0,4712219720.0,4747207911.0
 Ghana ,1977,10825496,475,2224507748.0,96666883.0,280222679.0,3958801658.0,303735539.0,767840673.0,664947684.0,3655068296.0,308158492.0,1348233962.0,1399536727.0,897606747.0,5267616681.0,305952460.0,343346117.0,5138310107.0,5156833807.0
 Ghana ,1978,11163230,535,2789982176.0,73091236.0,259377519.0,4958620924.0,315541953.0,433109588.0,530650201.0,4643080316.0,300083889.0,1254400446.0,1297230568.0,807160307.0,5739949195.0,315851302.0,456633606.0,5973583449.0,5987391200.0
 Ghana ,1979,11515675,547,2909409459.0,73086780.0,367932213.0,5115638484.0,303303378.0,555943561.0,583602413.0,4812335106.0,365005194.0,1329228849.0,1393027728.0,848697210.0,6078576024.0,340359946.0,513994900.0,6299050675.0,6321180713.0
