Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Greece ,1970,8544873,1559,1445156096.0,1116579890.0,1035322021.0,9667211701.0,1659636969.0,4788280376.0,3627530927.0,8007574732.0,1999874935.0,2303601595.0,2772317338.0,4523956205.0,13760132400.0,1268558672.0,2633564200.0,13323324987.0,13133730551.0
 Greece ,1971,8576109,1735,1607182607.0,1273804347.0,1189673695.0,10499282389.0,1813191913.0,5544895521.0,4208419275.0,8686090477.0,2211419180.0,2598413600.0,3119297793.0,4972485589.0,15278585377.0,1414153071.0,2891661970.0,14879416652.0,14584946182.0
 Greece ,1972,8616667,1997,1887639112.0,1628695236.0,1540896492.0,11633053287.0,2020660130.0,7045834576.0,5600062027.0,9612393157.0,2732080838.0,2896095667.0,3479304473.0,5496218685.0,17518798029.0,1624375671.0,3402564853.0,17207702921.0,16877458139.0
 Greece ,1973,8666390,2629,2715257072.0,2099598702.0,2599502531.0,14469181390.0,2472270449.0,10785251806.0,7483650263.0,11996910941.0,4488201952.0,4079257209.0,4758424421.0,6555483490.0,22784223730.0,1889763120.0,4765696926.0,22785563949.0,22337302549.0
 Greece ,1974,8729701,2989,3082188808.0,1831809157.0,3602148924.0,18088154327.0,3454185724.0,9692994140.0,6517682276.0,14633968603.0,5387423386.0,4798116716.0,5556945339.0,8100282176.0,26919309060.0,2267282814.0,6080800767.0,26089830766.0,25339221678.0
 Greece ,1975,8805415,3320,3189819145.0,1952971423.0,4035698910.0,20856937706.0,4239152132.0,10392782395.0,7308985075.0,16617785574.0,6044657943.0,5167783670.0,6000472819.0,9004903315.0,29557016302.0,2881448104.0,6527401496.0,29236310823.0,28537665056.0
 Greece ,1976,8890428,3602,3436294540.0,2136356417.0,4377858596.0,22246643217.0,4541133726.0,11907140585.0,8160838892.0,17705509491.0,6491062504.0,5628363443.0,6567500521.0,9509647467.0,31724070686.0,3168531417.0,6905740325.0,32024408334.0,31162068092.0
 Greece ,1977,8983236,4142,3539891813.0,2838060571.0,5057060855.0,27124969204.0,5582489682.0,12206207273.0,10773869564.0,21542479522.0,7481056918.0,6296211594.0,7378033285.0,11319531551.0,36604831192.0,3655302795.0,7874011177.0,37212165290.0,36172951519.0
 Greece ,1978,9084308,4988,4439705577.0,3611735197.0,6042025033.0,33127393874.0,6737351710.0,14507842301.0,14676027416.0,26390042164.0,8622596174.0,7301106358.0,8556236186.0,13851219693.0,43918745322.0,4331375068.0,9128473600.0,45309174615.0,44255063066.0
 Greece ,1979,9194178,6077,4929232217.0,4834709287.0,8267208245.0,40669595982.0,8522671298.0,17485213293.0,19293995642.0,32146924684.0,11091987260.0,9033034794.0,10636431568.0,16714672187.0,53330621333.0,5208809847.0,11006766228.0,55871037055.0,54483506116.0
