Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Greenland ,1970,45434,1507,13102523.0,3775069.0,23778556.0,105465440.0,19442890.0,35269930.0,35269930.0,86022550.0,88545826.0,5526661.0,7823665.0,32227669.0,74997367.0,9466432.0,8602008.0,68484573.0,75968100.0
 Greenland ,1971,46479,1877,16693091.0,4809576.0,31827981.0,115700654.0,22013100.0,51673819.0,51673819.0,93687554.0,102416332.0,7041168.0,9967634.0,41059222.0,95549371.0,12060579.0,10959271.0,87251835.0,96786121.0
 Greenland ,1972,47246,2212,19997062.0,5761508.0,37394552.0,144974889.0,30465374.0,54957067.0,54957067.0,114509515.0,121384049.0,8434787.0,11940472.0,49185844.0,114460926.0,14447662.0,13128378.0,104521104.0,115942458.0
 Greenland ,1973,47965,2878,26414975.0,7610623.0,53625496.0,176446959.0,37756661.0,79983860.0,79983860.0,138690298.0,156902955.0,11141871.0,15772681.0,64971688.0,151196339.0,19084535.0,17341837.0,138066404.0,153153359.0
 Greenland ,1974,48607,3444,32024875.0,9226935.0,153547395.0,139449183.0,31387481.0,67127160.0,67127160.0,108061702.0,174444325.0,13508134.0,19122415.0,78770100.0,183306773.0,23137627.0,21024822.0,167388355.0,185679413.0
 Greenland ,1975,49151,4233,39803722.0,11468159.0,150452103.0,201527791.0,46741818.0,95352544.0,95352544.0,154785973.0,216551462.0,16789262.0,23767253.0,97903365.0,227832015.0,28757761.0,26131755.0,208047017.0,230780976.0
 Greenland ,1976,49569,4785,45380081.0,13074807.0,145261284.0,238994573.0,54533406.0,94688628.0,94688628.0,184461168.0,215831918.0,19141378.0,27096961.0,111619276.0,259750465.0,32786620.0,29792720.0,237193662.0,263112568.0
 Greenland ,1977,49739,5591,53199819.0,15327812.0,157024787.0,297628950.0,68437962.0,123092901.0,123092901.0,229190988.0,269295439.0,22439751.0,31766212.0,130853149.0,304509783.0,38436296.0,34926497.0,278066037.0,308451198.0
 Greenland ,1978,49734,7051,67093494.0,19330826.0,172168328.0,385633921.0,92242704.0,129223358.0,129223358.0,293391217.0,298019213.0,28300124.0,40062287.0,165026714.0,384035561.0,48474327.0,44047912.0,350685836.0,389006393.0
 Greenland ,1979,49761,8327,79279742.0,22841900.0,253432456.0,501517911.0,121241216.0,166281908.0,166281908.0,380276695.0,461570318.0,33440304.0,47338838.0,195000691.0,453788300.0,57278761.0,52048367.0,414381204.0,459661957.0
 Greenland ,1980,50106,9345,89722203.0,25850560.0,315226437.0,614131372.0,201423645.0,140731379.0,140731379.0,412707727.0,549882186.0,37844924.0,53574122.0,220685723.0,513559921.0,64823320.0,58903994.0,468244469.0,520207002.0
 Greenland ,1981,50719,8520,82126259.0,23662031.0,315927926.0,526106895.0,188721143.0,127577814.0,127577814.0,337385752.0,493446590.0,34640978.0,49038538.0,202001843.0,470081183.0,59335342.0,53917170.0,432139094.0,476166045.0
 Greenland ,1982,51341,7990,75841504.0,21851283.0,291896021.0,491249641.0,185985536.0,123308182.0,123308182.0,305264105.0,466726693.0,31990063.0,45285839.0,186543918.0,434108316.0,54794674.0,49791099.0,410219662.0,439727150.0
 Greenland ,1983,51984,7974,78438885.0,22599640.0,307006081.0,496325717.0,201719086.0,95599839.0,95599839.0,294606631.0,444145226.0,33085544.0,46836652.0,192933166.0,448975871.0,56671228.0,51496300.0,414517620.0,454786411.0
 Greenland ,1984,52638,7298,71500726.0,20600619.0,287161842.0,490560864.0,181725988.0,96060003.0,96060003.0,308834875.0,459222910.0,30159195.0,42694011.0,175865514.0,409260821.0,51658532.0,46941419.0,384172112.0,414559799.0
