Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Guatemala ,1970,5453208,300,274735099.0,31133022.0,431625729.0,1462320400.0,189377707.0,267953365.0,262431765.0,1272942693.0,421936365.0,301248393.0,327529663.0,556905486.0,1516836661.0,78838794.0,247694597.0,1633411143.0,1670434427.0
 Guatemala ,1971,5598298,304,290413341.0,31512275.0,418686722.0,1527910885.0,174242500.0,313270621.0,289928806.0,1353668384.0,462447242.0,318654585.0,345256005.0,574819736.0,1579038508.0,81374839.0,255662310.0,1702720136.0,1741322613.0
 Guatemala ,1972,5744605,314,313989973.0,36076996.0,484968614.0,1629975032.0,196007177.0,279584429.0,299717753.0,1433967855.0,485257982.0,331518149.0,361972928.0,602432642.0,1667700111.0,85283884.0,267943690.0,1802033778.0,1843794638.0
 Guatemala ,1973,5895101,375,378538602.0,47565235.0,654884625.0,1941904397.0,208390528.0,385909904.0,392217801.0,1733513868.0,647052192.0,410451877.0,450604575.0,736024160.0,2044289579.0,104195879.0,327361128.0,2212009622.0,2254121414.0
 Guatemala ,1974,6048168,451,465896553.0,54867495.0,864716251.0,2363855969.0,258424268.0,645194835.0,514634630.0,2105431701.0,1011400788.0,496502228.0,542819204.0,913737741.0,2513077764.0,129354052.0,406402717.0,2729546004.0,2773675653.0
 Guatemala ,1975,6201734,506,540183246.0,69370722.0,966763511.0,2763754416.0,313086129.0,643878112.0,627812454.0,2450668285.0,1069487153.0,553392223.0,611952256.0,1055316358.0,2895591902.0,149396749.0,469372571.0,3138205857.0,3198741558.0
 Guatemala ,1976,6342726,594,629385783.0,112287901.0,1149496463.0,3266748465.0,371875774.0,1025289208.0,990113473.0,2894872691.0,1500896832.0,681425704.0,776214723.0,1243332328.0,3490230467.0,176013385.0,552996347.0,3765145165.0,3829804313.0
 Guatemala ,1977,6487153,737,761527771.0,152251217.0,1636051937.0,3961001219.0,443424023.0,1205022055.0,1142337095.0,3517577197.0,1793696985.0,878439402.0,1006963871.0,1567192285.0,4406835441.0,221860892.0,697039405.0,4779688428.0,4808201621.0
 Guatemala ,1978,6648770,798,828721522.0,171833716.0,1591375745.0,4528669693.0,543616588.0,1440057317.0,1339325901.0,3985053105.0,2062938506.0,986499511.0,1131554793.0,1740789143.0,4893585442.0,246436291.0,774249975.0,5302576516.0,5325825734.0
 Guatemala ,1979,6814717,887,925454007.0,202956946.0,1798766048.0,5240417821.0,610411632.0,1420087000.0,1414667795.0,4630006190.0,2224109472.0,1131044670.0,1302372891.0,1984376395.0,5578670299.0,280919892.0,882590168.0,6045323253.0,6056202133.0
 Guatemala ,1980,6987767,980,1033982968.0,238962649.0,2133227162.0,6083077645.0,783653457.0,1373453020.0,1424676718.0,5299424188.0,2447230918.0,1314597960.0,1516320775.0,2268168145.0,6387341856.0,321095134.0,1008812187.0,6850886747.0,6912826175.0
 Guatemala ,1981,7165502,1041,1136035276.0,279715104.0,1795592330.0,6836584014.0,850948838.0,1608707736.0,1587239229.0,5985635176.0,2532241436.0,1382558981.0,1618683694.0,2482618889.0,6972700201.0,351454108.0,1104193129.0,7461595468.0,7551784891.0
 Guatemala ,1982,7332790,1028,1156872972.0,271809401.0,1573065830.0,6939009826.0,844944789.0,1353482704.0,1440405026.0,6094065038.0,2030903751.0,1375801767.0,1605252216.0,2531734915.0,7050115103.0,358407018.0,1126038581.0,7541607874.0,7647940150.0
 Guatemala ,1983,7512048,1044,1211469975.0,239095007.0,1435253202.0,7254322030.0,860455248.0,1100013304.0,1045107556.0,6393866782.0,1641750035.0,1437986783.0,1639821340.0,2653663465.0,7299987093.0,375668200.0,1180269107.0,7840250668.0,7939739777.0
 Guatemala ,1984,7718971,1053,1281917635.0,209799041.0,1533394346.0,7604639350.0,907987300.0,1202498334.0,1003532029.0,6696652049.0,1824360602.0,1504995661.0,1682100578.0,2800586995.0,7616486920.0,396467789.0,1245614884.0,8127137248.0,8308568886.0
 Guatemala ,1985,7932185,1200,1526681325.0,243359461.0,2524326943.0,8896565641.0,972405741.0,1410431022.0,1347245048.0,7924159900.0,2800735060.0,1774654826.0,1980087446.0,3297870561.0,8981656385.0,466864658.0,1466792935.0,9518317849.0,9808538284.0
 Guatemala ,1986,8148185,884,1142725263.0,200415874.0,1654955906.0,6590300105.0,749772275.0,957697367.0,934576781.0,5840527830.0,1536405133.0,1347268721.0,1516452561.0,2483466685.0,6799207209.0,351574908.0,1104571918.0,7206918548.0,7410786414.0
 Guatemala ,1987,8369359,723,972179295.0,167627246.0,1370558168.0,5811205761.0,700272228.0,1081337766.0,962748416.0,5110933533.0,1968703972.0,1113429406.0,1254936442.0,2078108763.0,5691317507.0,294189976.0,924275783.0,6049604612.0,6215349608.0
 Guatemala ,1988,8600111,782,1070868334.0,212308242.0,1541679113.0,6408996092.0,782999782.0,1178873376.0,1153463936.0,5625996310.0,2144491607.0,1212545860.0,1391759136.0,2291490234.0,6310007479.0,324392689.0,1019188844.0,6722949704.0,6880726588.0
 Guatemala ,1989,8839538,816,1138859268.0,235242657.0,1776820407.0,6835367183.0,830603853.0,1247235855.0,1271255863.0,6004763330.0,2356057841.0,1279684629.0,1478275655.0,2470942741.0,6772132537.0,349807115.0,1099005101.0,7209376738.0,7378697959.0
 Guatemala ,1990,9084780,721,1045797198.0,205851386.0,1843825319.0,6100421024.0,648014228.0,1141922002.0,1092339899.0,5452406797.0,2262779207.0,1154028929.0,1327811895.0,2250644175.0,6149717613.0,318615300.0,1000997660.0,6549870075.0,6711732893.0
