Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Honduras ,1970,2782753,286,233958841.0,47316976.0,307601725.0,708934451.0,105808326.0,165864736.0,157595647.0,603126125.0,351594458.0,128903798.0,138276445.0,186435381.0,820930973.0,73870805.0,141072523.0,794572408.0,824353574.0
 Honduras ,1971,2867501,293,252284599.0,47316977.0,331742620.0,740374143.0,111544923.0,137305246.0,148774995.0,628829221.0,316435012.0,141146059.0,150561833.0,197193794.0,871846111.0,77708250.0,146780660.0,838978468.0,872073029.0
 Honduras ,1972,2956021,312,274885101.0,46565699.0,358996816.0,807434032.0,123017548.0,140599924.0,144069984.0,684416484.0,322173846.0,159148650.0,170368730.0,222883043.0,960488061.0,89220172.0,156565316.0,921273453.0,957963634.0
 Honduras ,1973,3046715,343,312148741.0,54827607.0,450889617.0,902799604.0,118556318.0,191128901.0,191114124.0,784243286.0,430523826.0,187954701.0,202774228.0,239340268.0,1090565416.0,98814193.0,182660376.0,1043838417.0,1088600052.0
 Honduras ,1974,3136539,386,335972226.0,72102059.0,510852485.0,1072389174.0,154250693.0,297677772.0,254622818.0,918138481.0,650808517.0,211719088.0,229965506.0,263714677.0,1231484567.0,116082693.0,213647405.0,1211989359.0,1234144388.0
 Honduras ,1975,3231631,403,338415661.0,81114817.0,529542211.0,1225644276.0,177197077.0,233968138.0,279908687.0,1048447199.0,638610342.0,229722413.0,248021277.0,302658208.0,1345557302.0,126635666.0,248711674.0,1301393558.0,1340916668.0
 Honduras ,1976,3334814,461,420270713.0,88625448.0,699307213.0,1395788990.0,221815046.0,284496469.0,323423903.0,1173973944.0,740500981.0,261408263.0,280489248.0,369177090.0,1601400440.0,152538416.0,290299527.0,1535857547.0,1608145612.0
 Honduras ,1977,3441122,553,548551017.0,108904152.0,894770588.0,1648980802.0,265795616.0,422900156.0,418098900.0,1383185187.0,940694560.0,319018899.0,341089665.0,423784829.0,1949878678.0,189953499.0,337595518.0,1903539713.0,1991690727.0
 Honduras ,1978,3550368,612,569931068.0,149461561.0,1087119009.0,1805590361.0,265795616.0,562951506.0,548056504.0,1539794746.0,1115774249.0,374469136.0,401900530.0,530478634.0,2284897677.0,219693693.0,413432192.0,2174120630.0,2301867180.0
 Honduras ,1979,3662736,686,626130059.0,159976444.0,1321519311.0,2089544812.0,314237982.0,662360504.0,609213024.0,1775306830.0,1336776480.0,436400570.0,472748861.0,639352930.0,2660175509.0,268621109.0,493346107.0,2513382918.0,2686008788.0
