Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Indonesia ,1970,115782415,88,4192326126.0,261406671.0,1320414311.0,8562429070.0,850012315.0,1358498959.0,1292185375.0,7712416755.0,1501076667.0,938187541.0,1428413061.0,1477584066.0,9816061691.0,331598038.0,2124733729.0,10189723075.0,10439687780.0
 Indonesia ,1971,118911088,90,4056616500.0,309803455.0,1484535984.0,8801622438.0,915949641.0,1603376549.0,1525109544.0,7885672797.0,1658232397.0,910164803.0,1666306356.0,1605320737.0,10328955639.0,518102101.0,2172806490.0,10658991138.0,10961574983.0
 Indonesia ,1972,122078159,101,4275065171.0,397671985.0,2026910379.0,9701638427.0,1050067025.0,2237112463.0,2127910358.0,8651571402.0,1952269927.0,1254177880.0,2427319001.0,1808926600.0,12123785117.0,549630961.0,2665171400.0,12343918613.0,12865165686.0
 Indonesia ,1973,125293093,145,6306710186.0,598793448.0,3606942879.0,14376393098.0,1816057946.0,3153362725.0,2999434904.0,12560335152.0,3339937369.0,1819677727.0,3797793572.0,2521056230.0,17875203203.0,776127236.0,3874722530.0,18175163424.0,19035596817.0
 Indonesia ,1974,128537473,222,8138216060.0,927901298.0,8099661553.0,21334418857.0,2133107168.0,4690888093.0,4461907717.0,19201311689.0,5816660271.0,2491558734.0,8077987330.0,3558963478.0,28189614738.0,1334818047.0,6151728525.0,28511100706.0,30184091622.0
 Indonesia ,1975,131813341,256,9315778921.0,1348427994.0,7705983422.0,26008341007.0,3180637799.0,6713947788.0,6386214050.0,22827703208.0,7056276394.0,3146642716.0,9024137076.0,4777732440.0,33331434959.0,1573394124.0,7291964404.0,33753077003.0,35638538511.0
 Indonesia ,1976,135130675,310,11198483180.0,1858088067.0,9631814281.0,31676506421.0,4035402503.0,8366330739.0,7957937803.0,27641103918.0,8837910903.0,4067679596.0,11027347514.0,5866100737.0,40796872594.0,2002227071.0,8844626026.0,41846442646.0,43598930249.0
 Indonesia ,1977,138480848,370,13744439247.0,2338037014.0,11879503611.0,37840249605.0,5268089879.0,9987388895.0,9499865845.0,32572159725.0,9578167495.0,5086699123.0,13610186577.0,7654878426.0,50082111871.0,2479379224.0,10255191384.0,51196542084.0,53588883621.0
 Indonesia ,1978,141878635,404,14651373414.0,2664885472.0,12421285981.0,43604629889.0,6331640107.0,11447168283.0,10888387760.0,37272989782.0,11171282176.0,6360301357.0,16028583920.0,8945283777.0,56441364493.0,2925908244.0,11225329667.0,57298456583.0,60194385810.0
 Indonesia ,1979,145327636,391,13944546432.0,2724897322.0,17060121683.0,40289937674.0,6306610825.0,11656344209.0,11087353001.0,33983326849.0,12627462827.0,6173929501.0,17109287374.0,8675532220.0,56337464767.0,2860360418.0,11022841002.0,56811387468.0,60128483270.0
