Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Iran (Islamic Republic of) ,1970,28449705,370,1425914188.0,728814764.0,2026823483.0,8245151093.0,1909195636.0,4460351277.0,4041435835.0,6335955457.0,2327125275.0,1363387788.0,3725629128.0,3101263151.0,10556229224.0,497989325.0,1076618668.0,10523103057.0,10976245143.0
 Iran (Islamic Republic of) ,1971,29273682,451,1745683083.0,847984496.0,3172763373.0,10235364927.0,2565524103.0,4779435357.0,4772769206.0,7669840824.0,2928005478.0,1636351173.0,5075205669.0,3638435941.0,13265968434.0,574997984.0,1383661261.0,13203000785.0,13731801564.0
 Iran (Islamic Republic of) ,1972,30111574,552,2050594513.0,1114623883.0,3936285288.0,12017719233.0,3297949921.0,6879506822.0,6331888263.0,8719769311.0,3689023911.0,2007925157.0,6329107903.0,4409407710.0,16706543150.0,825276450.0,1977532691.0,16621901691.0,17153470026.0
 Iran (Islamic Republic of) ,1973,30981898,853,2672441937.0,1866847111.0,9055496276.0,16720136745.0,4678462696.0,9497704596.0,9264313593.0,12041674050.0,5594088049.0,2974867544.0,12660270196.0,6132907160.0,26771780975.0,1270213756.0,2169100814.0,26441696096.0,27079771797.0
 Iran (Islamic Republic of) ,1974,31895534,1443,3202658871.0,1905700846.0,21883277778.0,26712694334.0,9737211353.0,14334159560.0,12918673346.0,16975482981.0,11102534294.0,4036123858.0,26884926833.0,9980676514.0,47072772215.0,1933120694.0,3165688457.0,46032162031.0,46195583157.0
 Iran (Islamic Republic of) ,1975,32856976,1588,3480574295.0,3819951637.0,21249667849.0,36191584727.0,12437208533.0,21593649747.0,22016172823.0,23754376193.0,18455806449.0,4753732317.0,25774474371.0,13242903969.0,53025246880.0,2562127259.0,4145215349.0,52187339849.0,52164683820.0
 Iran (Islamic Republic of) ,1976,33841060,2005,4433155435.0,7533874541.0,25425363113.0,40526534589.0,14646665060.0,32864241073.0,33701979590.0,25879869529.0,19292026407.0,6434419145.0,31585180673.0,17159210203.0,69128342399.0,3148846947.0,5268074601.0,67867174367.0,68338555941.0
 Iran (Islamic Republic of) ,1977,34876497,2284,4562523900.0,9259369826.0,24800560564.0,50315460242.0,16384884640.0,39001514567.0,39568986628.0,33930575601.0,23429453276.0,7405363702.0,33658034489.0,23036836853.0,80843489124.0,4562682856.0,5764041200.0,79663864977.0,80533580566.0
 Iran (Islamic Republic of) ,1978,35993661,2134,5818455328.0,9661383318.0,18303452468.0,57348596580.0,18184591168.0,30506448322.0,36847704633.0,39164005411.0,17325292866.0,6881237389.0,25958183795.0,26204851630.0,79124750183.0,4906986045.0,6574890066.0,76823118084.0,77971515513.0
 Iran (Islamic Republic of) ,1979,37205013,2451,7746052683.0,8724531401.0,24169447311.0,65223918960.0,17857519672.0,22598746789.0,28107256328.0,47366399289.0,14512231484.0,6746100391.0,32620712443.0,30690003185.0,93036302850.0,6090289594.0,7164713544.0,91180905407.0,90365451874.0
 Iran (Islamic Republic of) ,1980,38520664,2505,10575733050.0,10525252295.0,13134037332.0,75255164509.0,20107138732.0,45767189431.0,35304183867.0,55148025776.0,27486811389.0,9397951433.0,23087719282.0,36842311474.0,96902170867.0,7709281526.0,8161873240.0,96506509203.0,95617448298.0
 Iran (Islamic Republic of) ,1981,40476251,2559,14056949883.0,9780001254.0,12697436804.0,87804904292.0,22019787082.0,41137557685.0,34494758096.0,65785117210.0,28683692011.0,10850398857.0,25860731608.0,37824806434.0,104000000000.0,7803851255.0,8323966646.0,104000000000.0,103000000000.0
 Iran (Islamic Republic of) ,1982,42500030,3003,16247655167.0,11502420135.0,21737353916.0,102000000000.0,23510765941.0,34053192444.0,39363887576.0,78701999647.0,26676166341.0,12902445936.0,40058670825.0,40975428010.0,127000000000.0,8948419982.0,9168553641.0,128000000000.0,127000000000.0
 Iran (Islamic Republic of) ,1983,44027986,3601,17458599226.0,18721681021.0,22948109522.0,124000000000.0,25635926854.0,57265573980.0,61870817168.0,98774670899.0,38204610961.0,14309182228.0,41371521269.0,47314248284.0,154000000000.0,11602687573.0,17914925498.0,159000000000.0,158000000000.0
 Iran (Islamic Republic of) ,1984,45628402,3639,20382242053.0,19466794081.0,18735407284.0,134000000000.0,25027001897.0,54723993441.0,65306126046.0,109000000000.0,27524394853.0,15677801243.0,37566618231.0,49107057942.0,161000000000.0,12624707669.0,22221583279.0,166000000000.0,166000000000.0
 Iran (Islamic Republic of) ,1985,47266160,1614,9738400465.0,7826767808.0,6774352306.0,63232000634.0,12128575527.0,18511347511.0,25072137141.0,51103425107.0,10896189251.0,6768506825.0,15473860527.0,24203395604.0,74111011819.0,5544033688.0,11324553728.0,76292859655.0,76256875908.0
 Iran (Islamic Republic of) ,1986,48913237,1506,11206561519.0,7277432082.0,2746158409.0,63997975663.0,11219041773.0,16347005172.0,22055267515.0,52778933890.0,7663276112.0,6740766444.0,11054062374.0,23861291218.0,71495284279.0,5063217509.0,13032719576.0,73645186751.0,73591672222.0
 Iran (Islamic Republic of) ,1987,50541490,1733,14286556969.0,7253001635.0,8024872324.0,72974738364.0,12575445330.0,17608002795.0,23012533421.0,60399293034.0,7648092997.0,8975121641.0,14636541770.0,26744001678.0,85303054328.0,5773299345.0,16609652931.0,87589255171.0,87632619626.0
 Iran (Islamic Republic of) ,1988,52111868,1771,14210930516.0,6497884343.0,6729204523.0,83232568932.0,13886688787.0,15826389546.0,22721487668.0,69345880146.0,13207625954.0,10447132667.0,16416204551.0,28021854642.0,90710885556.0,6115521961.0,19448489543.0,92305733383.0,92368652811.0
 Iran (Islamic Republic of) ,1989,53644736,1696,14182237183.0,6003031705.0,8947440859.0,76044334710.0,10908194730.0,20984472159.0,22453344007.0,65136139980.0,16486580975.0,9938166951.0,17801305729.0,25640118323.0,89055475307.0,5792533916.0,19636248451.0,90993548501.0,91047067934.0
 Iran (Islamic Republic of) ,1990,55793629,1726,12036646490.0,6268803732.0,12795877446.0,75859288969.0,10451959840.0,31821045821.0,26001974480.0,65407329129.0,22936303134.0,13984708642.0,25338292855.0,26207934190.0,94907396875.0,6662601404.0,18393118204.0,96323016926.0,96363628707.0
 Iran (Islamic Republic of) ,1991,57990883,1816,12628322288.0,7586904317.0,14530919095.0,76397477797.0,10801504454.0,44330237463.0,36447198368.0,65595973343.0,31922137504.0,16770096534.0,27514063405.0,27800423165.0,104000000000.0,8512906019.0,19670074096.0,105000000000.0,105000000000.0
 Iran (Islamic Republic of) ,1992,59372016,1849,13223001095.0,7748104304.0,14440901800.0,77854424127.0,10656472482.0,46291185975.0,36217894718.0,67197951646.0,29873616975.0,17626130204.0,29045335819.0,28446679001.0,108000000000.0,8027970681.0,21291774359.0,110000000000.0,110000000000.0
