Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Ireland ,1970,2937637,1597,598232195.0,383192720.0,1454829272.0,3802175131.0,718021525.0,1055717988.0,988014630.0,3084153606.0,1817196000.0,639555797.0,758138601.0,1049000686.0,3871756510.0,464628082.0,618564221.0,4690045345.0,4397032456.0
 Ireland ,1971,2969397,1826,671972643.0,461604556.0,1648087758.0,4400069721.0,866741585.0,1200074247.0,1191323115.0,3533328135.0,2033319656.0,732509866.0,872037099.0,1139866202.0,4385357455.0,540199045.0,699677909.0,5422608102.0,5099428171.0
 Ireland ,1972,3013998,2227,932891428.0,573927798.0,1954586077.0,5261050884.0,1080036790.0,1553328002.0,1477954916.0,4181014094.0,2318341522.0,917908458.0,1086012678.0,1420289435.0,5493137056.0,616006211.0,864009506.0,6712188646.0,6319159670.0
 Ireland ,1973,3062023,2574,1143492704.0,684384917.0,2545195577.0,6209571863.0,1305934647.0,1969472712.0,1867172790.0,4903637216.0,3083636731.0,1128805577.0,1318734976.0,1692101124.0,6639676604.0,750054688.0,1050908192.0,7880702508.0,7482772619.0
 Ireland ,1974,3110099,2679,1047100348.0,738549406.0,3009086226.0,7015404025.0,1512286072.0,2248103726.0,1921665894.0,5503117953.0,4151013820.0,1295248545.0,1519127465.0,1908326315.0,7323051853.0,878623755.0,1231324564.0,8332411963.0,7897532389.0
 Ireland ,1975,3157919,3153,1394999815.0,873155988.0,3625062165.0,8161907980.0,1967091251.0,2171506476.0,2129821653.0,6194816728.0,4251284040.0,1392989110.0,1658119877.0,2299940556.0,8491363110.0,1029750787.0,1235396088.0,9955423389.0,9485722573.0
 Ireland ,1976,3205753,3068,1356600622.0,830790812.0,3914684338.0,8113152761.0,1901624239.0,2355546031.0,2336656150.0,6211528522.0,4710509006.0,1332221212.0,1564255586.0,2406803713.0,8411722003.0,1029199933.0,1224071337.0,9835196475.0,9454942811.0
 Ireland ,1977,3254662,3555,1789268324.0,969993898.0,4973620974.0,9487787943.0,2139616278.0,3080889838.0,2752205592.0,7348171664.0,6049655198.0,1701159831.0,1988277846.0,3077544823.0,10574201887.0,1165396817.0,1583720178.0,11569552464.0,11250017211.0
 Ireland ,1978,3305571,4489,2225670276.0,1336244440.0,6547986660.0,12308299956.0,2794172480.0,4173191723.0,4003526406.0,9514127476.0,8058416937.0,2322623276.0,2705574599.0,4144993005.0,14182805099.0,1574231383.0,2196091395.0,14840178627.0,14650855644.0
 Ireland ,1979,3351898,5526,2311400880.0,1814737276.0,8154285612.0,15878557736.0,3693264192.0,5935407954.0,5519542074.0,12185293544.0,11136204091.0,2943817344.0,3358708914.0,5263893036.0,17527676892.0,1920646292.0,2858290494.0,18521440380.0,18322567261.0
 Ireland ,1980,3391387,6466,2197942014.0,2323571328.0,9647638542.0,19389212784.0,4819208582.0,5936845004.0,6145865046.0,14570004202.0,12600659176.0,3670454584.0,4188576359.0,6803246715.0,20222229701.0,1865993509.0,2842899780.0,21929697355.0,21750832091.0
 Ireland ,1981,3424827,6047,1923821620.0,2018317295.0,8965890726.0,18468150586.0,4586639711.0,5754045670.0,6056192060.0,13881510875.0,11906121061.0,3398905594.0,3877313703.0,6380194117.0,18824848336.0,1742616914.0,2882584688.0,20710139058.0,20673792987.0
 Ireland ,1982,3451212,6072,2018354008.0,1909662935.0,9241902800.0,17811468103.0,4735133719.0,5851748120.0,5624784095.0,13076334385.0,10937649707.0,3601981343.0,4109486655.0,6419354239.0,19193778665.0,1769777662.0,2967143165.0,20955015646.0,21477901105.0
 Ireland ,1983,3472903,5767,1967673000.0,1667668342.0,9750253057.0,17089262910.0,4476744451.0,4854011365.0,4746699278.0,12612518460.0,10545147835.0,3605575420.0,4116958530.0,6441690019.0,18576348669.0,1597265315.0,2785093460.0,20028291630.0,20768680434.0
 Ireland ,1984,3490931,5436,1959071745.0,1424749528.0,10718885079.0,16237608643.0,4190773023.0,4489591197.0,4258154713.0,12046835620.0,11057686989.0,3548298496.0,4043412808.0,6553065551.0,18044218154.0,1519428898.0,2544489625.0,18975858702.0,20109769251.0
 Ireland ,1985,3505769,5658,1763026603.0,1340790742.0,11494016917.0,17305828888.0,4400951258.0,4164579199.0,4000842444.0,12904877630.0,11427154993.0,4020481459.0,4588672394.0,7012458039.0,19352573275.0,1781083654.0,2866541842.0,19837393469.0,21273632646.0
 Ireland ,1986,3515669,7676,2206112440.0,1707538894.0,14098927891.0,23527070321.0,6008983832.0,5278139376.0,5101509633.0,17518086488.0,13790876098.0,5328632596.0,6099395779.0,9730691037.0,25953777864.0,2587752893.0,3622286820.0,26985888794.0,28719719180.0
 Ireland ,1987,3513700,9094,2869066217.0,1913641393.0,17787276994.0,27170122353.0,6697409925.0,5677333235.0,5695853229.0,20472712428.0,16384562992.0,6272893058.0,7105332461.0,11327096258.0,30830804335.0,3234202842.0,4381465163.0,31952179595.0,33924713228.0
 Ireland ,1988,3498030,10049,3268001361.0,2008130261.0,20997811241.0,29566196359.0,6797625653.0,6162667680.0,6455669189.0,22768570706.0,18744239746.0,6887013226.0,7897497529.0,13086529542.0,34704256511.0,3803615128.0,4640482689.0,35150922404.0,37776907745.0
 Ireland ,1989,3483314,10360,3283396235.0,1949442767.0,23123645607.0,30042311424.0,6558349789.0,7224133697.0,6995885882.0,23483961635.0,21008141982.0,7185805587.0,8297644091.0,13079042351.0,35619509581.0,3700328356.0,5309655781.0,36085818545.0,39246487127.0
 Ireland ,1990,3485374,13154,3496911854.0,2667558288.0,26974343921.0,36848575774.0,8480711679.0,10614509403.0,9473096639.0,28367864095.0,24813182834.0,9561759264.0,10501964098.0,16397809158.0,44846355833.0,4603846377.0,7178266058.0,45846465023.0,49315342227.0
 Ireland ,1991,3504805,13263,3261465119.0,2712803773.0,27673331860.0,37915599161.0,9058684283.0,9794739514.0,8757332411.0,28856914878.0,25321593927.0,9129304731.0,10872475161.0,17189257266.0,45909731125.0,4819871364.0,7053858441.0,46483764986.0,49796225470.0
 Ireland ,1992,3528367,14609,3859610321.0,2935446066.0,32661604426.0,42680608454.0,10396701080.0,9303729104.0,9676553804.0,32283907374.0,28598589595.0,10591205561.0,12491516353.0,19818457690.0,50898743402.0,5187567859.0,6606145114.0,51547387025.0,55930911755.0
 Ireland ,1993,3545700,13687,3444312321.0,2608946431.0,33214237748.0,39079011040.0,9636763910.0,8108283485.0,8338288458.0,29442247130.0,27903869379.0,9830523859.0,11513931298.0,19025300302.0,48144087281.0,4727878120.0,6823718810.0,48528735837.0,52423889381.0
 Ireland ,1994,3559398,14920,3548678505.0,2989865651.0,38804383639.0,42322000063.0,10395469124.0,9429287912.0,9696263950.0,31926530939.0,33419298939.0,11041289066.0,12843104426.0,20317805718.0,51658849404.0,5297385708.0,6662009396.0,53107564480.0,57107754891.0
 Ireland ,1995,3579482,17665,3858242785.0,3690952707.0,50833036395.0,48141098008.0,11904785653.0,13049127310.0,12494987925.0,36236312355.0,43271098119.0,14303432930.0,16317253684.0,24290548272.0,62439657063.0,6281559950.0,8001099666.0,63230320803.0,69141775605.0
 Ireland ,1996,3606728,19319,3554574930.0,4014486390.0,56771038188.0,52540059651.0,12575270070.0,15559878671.0,15020716667.0,39964789580.0,48475272256.0,15490850874.0,17428339227.0,25992869022.0,67432826287.0,6945349022.0,9497207697.0,69679239923.0,75788653534.0
