Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Israel ,1970,2907307,2005,361700793.0,583315564.0,1315334312.0,5405808993.0,2191647661.0,1795575365.0,1751666697.0,3214161331.0,2414385292.0,1458963198.0,1684669407.0,2231013462.0,6217196486.0,714072994.0,642424265.0,5829461350.0,6020096053.0
 Israel ,1971,3018583,2059,368721887.0,642234131.0,1523549512.0,5336199487.0,2177186038.0,2078433535.0,2027247757.0,3159013449.0,2470793546.0,1496859003.0,1756290277.0,2308340963.0,6504422367.0,766300952.0,662536537.0,6216610105.0,6369257914.0
 Israel ,1972,3120950,2605,444016809.0,908802571.0,2053030467.0,6625300677.0,2592693076.0,2736874729.0,2697734070.0,4032607601.0,2929254899.0,1907085570.0,2200358206.0,2995420796.0,8328785436.0,942072132.0,838114923.0,8128696758.0,8367679673.0
 Israel ,1973,3214274,3253,544993490.0,1100259486.0,2554230255.0,9637696175.0,4416764961.0,3614253178.0,3688308669.0,5220928831.0,4852119896.0,2267095964.0,2663229907.0,4209865399.0,10801514554.0,1225915901.0,1057250372.0,10455791938.0,10762005101.0
 Israel ,1974,3303720,4292,786888298.0,1503742311.0,3358511933.0,13013713976.0,5673181447.0,4651077602.0,4837431341.0,7340532529.0,6166171057.0,3012260505.0,3489567880.0,5642738009.0,14509744339.0,1563133074.0,1523677013.0,14180826261.0,14630913806.0
 Israel ,1975,3388086,4091,772033574.0,1345487548.0,3503495405.0,13366399028.0,6092105489.0,4613125191.0,4498233643.0,7274295117.0,6755401096.0,2823823922.0,3348325451.0,5621504205.0,14023646797.0,1393319438.0,1542976581.0,13861821381.0,14493208017.0
 Israel ,1976,3468120,4218,880837427.0,1164646614.0,4247437555.0,13758147297.0,5898310305.0,4080032592.0,4034054835.0,7859836993.0,6689681628.0,3306796239.0,3822348966.0,6028342568.0,14946474222.0,1440581290.0,1609717358.0,14627400702.0,15270839475.0
 Israel ,1977,3541374,4509,908380466.0,1064923148.0,5347028350.0,14306450722.0,5847869003.0,4057316591.0,3753558728.0,8458580762.0,7076692097.0,3462651426.0,4148519868.0,6948123296.0,16393867092.0,1573306792.0,1750613522.0,15966654613.0,16572416468.0
 Israel ,1978,3608733,4336,827589467.0,980050799.0,6306517674.0,14454248743.0,6019274013.0,4387686776.0,4049457681.0,8434974730.0,8663911632.0,3265733640.0,3951610040.0,6669446557.0,15769750950.0,1533467161.0,1807586352.0,15646979836.0,16363840950.0
 Israel ,1979,3675789,5507,1051223806.0,1463483817.0,7503783771.0,18210892650.0,7223270252.0,5834511005.0,5721621989.0,10987622792.0,10274708249.0,3586453448.0,4400242303.0,9555176075.0,20648332640.0,1840032310.0,2338173936.0,20242585169.0,21094207451.0
