Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Italy ,1970,53324036,2145,9082146359.0,9522155094.0,17195508874.0,83954402455.0,17049133058.0,29491015439.0,28739058015.0,66905269397.0,16936699281.0,27161753118.0,29894642126.0,32184268793.0,104000000000.0,7498918186.0,15527552509.0,114000000000.0,113000000000.0
 Italy ,1971,53636099,2345,9556338333.0,10023747870.0,19424699998.0,94295040001.0,20490966867.0,29715785832.0,31016330528.0,73804073133.0,18472144956.0,29438026203.0,32378337570.0,37626974900.0,114000000000.0,8209913979.0,16685478956.0,126000000000.0,125000000000.0
 Italy ,1972,53995422,2715,10230016644.0,11286139892.0,23696507958.0,111000000000.0,24717995854.0,33315195009.0,35336348579.0,86370485340.0,22528286938.0,33920688257.0,37375296195.0,45761911758.0,135000000000.0,10028267965.0,19899395569.0,147000000000.0,145000000000.0
 Italy ,1973,54379582,3249,13193529589.0,14022450980.0,28264509766.0,133000000000.0,28668807824.0,46259122829.0,45409702011.0,104000000000.0,31517818666.0,43014343338.0,46861732364.0,53111796309.0,163000000000.0,11167963357.0,24528339851.0,177000000000.0,175000000000.0
 Italy ,1974,54750683,3648,13445024552.0,15743927085.0,36970190791.0,148000000000.0,30977166042.0,59416936408.0,54302165812.0,118000000000.0,44464128227.0,52051350858.0,56446378472.0,58121034916.0,185000000000.0,12262752346.0,29340786218.0,200000000000.0,200000000000.0
 Italy ,1975,55093989,4143,16185381520.0,18773832314.0,42656558572.0,174000000000.0,36356090776.0,54145195569.0,59440548581.0,138000000000.0,42510676004.0,56566925129.0,61963169675.0,70970569108.0,216000000000.0,15913926177.0,32611521319.0,228000000000.0,228000000000.0
 Italy ,1976,55388902,4064,14852430303.0,15996948253.0,45047564010.0,168000000000.0,34576056916.0,59774645175.0,56092246198.0,134000000000.0,47525822581.0,60116838084.0,65095049506.0,67360008570.0,211000000000.0,14792880449.0,33364734100.0,225000000000.0,225000000000.0
 Italy ,1977,55649667,4641,16313900332.0,17776153837.0,55071376031.0,193000000000.0,40398077937.0,62959432648.0,64000808146.0,152000000000.0,52624827919.0,67924918762.0,73223624723.0,77555894710.0,242000000000.0,18755693132.0,38080895180.0,258000000000.0,258000000000.0
 Italy ,1978,55877016,5655,19675679184.0,21197570356.0,68301034255.0,234000000000.0,51242130430.0,75260725530.0,76319461743.0,182000000000.0,61718410607.0,80481030015.0,87327237421.0,98624489628.0,296000000000.0,23103980577.0,46319898259.0,316000000000.0,315000000000.0
 Italy ,1979,56070678,7061,23619502780.0,25580998672.0,88124664080.0,294000000000.0,64337360087.0,96140222259.0,95655300460.0,230000000000.0,83951573178.0,102000000000.0,110000000000.0,123000000000.0,373000000000.0,30038041565.0,60190831355.0,396000000000.0,394000000000.0
