Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Jamaica ,1970,1859091,857,101179899.0,148594430.0,482922629.0,1125743500.0,173487168.0,440207970.0,435476032.0,952256332.0,407294190.0,219677208.0,408618550.0,501516048.0,1680397046.0,106899400.0,413588718.0,1593878188.0,1735587594.0
 Jamaica ,1971,1886143,911,131077805.0,145824301.0,538758739.0,1275869982.0,201161077.0,487201858.0,422462859.0,1074708905.0,488506514.0,247398985.0,426688407.0,552108414.0,1853690982.0,128195270.0,469796787.0,1718030205.0,1899612250.0
 Jamaica ,1972,1915299,1139,146925352.0,157618054.0,635852908.0,1667544122.0,270424650.0,511439895.0,472338931.0,1397119472.0,596738992.0,313681447.0,493910416.0,735056167.0,2291202739.0,162504778.0,595187971.0,2181357997.0,2312146044.0
 Jamaica ,1973,1945320,1152,148994685.0,156517715.0,619168356.0,1666357482.0,326942645.0,597352086.0,490840124.0,1339414838.0,615772724.0,316021755.0,499903598.0,774540981.0,2350607237.0,176462116.0,594188141.0,2240892875.0,2371209434.0
 Jamaica ,1974,1974880,1467,190443168.0,186777043.0,876596137.0,2254666759.0,447206721.0,574805852.0,519855755.0,1807460038.0,844903477.0,423524230.0,662373601.0,960306989.0,2904838490.0,208592069.0,696345619.0,2896564249.0,2945629166.0
 Jamaica ,1975,2003094,1714,236693652.0,220808083.0,1043539734.0,2672408745.0,552608979.0,733391853.0,662701940.0,2119799766.0,1011037142.0,485762165.0,770792946.0,1169483224.0,3507509764.0,240496173.0,869235686.0,3432800057.0,3547660543.0
 Jamaica ,1976,2029486,1696,264765470.0,185377309.0,891276249.0,2966658292.0,651061636.0,537485061.0,490068955.0,2315596656.0,870901819.0,536515069.0,856263790.0,1318110153.0,3618754475.0,261461727.0,732776027.0,3441839947.0,3678489477.0
 Jamaica ,1977,2054927,1821,307800679.0,158519908.0,1056399057.0,3200410217.0,709322446.0,395315829.0,379944765.0,2491087771.0,828366827.0,595690329.0,998524725.0,1425230608.0,3951459649.0,290479269.0,770904461.0,3742252532.0,4030322453.0
 Jamaica ,1978,2080485,1453,236257961.0,141867785.0,1153083302.0,2439076907.0,558723837.0,395867522.0,348876819.0,1880353070.0,836291970.0,449040009.0,868318668.0,1041622269.0,3201312910.0,221839275.0,691406952.0,3022021615.0,3279920720.0
 Jamaica ,1979,2106937,1293,196460735.0,140288300.0,1210532428.0,2212455301.0,492242589.0,463656425.0,418937905.0,1720212712.0,936422686.0,403096072.0,804268530.0,954476458.0,2954792771.0,191660562.0,667638186.0,2724179628.0,3017123959.0
