Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Japan ,1970,105416839,2015,11772096650.0,14251215731.0,22026785819.0,123000000000.0,23632552790.0,87370670739.0,80257981681.0,98881949459.0,19572635761.0,74229578046.0,80829448615.0,50148209098.0,209000000000.0,18489560753.0,33816870788.0,212000000000.0,213000000000.0
 Japan ,1971,106789355,2248,11507987019.0,16899846429.0,26966714225.0,143000000000.0,28557230151.0,90431127311.0,87434390898.0,114000000000.0,20867004498.0,82055841752.0,89301211872.0,60259410124.0,236000000000.0,20537407503.0,37363222703.0,240000000000.0,240000000000.0
 Japan ,1972,108220404,2942,15728830963.0,23249798158.0,32270972031.0,192000000000.0,38769632578.0,119000000000.0,115000000000.0,153000000000.0,25436329223.0,107000000000.0,115000000000.0,83397695408.0,313000000000.0,25438598239.0,49906143053.0,318000000000.0,318000000000.0
 Japan ,1973,109679470,3944,23198982954.0,32930112977.0,41576289386.0,260000000000.0,53589739617.0,173000000000.0,167000000000.0,206000000000.0,41807602702.0,147000000000.0,158000000000.0,112000000000.0,429000000000.0,33848836021.0,68523768248.0,433000000000.0,432000000000.0
 Japan ,1974,111100023,4314,24266140559.0,36429513868.0,62536307378.0,297000000000.0,65355331880.0,188000000000.0,177000000000.0,232000000000.0,66503972919.0,156000000000.0,168000000000.0,126000000000.0,472000000000.0,36639442739.0,80867130110.0,479000000000.0,480000000000.0
 Japan ,1975,112411640,4639,25902456667.0,43818831064.0,63986133889.0,343000000000.0,78243708239.0,180000000000.0,180000000000.0,265000000000.0,64302596002.0,153000000000.0,167000000000.0,143000000000.0,508000000000.0,42442798545.0,85433490111.0,522000000000.0,522000000000.0
 Japan ,1976,113624865,5159,28243954438.0,46464424970.0,76182443148.0,386000000000.0,86336014935.0,197000000000.0,194000000000.0,300000000000.0,72270446349.0,174000000000.0,191000000000.0,161000000000.0,573000000000.0,48873704708.0,97827744922.0,586000000000.0,586000000000.0
 Japan ,1977,114761516,6290,33062840178.0,54084602834.0,90568192250.0,476000000000.0,106000000000.0,234000000000.0,231000000000.0,370000000000.0,79894824197.0,209000000000.0,231000000000.0,202000000000.0,702000000000.0,63485287254.0,118000000000.0,722000000000.0,721000000000.0
 Japan ,1978,115809525,8765,42361051900.0,80042227138.0,108000000000.0,666000000000.0,146000000000.0,330000000000.0,328000000000.0,520000000000.0,91906341383.0,291000000000.0,323000000000.0,290000000000.0,985000000000.0,87104249975.0,162000000000.0,1020000000000.0,1010000000000.0
 Japan ,1979,116765509,9056,41466015001.0,86978599540.0,117000000000.0,704000000000.0,153000000000.0,361000000000.0,355000000000.0,551000000000.0,127000000000.0,299000000000.0,331000000000.0,310000000000.0,1030000000000.0,87083904038.0,170000000000.0,1060000000000.0,1060000000000.0
