Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Kosovo ,1990,1964986,2570,276984628.0,584628413.0,648977667.0,5475457651.0,1397931071.0,1178853025.0,1178853025.0,4077526582.0,2879029560.0,458841012.0,756776596.0,1344778566.0,3605257087.0,172282065.0,469806819.0,5049782796.0,4423830273.0
 Kosovo ,1991,2001982,2324,255684646.0,539394817.0,599050712.0,5049973570.0,1289018343.0,1087042106.0,1087042106.0,3760955227.0,2659835444.0,417221002.0,695809266.0,1211914034.0,3294073136.0,159980884.0,431289489.0,4653180900.0,4076389691.0
 Kosovo ,1992,2039030,1746,195902599.0,398131049.0,458366734.0,3862618045.0,986194997.0,831774382.0,831774382.0,2876423047.0,2034172335.0,321689299.0,532300771.0,990008442.0,2570826657.0,120451451.0,334032345.0,3559158116.0,3117977951.0
 Kosovo ,1993,2073990,1320,149371575.0,327252709.0,350479736.0,2963087740.0,756640679.0,637941957.0,637941957.0,2206447061.0,1552896929.0,253350322.0,412007481.0,712624079.0,1948095881.0,93426089.0,253413947.0,2737638075.0,2398290517.0
 Kosovo ,1994,2107947,1326,154393404.0,325213454.0,361695050.0,3041433859.0,775824070.0,654320459.0,654320459.0,2265609790.0,1610083750.0,240540396.0,415174276.0,678830134.0,1928051675.0,98307156.0,256133251.0,2794904633.0,2448458523.0
 Kosovo ,1995,2141405,2827,334934183.0,603518491.0,780515273.0,6570219379.0,1678780274.0,1416455146.0,1416455146.0,4891439105.0,3458650970.0,560279194.0,905894902.0,2005687866.0,4634499643.0,195114781.0,589349420.0,6054237367.0,5303776345.0
 Kosovo ,1996,2173716,1793,207052110.0,555678425.0,490062393.0,4184523644.0,1069019588.0,900364534.0,900364534.0,3115504056.0,2160671460.0,385949429.0,597558752.0,805825769.0,2648206511.0,136329684.0,345761770.0,3897574808.0,3414445754.0
 Kosovo ,1997,2204865,1632,206099957.0,384376800.0,480661457.0,3978864329.0,1011787985.0,854116035.0,854116035.0,2967076343.0,2168296652.0,239736351.0,513455790.0,685854961.0,2247441049.0,137868618.0,319784922.0,3598271522.0,3152243003.0
 Kosovo ,1998,2090490,1521,167541395.0,278299162.0,405251725.0,3422391542.0,878916848.0,742512524.0,742512524.0,2543474694.0,1770763263.0,227112964.0,464127584.0,864671152.0,2209348832.0,135346334.0,299363206.0,3179815033.0,2785656843.0
 Kosovo ,1999,1888579,1137,135378820.0,164901122.0,249488311.0,2230782704.0,569591903.0,477037973.0,477037973.0,1661190801.0,1081492044.0,153967413.0,289871872.0,577027375.0,1439303032.0,77156067.0,194967776.0,2147440842.0,1881251965.0
 Kosovo ,2000,1823286,1061,124456482.0,145972689.0,304089341.0,2326776874.0,584326880.0,496343680.0,496343680.0,1742449994.0,1446302597.0,151102510.0,225503749.0,685845561.0,1418097309.0,59721706.0,176597123.0,1935405367.0,1695499628.0
 Kosovo ,2001,1840256,1525,184121898.0,225977933.0,313534690.0,2840510954.0,753548679.0,638151060.0,638151060.0,2086962276.0,1206912672.0,221533289.0,331028142.0,1008121347.0,2108935682.0,91687641.0,267998720.0,2805848159.0,2519062574.0
 Kosovo ,2002,1846786,1663,205334197.0,227178260.0,266007826.0,2991231318.0,748319907.0,607189959.0,496772671.0,2242911412.0,1110264765.0,262146627.0,392319381.0,1182965259.0,2395529224.0,98953608.0,288778519.0,3071622569.0,2828697005.0
 Kosovo ,2003,1839425,1905,244529113.0,289584290.0,303238418.0,3535829445.0,840118870.0,749775796.0,614019239.0,2695710575.0,1371170278.0,284594205.0,422916179.0,1296384123.0,2707108856.0,112506967.0,341188184.0,3503651343.0,3280907486.0
 Kosovo ,2004,1832239,2053,257062555.0,358216096.0,384918639.0,3836088833.0,852176735.0,962033190.0,813337166.0,2983912098.0,1629199183.0,300734396.0,451156313.0,1379693931.0,2991234080.0,142220147.0,402885037.0,3761994411.0,3562708351.0
 Kosovo ,2005,1825050,2065,485350154.0,270143460.0,413739034.0,3869749061.0,736793671.0,1014272676.0,827486449.0,3132955390.0,1765486737.0,383228335.0,563738507.0,1104919029.0,2952496234.0,124953124.0,403391961.0,3769534497.0,3595083511.0
 Kosovo ,2006,1817659,2093,424572873.0,284823033.0,553382417.0,3888329254.0,606419572.0,1155916289.0,925327443.0,3281909683.0,1988600266.0,430191229.0,600958025.0,1129095805.0,2960643283.0,135469405.0,385724142.0,3804370233.0,3681888317.0
 Kosovo ,2007,1810222,2536,544437592.0,377846264.0,748095224.0,4557034200.0,543353033.0,1441049114.0,1143590566.0,4013681166.0,2448523062.0,452643470.0,658382161.0,1224829410.0,3463036010.0,129956988.0,527583594.0,4591131703.0,4352731710.0
 Kosovo ,2008,1803370,2995,583548787.0,386701010.0,890816651.0,5444471487.0,524684735.0,1932028502.0,1542384657.0,4919786752.0,3085346455.0,727639375.0,1014679449.0,1287693810.0,4314791439.0,275185234.0,766983149.0,5400841770.0,5181968721.0
 Kosovo ,2009,1797466,2832,415097251.0,366022686.0,964386197.0,5350646009.0,566994186.0,1636067047.0,1541549262.0,4783651823.0,2935506692.0,746094262.0,1037868850.0,1326099612.0,4167026005.0,281501520.0,740436086.0,5090256686.0,5015592560.0
 Kosovo ,2010,1792563,3024,504875900.0,409088226.0,1156860923.0,5643620276.0,655490774.0,1768643041.0,1655607387.0,4988129502.0,3230382501.0,735284699.0,1034571515.0,1399479590.0,4396780604.0,297729293.0,751036079.0,5420990633.0,5338743063.0
 Kosovo ,2011,1799338,3601,515061228.0,533725163.0,1580291510.0,6345368268.0,803917115.0,2283625499.0,1973344871.0,5541451154.0,3875970859.0,830905171.0,1208875581.0,1649994205.0,5130109194.0,347362445.0,875090572.0,6479527095.0,6333314419.0
 Kosovo ,2012,1811412,3506,458925782.0,521146518.0,1511493860.0,6189621746.0,802477367.0,1966368472.0,1892044336.0,5387144379.0,3503644377.0,816880672.0,1174430830.0,1656129509.0,5025003409.0,349957907.0,864412863.0,6351712029.0,6163840987.0
 Kosovo ,2013,1805675,3814,567735228.0,536477560.0,1548944802.0,6672674411.0,871778524.0,2019879777.0,1963541089.0,5800895887.0,3508083103.0,909830241.0,1294150059.0,1816472577.0,5549437756.0,395074517.0,939527814.0,6887416799.0,6733414559.0
 Kosovo ,2014,1777809,4055,586302214.0,518743606.0,1662170506.0,7218737057.0,959927683.0,1967316613.0,1943209861.0,6258809373.0,3783239639.0,951728469.0,1354682714.0,1907043099.0,5783367704.0,446839944.0,969756127.0,7209733327.0,7064983210.0
 Kosovo ,2015,1759122,3636,483148306.0,478756402.0,1412936658.0,6210567674.0,856400294.0,1915210821.0,1778936459.0,5354167380.0,3245402225.0,834755747.0,1216865851.0,1661775753.0,5113930207.0,398960156.0,874423738.0,6396055415.0,6293312928.0
