Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Kuwait ,1970,802786,3195,5599998.0,78399969.0,1719199315.0,1497999403.0,389199845.0,347199862.0,352799860.0,1108799558.0,694399723.0,120399952.0,1873199254.0,576799768.0,2853198864.0,81199968.0,237999905.0,2564798979.0,2872798856.0
 Kuwait ,1971,858734,3653,8424654.0,92671193.0,2575135881.0,1665273258.0,485821709.0,365068336.0,356643682.0,1179451548.0,724520237.0,151643771.0,2726779651.0,676780534.0,3858491494.0,89862975.0,263972489.0,3136779475.0,3880957238.0
 Kuwait ,1972,913785,3663,9119960.0,115519498.0,3052146737.0,1903031730.0,604957371.0,413438203.0,386078322.0,1298074359.0,921115997.0,197599141.0,3009586922.0,845116328.0,4423180779.0,106399538.0,337438534.0,3347025455.0,4447500673.0
 Kuwait ,1973,970527,4381,13487436.0,148361791.0,3891125164.0,2201823858.0,724949662.0,515894411.0,492291399.0,1476874196.0,1200381766.0,263004994.0,3661838759.0,1011557668.0,5371371218.0,141618074.0,394507491.0,4251914065.0,5405089807.0
 Kuwait ,1974,1030426,11689,17056032.0,214906006.0,11048897692.0,2872235831.0,951726600.0,883502471.0,757287832.0,1920509231.0,1801117006.0,576493890.0,10929505466.0,1122286926.0,12955762098.0,170560323.0,501447348.0,12044969976.0,13003518988.0
 Kuwait ,1975,1095998,11668,20687349.0,255143968.0,9674783420.0,3937492040.0,1330886101.0,1530863806.0,1441218628.0,2606605939.0,3127237549.0,672338834.0,9195526507.0,1492937000.0,11933152322.0,206873487.0,761984011.0,12788229402.0,12015901717.0
 Kuwait ,1976,1168791,12515,23940839.0,420674740.0,10232998548.0,4989954840.0,1477491769.0,2171776096.0,1925527467.0,3512463071.0,4275149794.0,786627562.0,9483992304.0,1795562914.0,13006715735.0,246248628.0,1036296310.0,14627852537.0,13119579689.0
 Kuwait ,1977,1247225,12750,27916780.0,551356408.0,10182645569.0,6801225570.0,2044904148.0,3297669658.0,2844021980.0,4756321422.0,6141691639.0,840993003.0,9578945198.0,2250790402.0,13972348478.0,268699009.0,1294640681.0,15902095908.0,14139849159.0
 Kuwait ,1978,1329074,13625,36356663.0,639877262.0,10936084118.0,7613085154.0,2239570418.0,3137579985.0,2886719013.0,5373514736.0,6180632647.0,1028893552.0,10299842522.0,2592230045.0,15349782961.0,323574297.0,1457902171.0,18109253654.0,15502480944.0
 Kuwait ,1979,1412266,19762,43420668.0,792427197.0,19296868686.0,9205181687.0,2764449217.0,3379575352.0,2858527332.0,6440732470.0,7131844774.0,2051626579.0,18120892252.0,3629244195.0,24572479889.0,416114738.0,1570380838.0,27908634572.0,24749780951.0
