Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Kyrgyzstan ,1990,4394734,593,858969838.0,201080987.0,761670405.0,2510465654.0,651989866.0,627616413.0,603242960.0,1858475787.0,1291793006.0,705624198.0,772031316.0,445673340.0,2554073234.0,154750160.0,121567593.0,2607959465.0,2607959465.0
 Kyrgyzstan ,1991,4456094,556,879895450.0,158309689.0,877411329.0,2133155984.0,542009445.0,381016540.0,431997627.0,1591146539.0,909609910.0,673230522.0,727690370.0,400499660.0,2399603104.0,99377083.0,133830852.0,2479290728.0,2481973943.0
 Kyrgyzstan ,1992,4501260,483,820957833.0,85861582.0,778360324.0,2014354029.0,467370263.0,435799165.0,318956600.0,1546983767.0,1041256096.0,686231542.0,756173918.0,252770633.0,2102631700.0,66191847.0,120675887.0,2175160086.0,2187257422.0
 Kyrgyzstan ,1993,4507633,415,740087410.0,102377177.0,634731428.0,1816806031.0,383985117.0,220839166.0,252584576.0,1432820914.0,779424034.0,463262418.0,518605596.0,260849634.0,1846225467.0,77958783.0,146346867.0,1868807698.0,1892952592.0
 Kyrgyzstan ,1994,4530895,336,592617262.0,52563602.0,521638157.0,1503223903.0,292075718.0,139256910.0,191884787.0,1211148185.0,619078143.0,309508793.0,357965162.0,250340856.0,1482968747.0,74448543.0,155033321.0,1520680829.0,1545053681.0
 Kyrgyzstan ,1995,4596456,321,606790335.0,91712317.0,439618489.0,1410577025.0,291492701.0,273621505.0,308439843.0,1119084325.0,631923279.0,175512606.0,214605533.0,252420984.0,1406315466.0,71547251.0,169239046.0,1473394187.0,1491893740.0
 Kyrgyzstan ,1996,4666585,383,845918958.0,109027959.0,561494769.0,1838072741.0,338270836.0,460281287.0,413441265.0,1499801906.0,1033142569.0,197490469.0,235354391.0,239647168.0,1709880368.0,88515793.0,191416099.0,1788828264.0,1826706229.0
 Kyrgyzstan ,1997,4738386,361,727766567.0,79758138.0,676665552.0,1523871142.0,305676173.0,383165051.0,222980669.0,1218194969.0,816345964.0,284150482.0,335339807.0,239134768.0,1645794180.0,78621333.0,185173568.0,1709535738.0,1767355780.0
 Kyrgyzstan ,1998,4810412,324,591307627.0,73775409.0,598462392.0,1740414348.0,292879687.0,253340521.0,215932123.0,1447534661.0,951843385.0,260903235.0,316500276.0,240604169.0,1507665071.0,77951436.0,207526155.0,1556467726.0,1640373876.0
 Kyrgyzstan ,1999,4878911,241,435781634.0,38061683.0,527367223.0,1209203816.0,238929546.0,225255334.0,199801407.0,970274270.0,712228003.0,263191369.0,286758439.0,171072751.0,1157154116.0,63910009.0,161569598.0,1174218446.0,1249598370.0
 Kyrgyzstan ,2000,4935182,261,468288267.0,57320341.0,573345958.0,1174501001.0,274581707.0,274151972.0,250338373.0,899919294.0,651922452.0,246679339.0,345526579.0,179974117.0,1280112552.0,53548429.0,175454819.0,1289422583.0,1370076479.0
 Kyrgyzstan ,2001,4981444,294,527395696.0,57480723.0,560862859.0,1256869907.0,266892206.0,274887582.0,259915888.0,989977702.0,565410384.0,267955970.0,354404753.0,222718413.0,1427612173.0,67700191.0,197912397.0,1462316775.0,1527209964.0
 Kyrgyzstan ,2002,5026641,307,552312622.0,54950174.0,635557399.0,1383328883.0,298968406.0,282710466.0,264556371.0,1084360477.0,695899900.0,208388145.0,289463824.0,250826807.0,1480608969.0,86693856.0,246361686.0,1545507744.0,1605696848.0
 Kyrgyzstan ,2003,5078276,367,645913643.0,56053175.0,743267075.0,1820466398.0,323411811.0,227316595.0,265762471.0,1497054587.0,869521488.0,253694137.0,334786184.0,295642799.0,1760900380.0,109434994.0,319069585.0,1861579039.0,1921528579.0
 Kyrgyzstan ,2004,5137040,411,661401077.0,54379910.0,941426844.0,2084246696.0,402016963.0,320513920.0,326504550.0,1682229733.0,1133975760.0,337197815.0,427010322.0,339086048.0,2018663184.0,149984988.0,386800839.0,2113497850.0,2212211701.0
 Kyrgyzstan ,2005,5193114,458,700600422.0,66466203.0,942411225.0,2510798076.0,430785558.0,403927448.0,398843548.0,2080012517.0,1396889953.0,314495091.0,427564612.0,401688435.0,2237778189.0,170750023.0,470708494.0,2379289649.0,2460246796.0
 Kyrgyzstan ,2006,5246785,534,812664013.0,75757915.0,1182432653.0,3205813283.0,509791323.0,685748726.0,664133849.0,2696021960.0,2239825769.0,309852920.0,424717652.0,488058572.0,2540016212.0,181504970.0,557313089.0,2799464052.0,2834168893.0
 Kyrgyzstan ,2007,5294766,708,1021907741.0,135876437.0,2012053363.0,3977087005.0,650354620.0,1013118765.0,951202051.0,3326732385.0,3199688560.0,375143272.0,501358468.0,704842575.0,3389328055.0,299484138.0,725858697.0,3749363199.0,3802570572.0
 Kyrgyzstan ,2008,5345415,943,1206873692.0,270141088.0,2752394365.0,5656998221.0,900556876.0,1487964664.0,1397076431.0,4756441346.0,4757398294.0,675785793.0,779671346.0,1019821924.0,4610001648.0,428924535.0,904569063.0,5038514214.0,5139958956.0
 Kyrgyzstan ,2009,5414085,831,879691053.0,314389473.0,2565386027.0,4535856997.0,864451015.0,1278996398.0,1341272485.0,3671405982.0,3690178077.0,663712457.0,795344253.0,1053874127.0,4328183473.0,435832964.0,849051602.0,4499228803.0,4690061344.0
 Kyrgyzstan ,2010,5483774,812,836532533.0,264751344.0,2471700764.0,4924893670.0,869077383.0,1313731542.0,1347786261.0,4055816287.0,3915964154.0,808343240.0,994500915.0,1107057928.0,4461250845.0,434977075.0,823431049.0,4452761641.0,4794361821.0
 Kyrgyzstan ,2011,5552336,1020,1026679553.0,305095573.0,3380167163.0,6298784708.0,1129694250.0,1578754677.0,1487416496.0,5169090458.0,5059940606.0,1132223295.0,1396134661.0,1413833641.0,5694492501.0,525200499.0,1027548574.0,5665929679.0,6197765942.0
 Kyrgyzstan ,2012,5631950,1143,1100033464.0,429029326.0,2932954529.0,7655802310.0,1328022374.0,2309226737.0,2095736445.0,6327779936.0,6292825820.0,797355926.0,1041085890.0,1599345453.0,5941352933.0,629891035.0,1141967765.0,6435986645.0,6605142864.0
 Kyrgyzstan ,2013,5719560,1210,1073692899.0,463819163.0,3099063073.0,8481326635.0,1353093029.0,2486491046.0,2194365385.0,7128233605.0,6731846954.0,1156594652.0,1358466903.0,1700152766.0,6536595530.0,612272676.0,1328191123.0,6920700516.0,7335033799.0
