Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Lao People's DR ,1970,2675283,45,49243678.0,6067971.0,5291305.0,117001863.0,9593143.0,9031224.0,9031224.0,107408720.0,12217139.0,4656786.0,11151876.0,27620169.0,118443913.0,7198121.0,17162098.0,119107252.0,119107252.0
 Lao People's DR ,1971,2740732,48,54314435.0,6688475.0,5824923.0,129061259.0,10582589.0,9950690.0,9950690.0,118478669.0,13448771.0,5139753.0,12320209.0,30470107.0,130664665.0,7935847.0,18935591.0,131388099.0,131388099.0
 Lao People's DR ,1972,2808290,50,58613118.0,7217108.0,6280414.0,139276420.0,11425464.0,10740155.0,10740155.0,127850956.0,14498100.0,5550835.0,13305995.0,32883820.0,141024938.0,8565556.0,20439341.0,141798888.0,141798888.0
 Lao People's DR ,1973,2877561,57,67233961.0,8290666.0,7270256.0,159766386.0,13132005.0,12372420.0,12372420.0,146634381.0,16782719.0,6362379.0,15229317.0,37712354.0,161727314.0,9826464.0,23434552.0,162626340.0,162626340.0
 Lao People's DR ,1974,2946882,62,76000028.0,9397064.0,8178931.0,180469756.0,14777213.0,13947052.0,13947052.0,165692543.0,18877991.0,7175085.0,17107099.0,42597015.0,182648715.0,11096265.0,26451242.0,183717746.0,183717746.0
 Lao People's DR ,1975,3012720,71,88509638.0,10876540.0,9480367.0,210354290.0,17217247.0,16198639.0,16198639.0,193137043.0,21906512.0,8360537.0,20079805.0,49655044.0,212941573.0,12963515.0,30857030.0,214126780.0,214126780.0
 Lao People's DR ,1976,3072017,76,96091004.0,11794648.0,10205708.0,228431019.0,18736592.0,17511395.0,17511395.0,209694428.0,23559339.0,9123545.0,21973435.0,53958000.0,231381590.0,14008946.0,33555558.0,232588778.0,232588778.0
 Lao People's DR ,1977,3125742,77,100035700.0,12311344.0,10671739.0,237710573.0,19545412.0,18346777.0,18346777.0,218165161.0,24615446.0,9510384.0,22800944.0,56141769.0,240850270.0,14632862.0,34927652.0,242113639.0,242113639.0
 Lao People's DR ,1978,3177945,82,108297061.0,13451234.0,12242483.0,257384867.0,21362176.0,20352031.0,20352031.0,236022691.0,28257515.0,10208969.0,24259247.0,60680527.0,260183307.0,15836684.0,37658555.0,261721863.0,261721863.0
 Lao People's DR ,1979,3233700,86,115258565.0,14443480.0,12107431.0,272731984.0,21904609.0,20860644.0,20860644.0,250827376.0,27927834.0,10754290.0,25129191.0,64356626.0,275752143.0,16742104.0,39822178.0,277772221.0,277772221.0
