Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Latvia ,1990,2689391,3607,1987179211.0,948178387.0,3765685269.0,6019632590.0,781524010.0,4048998264.0,2306062525.0,5238108580.0,4163387191.0,3073637597.0,3273604944.0,1254529345.0,9177791550.0,1137113770.0,577185990.0,9701777837.0,9562515807.0
 Latvia ,1991,2678964,3351,1955920084.0,518752455.0,2574846065.0,5133775997.0,874612956.0,3156362315.0,568621661.0,4259163040.0,2003781526.0,2977630703.0,3212846066.0,1118644406.0,8464759398.0,727042737.0,931553649.0,8976969521.0,8856525051.0
 Latvia ,1992,2662883,2215,954417620.0,291542368.0,3892242404.0,3126086316.0,709196313.0,2572883797.0,689748621.0,2416890003.0,3830221819.0,1508005015.0,1604975870.0,804154344.0,5506937949.0,1116468290.0,735379453.0,5897573589.0,5900719067.0
 Latvia ,1993,2638889,1944,540304064.0,208201353.0,3107583697.0,3899463053.0,1093892249.0,498978368.0,739705464.0,2805570803.0,2603207412.0,1043737297.0,1439892457.0,930164308.0,4763115208.0,1232103378.0,412449645.0,5129690874.0,5142430838.0
 Latvia ,1994,2606454,2021,435527247.0,291397776.0,2026053479.0,4249927151.0,1023137147.0,1069573433.0,822408820.0,3226790004.0,2084900590.0,904808147.0,1183640408.0,1244745521.0,4739767488.0,1094398429.0,490058107.0,5267286953.0,5286169287.0
 Latvia ,1995,2570151,2119,424041583.0,228639647.0,1868975525.0,4816834562.0,1273440884.0,847113384.0,767288792.0,3543393677.0,2125401851.0,952687844.0,1219021142.0,1672133568.0,4804231380.0,786342096.0,474053343.0,5446903065.0,5407521619.0
 Latvia ,1996,2534287,2373,403933329.0,243650630.0,2414772016.0,5376249617.0,1311210863.0,1136870808.0,1062071790.0,4065038753.0,2952999290.0,1020435678.0,1343763800.0,1730194343.0,5314929888.0,931341951.0,662045834.0,6013069796.0,5974893151.0
 Latvia ,1997,2498879,2632,324266567.0,279765796.0,2591734676.0,5743715948.0,1372491222.0,1374527348.0,1149133235.0,4371224726.0,3181814198.0,1189561756.0,1544556515.0,1875767443.0,5799244219.0,1026693507.0,748194391.0,6576699291.0,6528163774.0
 Latvia ,1998,2462337,2930,273805210.0,410029238.0,2811935287.0,6194173678.0,1621809098.0,1838245722.0,1705654668.0,4572364580.0,3677713954.0,1060263738.0,1437170830.0,2213410798.0,6324835646.0,1117046091.0,873373478.0,7213449982.0,7166640733.0
 Latvia ,1999,2426351,3075,275573232.0,478357908.0,2638909117.0,6608710822.0,1698127395.0,1663843932.0,1721223244.0,4910583427.0,3377832158.0,1020560284.0,1384498258.0,2470011564.0,6720345563.0,1164041594.0,947863007.0,7462048994.0,7533632914.0
