Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Lebanon ,1970,2381791,864,74886081.0,64764807.0,469786093.0,1925346139.0,209338973.0,370022989.0,286939365.0,1716007166.0,775617249.0,190673275.0,367842516.0,963043277.0,1922527010.0,235913699.0,216076629.0,2057000728.0,1989537972.0
 Lebanon ,1971,2442137,949,79422228.0,71582675.0,566061609.0,2152027932.0,224022919.0,442662663.0,316321051.0,1928005013.0,925078006.0,219111256.0,407472087.0,1083722800.0,2150101513.0,260974430.0,246927293.0,2316835920.0,2235674197.0
 Lebanon ,1972,2505965,1153,113784022.0,91897520.0,757943901.0,2678652608.0,250165299.0,568238867.0,415640041.0,2428487309.0,1216215185.0,273244521.0,492233796.0,1345067672.0,2648634105.0,301333569.0,304317525.0,2889387300.0,2788620191.0
 Lebanon ,1973,2569841,1465,139931283.0,114805397.0,1019429117.0,3545217078.0,435215846.0,750107311.0,750107311.0,3110001233.0,1677885090.0,368824493.0,657054638.0,1728410521.0,3435297271.0,387525403.0,407570030.0,3764361057.0,3636868415.0
 Lebanon ,1974,2632880,1837,177935215.0,144088452.0,864580589.0,4604996586.0,547776402.0,878509324.0,878509324.0,4057220184.0,1675909788.0,457411395.0,875204940.0,2246343858.0,4465787868.0,505006628.0,517208776.0,4835962717.0,4672176711.0
 Lebanon ,1975,2691586,1675,164555382.0,131872778.0,661181164.0,4557853021.0,503395996.0,830284053.0,830284053.0,4054457025.0,1694681594.0,414841865.0,837581787.0,2112088631.0,4199406078.0,475688583.0,477618916.0,4507291089.0,4354636644.0
 Lebanon ,1976,3070419,643,75483575.0,64078594.0,400847556.0,1959543975.0,294234211.0,391070786.0,391070786.0,1665309765.0,843129993.0,211963121.0,309778785.0,877696262.0,1743353373.0,195296322.0,221019835.0,1975230079.0,1908332325.0
 Lebanon ,1977,3457617,1069,131841133.0,102366735.0,644717555.0,4018594222.0,916980037.0,748395108.0,748395108.0,3101614185.0,1839623133.0,312080665.0,740479092.0,1776847679.0,3534851993.0,402531872.0,380785482.0,3697305328.0,3572083752.0
 Lebanon ,1978,3183405,1294,146882894.0,113893901.0,959007577.0,4360317940.0,910152474.0,741873786.0,741873786.0,3450165466.0,2080865497.0,347698943.0,825528650.0,1981041565.0,3940264996.0,448523102.0,424394885.0,4119866837.0,3980333806.0
 Lebanon ,1979,2902164,1639,169694341.0,131826681.0,1718355491.0,5037980830.0,1055007606.0,828669515.0,828669515.0,3982973224.0,2988157533.0,401627649.0,952846691.0,2286547732.0,4549222701.0,518224653.0,490082601.0,4757993625.0,4596848302.0
