Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Lesotho ,1970,1023481,116,17009807.0,838107.0,7036758.0,89837833.0,10634267.0,7921814.0,8430580.0,79203566.0,37314980.0,3634492.0,4847957.0,29879135.0,69696269.0,2356844.0,14764418.0,118996011.0,79430815.0
 Lesotho ,1971,1059879,114,12145657.0,1193909.0,8387419.0,93795542.0,14163411.0,10672778.0,11697441.0,79632131.0,47294713.0,4227709.0,4957065.0,32174971.0,69901023.0,3256545.0,16172876.0,121245847.0,76277411.0
 Lesotho ,1972,1097242,129,19830543.0,1430998.0,11566097.0,116682778.0,17079347.0,12182464.0,13158276.0,99603431.0,62997990.0,4602452.0,5733206.0,33226965.0,81563490.0,5145134.0,16196645.0,141734500.0,90367545.0
 Lesotho ,1973,1135631,191,34209845.0,2156039.0,16243639.0,170791893.0,21242474.0,22321705.0,18039800.0,149549419.0,93058423.0,7111423.0,8745151.0,40066599.0,111785558.0,7793703.0,18814220.0,216804726.0,136784748.0
 Lesotho ,1974,1175369,225,33936965.0,2931300.0,18326707.0,221764082.0,28359903.0,24167037.0,24952719.0,193404179.0,131660992.0,8916777.0,12144642.0,45071862.0,126196609.0,9406354.0,22705485.0,264539985.0,155905031.0
 Lesotho ,1975,1216180,268,30574844.0,3353332.0,19409591.0,260636547.0,38171364.0,34977607.0,37177866.0,222465184.0,175665502.0,9553063.0,11970606.0,51678808.0,134265647.0,9201288.0,27486771.0,325865355.0,162268094.0
 Lesotho ,1976,1256478,274,25427710.0,6891819.0,24081511.0,276136014.0,37948795.0,66677347.0,69497003.0,238187218.0,230554463.0,8994704.0,10474478.0,54142489.0,132229123.0,10834736.0,24457889.0,343737334.0,160207781.0
 Lesotho ,1977,1294435,330,40684337.0,5893692.0,20350572.0,343452621.0,44502202.0,60354495.0,61554489.0,298950419.0,244543456.0,10445463.0,14765167.0,63460977.0,166833350.0,13242456.0,28786719.0,427416629.0,209742430.0
 Lesotho ,1978,1331213,401,45277730.0,7699825.0,41153379.0,402584854.0,62333564.0,86364409.0,77897741.0,340251290.0,272257502.0,14652663.0,34109206.0,83317884.0,215237293.0,14747281.0,30085368.0,534409557.0,289222458.0
 Lesotho ,1979,1368917,442,55653098.0,10553164.0,58378446.0,495786066.0,82472346.0,125547800.0,116252040.0,413313721.0,403958953.0,17828736.0,41751694.0,98569438.0,249791845.0,11189141.0,32075309.0,605488393.0,314789661.0
 Lesotho ,1980,1407672,553,64106343.0,14858716.0,78136179.0,673445494.0,168287687.0,161564971.0,159449698.0,505157807.0,529708481.0,22514764.0,51243434.0,151041499.0,333797894.0,12432973.0,40114929.0,778253854.0,414162615.0
 Lesotho ,1981,1447501,566,74003734.0,14342980.0,69587425.0,721135001.0,163489268.0,166177258.0,162780722.0,557645732.0,568267295.0,24916519.0,45575479.0,159039026.0,347485263.0,14290777.0,40233268.0,818761289.0,420606281.0
 Lesotho ,1982,1488399,569,52584355.0,18095816.0,53533116.0,683336618.0,146645554.0,174542767.0,184493299.0,536691065.0,557012877.0,27314392.0,42353380.0,143829408.0,309021854.0,13449978.0,38708915.0,846188545.0,385984591.0
 Lesotho ,1983,1530331,588,56059461.0,13697787.0,47841906.0,793876963.0,145784228.0,121640410.0,126001399.0,648092735.0,602297898.0,32880194.0,37580723.0,158774779.0,326168451.0,15631248.0,44424454.0,899789819.0,394041368.0
 Lesotho ,1984,1573267,500,45706766.0,12850942.0,43027943.0,677197427.0,118377339.0,132586341.0,134261987.0,558820088.0,540445832.0,29240609.0,32980639.0,134991262.0,279983242.0,14195427.0,39258206.0,787144834.0,347015134.0
 Lesotho ,1985,1616697,364,38819901.0,12630159.0,33049074.0,500631985.0,108003565.0,125961162.0,131508185.0,392628420.0,404476935.0,21931270.0,26030710.0,108907485.0,229143641.0,11683098.0,31072288.0,588934348.0,277918478.0
 Lesotho ,1986,1659793,395,45437020.0,12076265.0,36917540.0,551239599.0,123477814.0,131198175.0,130142020.0,427761785.0,430641421.0,27549461.0,33496711.0,121630893.0,260005843.0,12636748.0,34728206.0,654850234.0,310462050.0
 Lesotho ,1987,1698939,520,52362026.0,18249470.0,63282323.0,721657480.0,149191685.0,173209385.0,177608022.0,572465795.0,574263446.0,38984080.0,45879461.0,147234663.0,328315383.0,18056743.0,46533020.0,882878837.0,415775774.0
 Lesotho ,1988,1733733,562,61218521.0,25952677.0,86971189.0,828492793.0,170326514.0,227565647.0,232938410.0,658166279.0,710842010.0,47036328.0,55056878.0,174809017.0,386201396.0,20213269.0,48951034.0,974112155.0,477522236.0
 Lesotho ,1989,1767091,556,57688943.0,31899532.0,88915078.0,864459257.0,152407605.0,241063620.0,257235392.0,712051652.0,748593039.0,51216541.0,59587522.0,182839250.0,404582748.0,22005397.0,50562105.0,982580560.0,503823267.0
 Lesotho ,1990,1798997,641,67468098.0,48235071.0,94041349.0,953966126.0,160481456.0,323906402.0,337008081.0,793484670.0,853169638.0,63925952.0,78447683.0,214191270.0,494479692.0,26370725.0,59766845.0,1153110010.0,587892778.0
 Lesotho ,1991,1829509,660,45305269.0,86933791.0,98490944.0,1046451682.0,198553729.0,442307739.0,464594555.0,847897953.0,1014245274.0,69222297.0,87312835.0,253115804.0,576388925.0,32674698.0,71046528.0,1207117825.0,654572445.0
 Lesotho ,1992,1858507,758,66523011.0,112481657.0,137309338.0,1118909071.0,225130067.0,544090791.0,557787356.0,893779004.0,1111855265.0,84958978.0,110662645.0,278493259.0,684261999.0,34972748.0,81128679.0,1408338671.0,785109993.0
 Lesotho ,1993,1885478,732,62614519.0,122071697.0,155711282.0,1199080503.0,228927206.0,446659282.0,468858323.0,970153297.0,1119938065.0,92824402.0,114320141.0,275225963.0,693321898.0,35103090.0,83986488.0,1379505194.0,780359394.0
 Lesotho ,1994,1910642,718,66640128.0,142279624.0,164605250.0,1156501351.0,253996784.0,462576928.0,494768397.0,902504567.0,1070680227.0,90702604.0,108968067.0,285483741.0,734981138.0,37403259.0,94206319.0,1371702085.0,798472192.0
 Lesotho ,1995,1934079,773,77522149.0,144390845.0,180580442.0,1323950972.0,310331701.0,564034020.0,592538136.0,1013619271.0,1269429029.0,101711560.0,141393980.0,330446500.0,836484710.0,40145226.0,102586011.0,1494201677.0,893476490.0
 Lesotho ,1996,1955098,731,67929468.0,152122064.0,204192059.0,1299210678.0,283951135.0,550469416.0,569634039.0,1015259544.0,1264714012.0,105420432.0,139508860.0,309986361.0,812432754.0,38775564.0,104110438.0,1429962368.0,895050408.0
 Lesotho ,1997,1972579,774,64400219.0,125130549.0,248878090.0,1374239060.0,322292409.0,552305694.0,584021370.0,1051946651.0,1299395540.0,122490683.0,156074424.0,333880927.0,832284960.0,41285451.0,111513391.0,1526888037.0,974017247.0
 Lesotho ,1998,1985639,827,68977338.0,108112595.0,283985856.0,1378711650.0,334046111.0,457737715.0,473836994.0,1044665539.0,1241299487.0,119977607.0,162910697.0,308791038.0,781121353.0,36412675.0,95917011.0,1641230761.0,854270992.0
 Lesotho ,1999,1994243,808,71963920.0,109559926.0,244632502.0,1331513827.0,308356891.0,408582399.0,408387585.0,1023156936.0,1107283259.0,117787046.0,176347649.0,299179388.0,785352985.0,34176926.0,94125177.0,1611332129.0,854383661.0
 Lesotho ,2000,1998630,724,63224530.0,114841551.0,289231937.0,1260032300.0,290009669.0,354125092.0,365580190.0,970022631.0,1036579774.0,132791505.0,184718665.0,279221980.0,764293853.0,34018799.0,88268329.0,1447480941.0,822098820.0
 Lesotho ,2001,1999473,629,62256934.0,81639923.0,409442513.0,1050235863.0,256168300.0,282833390.0,289678179.0,794067563.0,962275075.0,168028389.0,212088996.0,242120369.0,710562132.0,32340334.0,80115577.0,1258475596.0,752958073.0
 Lesotho ,2002,1997534,589,45193966.0,53072592.0,467752240.0,1015403514.0,256469598.0,206670064.0,222598594.0,758933915.0,941646131.0,185579229.0,228534741.0,230023408.0,667517430.0,33242371.0,77450352.0,1175674313.0,700042059.0
 Lesotho ,2003,1993030,861,65052186.0,76981978.0,626513548.0,1508486054.0,382097772.0,295142172.0,326828618.0,1126388282.0,1347555351.0,254922725.0,320505316.0,345057493.0,971462277.0,47080766.0,116784538.0,1716354567.0,1033046679.0
 Lesotho ,2004,1985384,1066,79700741.0,75197046.0,748648602.0,1868828995.0,466377118.0,346473858.0,357770929.0,1402451876.0,1598031204.0,334191799.0,418976674.0,437309476.0,1227112573.0,68416578.0,147512058.0,2115680554.0,1315577563.0
