Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Liberia ,1970,1463563,243,73265058.0,14280477.0,186344708.0,195192395.0,35002692.0,68608381.0,62089032.0,160189703.0,133646642.0,11796916.0,105861800.0,45868273.0,297018409.0,24680390.0,33062410.0,355305148.0,316498842.0
 Liberia ,1971,1501658,250,74041171.0,12961086.0,195425229.0,213508660.0,41211595.0,70238218.0,58751747.0,172297065.0,145443558.0,13271531.0,114631876.0,49127947.0,313083946.0,26931118.0,35390748.0,374965203.0,333728549.0
 Liberia ,1972,1540995,265,74351616.0,15599869.0,213275826.0,224607075.0,42996655.0,82733636.0,70781497.0,181610420.0,158947923.0,13970032.0,129766078.0,51999565.0,338230004.0,28172898.0,38339977.0,408307205.0,361668613.0
 Liberia ,1973,1582697,273,58549651.0,15300431.0,336507486.0,258169278.0,57121610.0,71810024.0,87212459.0,201047668.0,245724927.0,23052650.0,161674557.0,82622329.0,386998909.0,33150935.0,35701006.0,431314610.0,422903922.0
 Liberia ,1974,1626283,334,74972113.0,21828615.0,415355709.0,316514923.0,65791855.0,114855238.0,119037356.0,250723068.0,338751549.0,35292995.0,204821774.0,95066680.0,474109365.0,33150935.0,44269248.0,542591749.0,517358584.0
 Liberia ,1975,1671632,381,63853800.0,29376828.0,411785608.0,337425512.0,74666105.0,221040231.0,164428635.0,262759407.0,379348694.0,37027044.0,282139953.0,107511030.0,574582197.0,41515170.0,50185415.0,637690273.0,621809529.0
 Liberia ,1976,1718482,390,79766249.0,38659090.0,476455431.0,378430668.0,91088568.0,205841803.0,210533935.0,287342100.0,455136830.0,46105300.0,242970850.0,123831491.0,586822542.0,46003297.0,55591567.0,669790112.0,644352164.0
 Liberia ,1977,1768092,433,98126766.0,44983268.0,468193198.0,492775891.0,122403451.0,250213053.0,238992737.0,370372441.0,532353007.0,51205443.0,217572132.0,155860395.0,655878489.0,54775544.0,84560384.0,765989451.0,720344306.0
 Liberia ,1978,1820861,453,120669402.0,51103441.0,510014377.0,551835556.0,141783997.0,222978286.0,265309479.0,410051559.0,559587775.0,54775544.0,201047668.0,168610753.0,688519409.0,60385702.0,86702444.0,824429837.0,789196247.0
 Liberia ,1979,1875566,496,142498017.0,64261812.0,564687919.0,604673046.0,159736503.0,285608051.0,303560557.0,444936543.0,599164890.0,83642358.0,238686729.0,199619628.0,807250756.0,67321898.0,94862674.0,931133641.0,909151629.0
 Liberia ,1980,1932169,499,162184572.0,33150935.0,625787641.0,624257598.0,185645233.0,250111051.0,200027639.0,438612364.0,626297655.0,78542214.0,254089162.0,236340663.0,828569357.0,62221754.0,80582272.0,964029717.0,934958356.0
 Liberia ,1981,1989690,476,302948540.0,37741064.0,551529548.0,864270364.0,204107754.0,202067696.0,183197164.0,660162610.0,572134128.0,64159809.0,217266125.0,274183729.0,970149348.0,77726191.0,60283699.0,947708716.0,1075416316.0
 Liberia ,1982,2047602,457,290504189.0,40495142.0,520826682.0,890281097.0,226854395.0,240726786.0,196967553.0,663426702.0,488083759.0,66505875.0,245316916.0,280201899.0,1011460513.0,78542214.0,76400154.0,936182391.0,1115197437.0
 Liberia ,1983,2109151,456,341199618.0,40597144.0,472783328.0,909967652.0,172486862.0,194621486.0,186767265.0,737480790.0,488797779.0,60793714.0,215940088.0,264901468.0,1016458654.0,82010312.0,71810024.0,962601136.0,1107343216.0
 Liberia ,1984,2174194,422,365884314.0,35292995.0,498794061.0,887833028.0,163408606.0,198497596.0,172282857.0,724424421.0,419741832.0,67117892.0,199619627.0,264901468.0,1011766522.0,82316320.0,63751797.0,918127882.0,1091634773.0
 Liberia ,1985,2239724,424,358336101.0,32844926.0,479617520.0,861006272.0,140049948.0,136989862.0,129033637.0,720956324.0,329265282.0,66097863.0,213900029.0,259903327.0,999220168.0,72830053.0,61405731.0,950360791.0,1076436345.0
 Liberia ,1986,2305860,379,350481880.0,29478831.0,468601210.0,821531159.0,145660106.0,125259531.0,117303307.0,675871053.0,331713351.0,60997720.0,201047668.0,258679291.0,974331466.0,76808165.0,57835630.0,873858634.0,1057973824.0
 Liberia ,1987,2372449,390,389446978.0,33354940.0,446976600.0,874980666.0,146782138.0,129951663.0,122811462.0,728198528.0,363946260.0,74564102.0,201047667.0,267349537.0,1029311016.0,76808165.0,61303728.0,924554063.0,1111321328.0
 Liberia ,1988,2439639,408,420251847.0,29376828.0,461359006.0,887017005.0,139029919.0,121179416.0,117609315.0,747987086.0,327939245.0,82010312.0,218490160.0,286934088.0,1101223043.0,80684274.0,65485846.0,994732041.0,1181499306.0
 Liberia ,1989,2507600,412,437268427.0,48824718.0,531842993.0,814390958.0,144436072.0,102818898.0,98738783.0,669954886.0,280711913.0,84007235.0,218562412.0,205781825.0,1154273764.0,147335765.0,96500618.0,1033595137.0,1217506321.0
 Liberia ,1990,2209731,239,300128411.0,18381070.0,203857598.0,492502101.0,77257565.0,64311864.0,62407209.0,415244536.0,165466898.0,63041327.0,74385894.0,77257936.0,561627854.0,55286813.0,36187732.0,528422663.0,595204667.0
 Liberia ,1991,1939236,247,277870084.0,15939834.0,78983031.0,501336631.0,59627225.0,49516829.0,48027922.0,441709406.0,90993555.0,57728048.0,67780195.0,66774982.0,507489859.0,47819503.0,31305260.0,478384721.0,538842935.0
 Liberia ,1992,2052626,150,164568019.0,12206179.0,118175038.0,286474452.0,44919526.0,37416789.0,36281688.0,241554926.0,95999049.0,31448862.0,37910957.0,51409556.0,327125608.0,36905742.0,24125155.0,307238463.0,346067230.0
 Liberia ,1993,2132771,103,115886903.0,9190535.0,88693272.0,204999017.0,32193394.0,26734923.0,25926363.0,172805623.0,72063973.0,20965908.0,25561176.0,38628968.0,234933053.0,27571605.0,18093866.0,220496866.0,248363238.0
 Liberia ,1994,2125198,86,99516263.0,7323708.0,73100066.0,168959559.0,26534975.0,22033126.0,21367478.0,142424584.0,59394371.0,15796232.0,19386285.0,30874453.0,193719247.0,22114725.0,14503813.0,181731207.0,204698379.0
 Liberia ,1995,2142422,86,158393128.0,3015644.0,74536332.0,172278298.0,27056843.0,22474749.0,21786029.0,145221455.0,60565163.0,5313278.0,7180106.0,12924191.0,196734891.0,9190535.0,6031289.0,185305346.0,208724217.0
 Liberia ,1996,2203966,99,182010177.0,1099670.0,72082831.0,190010382.0,50633606.0,109779724.0,109779724.0,139376775.0,125058099.0,2932454.0,6799011.0,9237381.0,230768592.0,2443711.0,29178642.0,219122197.0,246814839.0
 Liberia ,1997,2383300,156,277290672.0,1221856.0,122262869.0,322264026.0,85876365.0,186178887.0,186178887.0,236387661.0,212098040.0,3421196.0,8143052.0,22124493.0,393963471.0,15884123.0,69299275.0,371639924.0,418607741.0
 Liberia ,1998,2639224,173,344475637.0,2443711.0,149234125.0,393375116.0,104828248.0,227268872.0,227268872.0,288546868.0,258898086.0,3665567.0,6932124.0,27930246.0,479147199.0,20771546.0,76593935.0,455988572.0,510980027.0
 Liberia ,1999,2789743,167,411660601.0,1221856.0,179904912.0,474228427.0,126373215.0,273976668.0,273976668.0,347855212.0,312106600.0,183278.0,309464.0,35491968.0,577683882.0,25658968.0,103341024.0,466255182.0,616003407.0
 Liberia ,2000,2895224,180,432426863.0,843080.0,202358560.0,645334612.0,48579098.0,48370766.0,48370766.0,596755514.0,251119658.0,1954969.0,2927155.0,38794464.0,602787936.0,28102680.0,99693694.0,521334894.0,644944279.0
 Liberia ,2001,2981648,150,480189265.0,10996701.0,216683550.0,455020888.0,42944231.0,166491316.0,166491316.0,412076656.0,200387111.0,30302020.0,33145731.0,53561531.0,636542298.0,34211958.0,24437113.0,446221576.0,637808642.0
 Liberia ,2002,3060599,157,524176068.0,13440412.0,290860147.0,427924450.0,24319576.0,179249268.0,179249268.0,403604874.0,211350996.0,32379174.0,35122885.0,49895964.0,684949967.0,36655669.0,25658968.0,479540365.0,686682868.0
 Liberia ,2003,3085173,108,404434216.0,9774845.0,190768086.0,402130985.0,22769824.0,125906937.0,125906937.0,379361161.0,189742516.0,18572206.0,21315917.0,34485832.0,529881736.0,34211958.0,25658968.0,334607349.0,529063491.0
 Liberia ,2004,3122447,134,460639575.0,20771546.0,435427960.0,1506635000.0,70034857.0,137003813.0,137003813.0,1436600143.0,1435148852.0,31768247.0,36955670.0,54546391.0,641337097.0,40321236.0,28102680.0,418336667.0,643917921.0
 Liberia ,2005,3266318,155,404000000.0,19000000.0,417319239.0,1643595772.0,79069027.0,137394334.0,137394334.0,1564526745.0,1492076786.0,33000000.0,38300000.0,58000000.0,587300000.0,39000000.0,29000000.0,506433204.0,706232558.0
 Liberia ,2006,3455397,177,445000000.0,20000000.0,672284182.0,1572062040.0,76221232.0,158636252.0,158636252.0,1495840809.0,1587562646.0,44000000.0,53000000.0,62000000.0,657000000.0,41000000.0,36000000.0,610224522.0,815419829.0
 Liberia ,2007,3632740,207,516000000.0,22000000.0,208000000.0,972000000.0,149000000.0,269000000.0,269000000.0,823000000.0,499000000.0,49000000.0,62000000.0,62000000.0,749000000.0,44000000.0,43000000.0,750988486.0,949000000.0
 Liberia ,2008,3783887,236,585000000.0,23000000.0,254000000.0,1364000000.0,189000000.0,192000000.0,192000000.0,1175000000.0,709000000.0,51000000.0,77000000.0,65000000.0,843000000.0,48000000.0,45000000.0,894280908.0,1101000000.0
 Liberia ,2009,3905066,259,663000000.0,25000000.0,153000000.0,1369000000.0,222000000.0,208000000.0,208000000.0,1147000000.0,574000000.0,54000000.0,88000000.0,69000000.0,946000000.0,53000000.0,48000000.0,1010418351.0,1155000000.0
 Liberia ,2010,4019956,277,639000000.0,26000000.0,215000000.0,1509000000.0,280000000.0,242000000.0,242000000.0,1229000000.0,674000000.0,57000000.0,98000000.0,73000000.0,991000000.0,54000000.0,50000000.0,1112696643.0,1292000000.0
 Liberia ,2011,4181150,338,745000000.0,28000000.0,374000000.0,1592000000.0,374000000.0,569000000.0,569000000.0,1218000000.0,996000000.0,61000000.0,100000000.0,77000000.0,1061000000.0,58000000.0,53000000.0,1413753007.0,1538000000.0
 Liberia ,2012,4331740,340,968000000.0,36000000.0,479000000.0,1584000000.0,461000000.0,739000000.0,739000000.0,1123000000.0,1067000000.0,79000000.0,129000000.0,101000000.0,1377000000.0,75000000.0,68000000.0,1472256422.0,1734000000.0
 Liberia ,2013,4427313,370,1258000000.0,47000000.0,558000000.0,1417000000.0,456000000.0,1107000000.0,1107000000.0,961000000.0,1146000000.0,103000000.0,167000000.0,132000000.0,1791000000.0,98000000.0,89000000.0,1636132846.0,1936000000.0
 Liberia ,2014,4519398,379,1636000000.0,61000000.0,613000000.0,1979000000.0,481000000.0,466000000.0,466000000.0,1498000000.0,1006000000.0,133000000.0,217000000.0,171000000.0,2328000000.0,127000000.0,116000000.0,1713383010.0,2053000000.0
 Liberia ,2015,4612329,528,1588610409.0,47689796.0,768000000.0,2321000000.0,654000000.0,1089000000.0,1089000000.0,1667000000.0,1510000000.0,127015515.0,192628467.0,189272484.0,2286561425.0,140546701.0,127813567.0,2433771797.0,2669000000.0
 Liberia ,2016,4706097,536,1775958888.0,28604001.0,804000000.0,2358000000.0,657000000.0,1109000000.0,1109000000.0,1701000000.0,1514000000.0,119544014.0,158774569.0,185118455.0,2411050543.0,137461364.0,125133267.0,2520649138.0,2757000000.0
 Liberia ,2017,4796631,523,1773023043.0,39662547.0,808000000.0,2476000000.0,661000000.0,955000000.0,955000000.0,1815000000.0,1478000000.0,113063794.0,167591543.0,177750149.0,2410279862.0,131997953.0,120254626.0,2508275831.0,2763000000.0
 Liberia ,2018,4889391,486,1770087199.0,50776740.0,859804809.0,2414180391.0,673054506.0,598770011.0,847075111.0,1741125886.0,1403286718.0,106583575.0,176352872.0,183845815.0,2441848809.0,136519343.0,124266840.0,2377448786.0,2744956787.0
 Liberia ,2019,4985289,458,1747218746.0,45627594.0,893241393.0,2133046877.0,750466701.0,994009724.0,994009724.0,1382580176.0,1381605642.0,96723622.0,159390626.0,168487689.0,2359761969.0,125115477.0,113921838.0,2285438826.0,2582242493.0
 Liberia ,2020,5087584,428,1828170014.0,40812330.0,854636451.0,2018449410.0,692868758.0,835973560.0,835973560.0,1325580652.0,1271079868.0,95172030.0,151250551.0,164429767.0,2417953905.0,122103266.0,111187977.0,2177716522.0,2480889253.0
 Liberia ,2021,5193416,413,1635261976.0,37821731.0,829969595.0,2083235962.0,674061860.0,777378689.0,777378689.0,1409174102.0,1288915510.0,97271861.0,149227867.0,161352985.0,2212581321.0,119817581.0,109099181.0,2146115577.0,2444888955.0
