Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Libya ,1970,1909177,1745,101216502.0,226202712.0,3110660738.0,1800139372.0,564998798.0,708302844.0,699486149.0,1235140575.0,1366157812.0,68802757.0,2495843033.0,809664103.0,3874052194.0,131523866.0,109601983.0,3332341086.0,3978874521.0
 Libya ,1971,1958320,2169,101142155.0,301606758.0,3494439180.0,2283770537.0,816983308.0,866728220.0,831660246.0,1466787229.0,1480681908.0,75090389.0,2857124836.0,1149559742.0,4852226046.0,266092258.0,176700301.0,4247806790.0,4880522698.0
 Libya ,1972,2012796,2461,144752486.0,511323434.0,3873406767.0,2840259838.0,998106324.0,1406895933.0,1366184289.0,1842153514.0,2032124108.0,106240355.0,3149256565.0,1408550534.0,5788636226.0,332202651.0,242550561.0,4952983876.0,5844722462.0
 Libya ,1973,2084256,3296,218402613.0,801050168.0,5278899443.0,4030556952.0,1418256619.0,2273718502.0,2182660850.0,2612300329.0,3333546017.0,159433906.0,4250717939.0,1780044255.0,7865247621.0,468600333.0,346432314.0,6869537820.0,8003296604.0
 Libya ,1974,2179446,5657,238672959.0,1170467119.0,10739238016.0,6163556874.0,2670769951.0,3571201440.0,3405219041.0,3492786924.0,5836516934.0,206579377.0,8765510671.0,2426103906.0,13652597588.0,533656794.0,518186142.0,12328260625.0,14021762538.0
 Libya ,1975,2291841,5275,305811257.0,1351041041.0,8856054098.0,7721552498.0,3225121483.0,4005893049.0,3667025241.0,4496431015.0,6808520383.0,241624093.0,7407672196.0,3020621285.0,13362661016.0,645676973.0,631838260.0,12089942659.0,13649119897.0
 Libya ,1976,2413760,6566,367785072.0,1600923029.0,12428323729.0,8693961935.0,3658411289.0,4079093312.0,4261912904.0,5035550645.0,6831819037.0,334215920.0,10329581566.0,3488703272.0,17237089137.0,709950845.0,740145352.0,15849950211.0,17718579720.0
 Libya ,1977,2541805,7453,332002572.0,1871006917.0,14798047147.0,9908648479.0,4324559621.0,4850991815.0,4757362889.0,5584088858.0,7964869316.0,460008007.0,12356333819.0,4055720741.0,20244891746.0,808381694.0,821446004.0,18943750722.0,20809491530.0
 Libya ,1978,2676117,7078,450416822.0,2122132099.0,12845419204.0,11498330860.0,5224801805.0,5384208894.0,5326521921.0,6273529055.0,8990418793.0,548542027.0,10917570253.0,4652522071.0,20017528689.0,921503710.0,953383734.0,18941584193.0,20537231307.0
 Libya ,1979,2816917,9349,517924011.0,2258572639.0,20709847144.0,13335156474.0,6197001598.0,6818032051.0,6450584935.0,7138154876.0,11533650697.0,685400862.0,17259142361.0,5349170276.0,27532333772.0,1069517262.0,1078007219.0,26334857472.0,28332395338.0
