Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Madagascar ,1970,6639751,154,328348161.0,40749575.0,242382502.0,1047620775.0,273695795.0,111788831.0,111788831.0,773924980.0,186957927.0,106203570.0,145339352.0,342423705.0,1201265372.0,119107285.0,225297294.0,1022656649.0,1052455079.0
 Madagascar ,1971,6840457,162,354891782.0,43675211.0,254006027.0,1161631716.0,312342550.0,136499734.0,136499734.0,849289166.0,230412612.0,113828509.0,155774059.0,365540291.0,1287539306.0,127149123.0,240508840.0,1106569876.0,1137955987.0
 Madagascar ,1972,7051090,182,421619724.0,51051805.0,266142113.0,1357565452.0,344109915.0,120014098.0,120014098.0,1013455538.0,228477440.0,133053775.0,182083813.0,433787198.0,1485940374.0,137434271.0,259963562.0,1283547913.0,1300600232.0
 Madagascar ,1973,7268560,218,556009945.0,66445443.0,296681542.0,1640354957.0,380218916.0,152532298.0,152532298.0,1260136041.0,248575396.0,173173397.0,236987404.0,498469102.0,1834243633.0,164732316.0,311599423.0,1587078548.0,1602075480.0
 Madagascar ,1974,7491935,240,790509017.0,68170899.0,338726557.0,1886468369.0,403450609.0,168430372.0,168430372.0,1483017759.0,301836360.0,177670387.0,243141498.0,479967550.0,2048330774.0,161346637.0,305195173.0,1800920607.0,1815059655.0
 Madagascar ,1975,7720859,279,936285570.0,81042661.0,411958321.0,2270672502.0,464673834.0,188427120.0,188427120.0,1805998669.0,371524876.0,211217536.0,289050859.0,560022925.0,2432488457.0,195772988.0,370313454.0,2155448810.0,2161066514.0
 Madagascar ,1976,7955197,258,874909324.0,78452201.0,376425611.0,2107841022.0,459542718.0,180020531.0,180020531.0,1648298304.0,297854482.0,204465839.0,279810941.0,559524066.0,2326551935.0,184625689.0,349229714.0,2054279611.0,2065269921.0
 Madagascar ,1977,8195142,271,933927736.0,90021892.0,470788547.0,2283737892.0,488564293.0,195554786.0,195554786.0,1795173599.0,374442111.0,234619615.0,321076270.0,581167933.0,2475554449.0,189988390.0,359372227.0,2222614647.0,2232898097.0
 Madagascar ,1978,8440919,298,1027204319.0,102043502.0,504686970.0,2650374482.0,596215325.0,248981598.0,248981598.0,2054159157.0,471366880.0,265951467.0,363954791.0,697976196.0,2816961872.0,216419220.0,409363845.0,2516094410.0,2527114967.0
 Madagascar ,1979,8692289,375,1234291881.0,132420212.0,530916888.0,3483182397.0,798334938.0,565758213.0,565758213.0,2684847459.0,812084179.0,345118257.0,472292221.0,932591769.0,3660517951.0,307416722.0,581505146.0,3263309357.0,3278519573.0
 Madagascar ,1980,8948162,426,1456756191.0,144733859.0,542954209.0,4120132752.0,919279148.0,613436703.0,613436703.0,3200853604.0,879474795.0,377214166.0,516216355.0,1100948559.0,4300847836.0,374263413.0,707929460.0,3808666484.0,3826178504.0
 Madagascar ,1981,9207310,364,1425958094.0,113439045.0,420419106.0,3643445264.0,783332102.0,418519946.0,418519946.0,2860113162.0,588603422.0,295652914.0,404604485.0,952201841.0,3875531070.0,338693965.0,640633639.0,3349318958.0,3402801414.0
 Madagascar ,1982,9470990,346,1447420755.0,105446794.0,425930570.0,3641491463.0,704788807.0,303494664.0,303494664.0,2936702656.0,525819227.0,274812756.0,376073880.0,911917081.0,3828636208.0,341584962.0,646192737.0,3273536274.0,3337802722.0
 Madagascar ,1983,9740088,333,1507837336.0,105957262.0,384607899.0,3540004551.0,633153365.0,297943254.0,297943254.0,2906851186.0,441187280.0,276160256.0,377926775.0,836108354.0,3799086653.0,335917981.0,635338944.0,3240622527.0,3324506726.0
 Madagascar ,1984,10015017,265,1244054330.0,91251208.0,440206533.0,2887663962.0,528960226.0,257006914.0,257006914.0,2358703736.0,413784049.0,237828269.0,325481487.0,692684227.0,3156888904.0,277869645.0,525548007.0,2657487710.0,2782443656.0
 Madagascar ,1985,10297746,256,1208787294.0,91502344.0,394435042.0,2904300248.0,510110724.0,247747125.0,247747125.0,2394189525.0,460683176.0,238444575.0,326277401.0,664326861.0,3071489007.0,269864362.0,510730745.0,2640277146.0,2747957579.0
 Madagascar ,1986,10588428,345,1457218536.0,101724912.0,446276700.0,3121724146.0,526962669.0,298761729.0,298761729.0,2594761477.0,398170321.0,265178681.0,362924005.0,721507387.0,3528770169.0,306348048.0,579047280.0,3655980546.0,3818428998.0
 Madagascar ,1987,10890514,260,1094129594.0,82792476.0,479142081.0,2499954787.0,428363594.0,263019722.0,263019722.0,2071591192.0,453866351.0,215773916.0,295332169.0,551656102.0,2699246943.0,233572586.0,441764016.0,2831964749.0,3006705987.0
 Madagascar ,1988,11206789,238,979920588.0,77002548.0,449921091.0,2301625789.0,363311660.0,329422752.0,329422752.0,1938314129.0,442746158.0,200563348.0,274322434.0,530944326.0,2566521047.0,243196001.0,461135150.0,2668396166.0,2862365542.0
 Madagascar ,1989,11536734,235,1011441560.0,90519991.0,508456107.0,2329641503.0,400129454.0,339324498.0,339324498.0,1929512049.0,457199970.0,236224210.0,323470055.0,529153616.0,2683931521.0,252979616.0,476366683.0,2713439964.0,2927391924.0
 Madagascar ,1990,11882762,292,1227098921.0,108255622.0,552686781.0,2967732448.0,449466044.0,530498363.0,530498363.0,2518266403.0,706900236.0,281934941.0,385980104.0,687600264.0,3323324629.0,315866512.0,598523206.0,3464370387.0,3609221121.0
 Madagascar ,1991,12245260,240,1110186050.0,95651326.0,521536696.0,2762333167.0,420397745.0,221933949.0,221933949.0,2341935421.0,598674128.0,248688046.0,339436639.0,623396379.0,2959990427.0,271872076.0,519447956.0,2935202077.0,3132849595.0
 Madagascar ,1992,12623342,266,1251818270.0,102670874.0,527305240.0,3008596226.0,446806445.0,352474865.0,352474865.0,2561789781.0,647178206.0,269489546.0,370297513.0,682018699.0,3290474659.0,310699062.0,572970241.0,3355062299.0,3511106556.0
 Madagascar ,1993,13020100,289,1440945720.0,118079253.0,549448670.0,3367614947.0,475697287.0,401215852.0,401215852.0,2891917660.0,719778741.0,305657766.0,418186524.0,745588972.0,3720999784.0,340584214.0,657615101.0,3757869343.0,3913223832.0
 Madagascar ,1994,13436121,245,1472266289.0,103159290.0,697982115.0,2916276253.0,368518626.0,337490562.0,337490562.0,2547757628.0,764389453.0,266866089.0,360967437.0,585509208.0,3346767823.0,278817159.0,546048441.0,3285619704.0,3456058340.0
 Madagascar ,1995,13869138,251,1301523782.0,103542339.0,811543463.0,3089774082.0,381019048.0,359510812.0,356981496.0,2708755034.0,869249948.0,279904152.0,392398268.0,680766380.0,3427916735.0,357565993.0,592119972.0,3484704423.0,3668341486.0
 Madagascar ,1996,14317454,311,1599290294.0,140956461.0,871191584.0,3779924128.0,436267851.0,483378021.0,479977246.0,3343656277.0,901197156.0,350395525.0,473182795.0,826459361.0,4425522825.0,430840682.0,954793232.0,4454607310.0,4637844040.0
 Madagascar ,1997,14778903,271,1397565369.0,118426320.0,821413640.0,3470673893.0,486563818.0,464090224.0,460825147.0,2984110075.0,931420131.0,305796209.0,399856212.0,760162096.0,3888566177.0,398681021.0,813875159.0,4009983024.0,4116180192.0
 Madagascar ,1998,15250934,279,1419428377.0,141244460.0,852455151.0,3595554311.0,535452392.0,559735896.0,555797910.0,3060101918.0,962030056.0,327696271.0,415685951.0,841557291.0,4054221792.0,421719325.0,814586389.0,4254169426.0,4339993062.0
 Madagascar ,1999,15730885,272,1380928960.0,147374308.0,993550625.0,3536932631.0,498022828.0,558236727.0,554309288.0,3038909803.0,1053254363.0,319560374.0,395594149.0,874137542.0,3979770793.0,403398684.0,778337150.0,4271299820.0,4320178212.0
 Madagascar ,2000,16216431,273,1386561516.0,165056719.0,1282091910.0,3635932143.0,548133329.0,652928022.0,648334389.0,3087798815.0,1300493255.0,343045182.0,461377219.0,931639150.0,4135159131.0,411908311.0,778616215.0,4419863467.0,4501715508.0
 Madagascar ,2001,16709665,311,1574703235.0,206341009.0,1393394471.0,4192690072.0,719965559.0,842759443.0,836830263.0,3472724514.0,1417315632.0,424712401.0,552756466.0,1140863219.0,4900242648.0,484589662.0,940989058.0,5189519480.0,5258509713.0
 Madagascar ,2002,17211934,292,1772371652.0,209609377.0,746582731.0,4319166995.0,660468431.0,611724064.0,607420318.0,3658698564.0,952585146.0,426306052.0,522555592.0,1035082233.0,4934069378.0,427459826.0,966990698.0,5022189309.0,5104912870.0
 Madagascar ,2003,17724310,353,1979851256.0,272860181.0,1251001252.0,5588666266.0,1030961885.0,921782440.0,915297299.0,4557704381.0,1685294383.0,561744589.0,669575934.0,1463550513.0,6034090131.0,503928382.0,1144323864.0,6262431654.0,6354960759.0
 Madagascar ,2004,18250774,273,1543611944.0,264269046.0,1625934800.0,4269690469.0,716653090.0,1060797169.0,1053333998.0,3553037379.0,2003960537.0,460796907.0,548351431.0,1069902001.0,4734329159.0,426083351.0,882111386.0,4974225328.0,5066222723.0
