Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Mali ,1970,6153587,53,272029072.0,7223881.0,57636992.0,278457088.0,51684262.0,46689299.0,40347194.0,226772826.0,62421613.0,23928012.0,26400550.0,28178085.0,356571538.0,5967952.0,16771998.0,324140608.0,320361767.0
 Mali ,1971,6247878,62,320970042.0,10943967.0,73844553.0,333447143.0,61002022.0,58250051.0,51370124.0,272445121.0,82559128.0,27571151.0,31317208.0,33316927.0,423436219.0,7055299.0,19832776.0,387110576.0,382982620.0
 Mali ,1972,6347158,69,354997658.0,10482596.0,79213186.0,389770843.0,19409854.0,83934502.0,74491870.0,370360989.0,119606665.0,36308032.0,39895863.0,45249817.0,487139568.0,9585247.0,26928386.0,436995707.0,433311866.0
 Mali ,1973,6455257,77,380385307.0,13874104.0,94262841.0,490527015.0,34222815.0,96664442.0,88859239.0,456304200.0,179519679.0,41461156.0,46209687.0,59928143.0,548762324.0,12692156.0,35672928.0,499331224.0,501934620.0
 Mali ,1974,6569273,73,324424081.0,15064664.0,115561695.0,561127278.0,20225043.0,89572071.0,77461100.0,540902235.0,295208708.0,40274351.0,45431866.0,67950610.0,507716383.0,14383138.0,40462023.0,482141592.0,471052335.0
 Mali ,1975,6687293,149,624642641.0,18480396.0,126652517.0,731424215.0,27289476.0,148288647.0,125071647.0,704134739.0,305102962.0,51575358.0,57898971.0,77445976.0,840937398.0,16420752.0,46048662.0,994763753.0,701262417.0
 Mali ,1976,6807648,125,676952256.0,25031856.0,164909502.0,770300962.0,35260255.0,145923210.0,130191712.0,735040707.0,250619046.0,48911306.0,57478155.0,94439378.0,930152189.0,19989952.0,56260591.0,850913234.0,830514629.0
 Mali ,1977,6935336,143,757399511.0,29402156.0,205791659.0,831041317.0,43573234.0,198966936.0,180592680.0,787468083.0,269314084.0,52734539.0,62809423.0,105364290.0,1040044102.0,22264859.0,62803863.0,992939007.0,966485827.0
 Mali ,1978,7072938,152,833508170.0,36632124.0,174204510.0,1058002060.0,54584080.0,267694264.0,244466996.0,1003417980.0,379765833.0,57012435.0,69527549.0,135729250.0,1184670066.0,28924072.0,80348901.0,1074362727.0,1120135002.0
 Mali ,1979,7218079,191,1147451579.0,45682645.0,226411600.0,1368816364.0,68775567.0,289100833.0,266581400.0,1300040798.0,468039033.0,62608900.0,78251223.0,164267857.0,1568669916.0,34593395.0,98423217.0,1377009000.0,1416289764.0
