Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Marshall Islands ,1970,23969,443,760390.0,950902.0,4976920.0,11744747.0,5338651.0,1263848.0,1263848.0,6406096.0,7448868.0,65403.0,29226.0,4334357.0,7810459.0,-288279.0,2023862.0,10620668.0,8487081.0
 Marshall Islands ,1971,24680,467,824445.0,1031007.0,5391361.0,12737651.0,5788997.0,1367837.0,1367837.0,6948654.0,8072486.0,70913.0,31688.0,4699480.0,8468405.0,-312569.0,2194354.0,11515344.0,9202026.0
 Marshall Islands ,1972,25084,502,901929.0,1127905.0,5919073.0,13931909.0,6333649.0,1494991.0,1494991.0,7598259.0,8831561.0,77578.0,34667.0,5141160.0,9264309.0,-341940.0,2400589.0,12597612.0,10066877.0
 Marshall Islands ,1973,25522,574,1049668.0,1312655.0,6858117.0,16207215.0,7367405.0,1752598.0,1752598.0,8839810.0,10292078.0,90285.0,40347.0,5983297.0,10781828.0,-397941.0,2793802.0,14661138.0,11715861.0
 Marshall Islands ,1974,26174,734,1376142.0,1720935.0,8975024.0,21279049.0,9665956.0,2270752.0,2270753.0,11613092.0,13455007.0,118367.0,52888.0,7844248.0,14135229.0,-521760.0,3662775.0,19221100.0,15359772.0
 Marshall Islands ,1975,27047,779,1509412.0,1887593.0,10011263.0,23301094.0,10602493.0,2494890.0,2494890.0,12698600.0,14781890.0,129828.0,58018.0,8603928.0,15504199.0,-572223.0,4017472.0,21082602.0,16847316.0
 Marshall Islands ,1976,27964,820,1641656.0,2052941.0,10582749.0,25315887.0,11505020.0,2800718.0,2800718.0,13810867.0,16161700.0,141203.0,63111.0,9357738.0,16862514.0,-622326.0,4369394.0,22929675.0,18323331.0
 Marshall Islands ,1977,28912,883,1827635.0,2285588.0,11855262.0,28383766.0,12865483.0,2908380.0,2908380.0,15518283.0,17717291.0,157208.0,70210.0,10417788.0,18772671.0,-693135.0,4864585.0,25527120.0,20398975.0
 Marshall Islands ,1978,29892,938,2008394.0,2511584.0,13987717.0,30849602.0,14109310.0,3336546.0,3336546.0,16740292.0,19763758.0,172736.0,77229.0,11448308.0,20629894.0,-761128.0,5345507.0,28052415.0,22416963.0
 Marshall Islands ,1979,30902,1044,2310109.0,2888737.0,13601620.0,35511381.0,16078242.0,4309414.0,4309415.0,19433140.0,23100102.0,198699.0,88850.0,13168003.0,23728378.0,-875595.0,6148274.0,32266050.0,25784121.0
 Marshall Islands ,1980,31988,1055,2415551.0,3021114.0,15960783.0,38306919.0,17230424.0,3012808.0,3012808.0,21076495.0,22324970.0,207812.0,92594.0,13768748.0,24810884.0,-917321.0,6430198.0,33737937.0,26960320.0
 Marshall Islands ,1981,33219,1179,2804963.0,3507497.0,23557855.0,41654630.0,19585478.0,5248692.0,5248692.0,22069152.0,28835117.0,241166.0,108179.0,15989647.0,28814433.0,-1060657.0,7464805.0,39181027.0,31309947.0
 Marshall Islands ,1982,34569,1276,3157876.0,3948216.0,8393097.0,48655466.0,21360811.0,7824866.0,7824868.0,27294655.0,33083533.0,271669.0,121530.0,17999793.0,32433433.0,-1197436.0,8403454.0,44104629.0,35244447.0
 Marshall Islands ,1983,35975,1466,3775803.0,4724827.0,15001934.0,53008422.0,23622974.0,8979277.0,8979277.0,29385448.0,35911807.0,325040.0,143273.0,21520858.0,38779868.0,-1442141.0,10057248.0,52732478.0,42139047.0
 Marshall Islands ,1984,37437,1523,4080824.0,5100064.0,41036020.0,52338974.0,21063787.0,6822969.0,6822969.0,31275187.0,36214874.0,350220.0,160260.0,23268073.0,41937436.0,-1523259.0,10851474.0,57021150.0,45566167.0
 Marshall Islands ,1985,38962,1423,3969950.0,4961330.0,22922652.0,60741761.0,25324902.0,8347114.0,8347114.0,35416859.0,41905076.0,342134.0,151804.0,22622463.0,40750024.0,-1517918.0,10562394.0,55423721.0,44289646.0
 Marshall Islands ,1986,40527,1745,5064459.0,6353596.0,12845384.0,80265293.0,31416941.0,13313378.0,13313379.0,48848352.0,57215015.0,436823.0,183969.0,28861339.0,52014840.0,-1976144.0,13527621.0,70719790.0,56512887.0
 Marshall Islands ,1987,42122,1889,5684804.0,7077652.0,15260698.0,80598314.0,34119821.0,15399320.0,15399321.0,46478493.0,57002680.0,483362.0,245919.0,32450062.0,58524964.0,-1973811.0,15040337.0,79553992.0,63572385.0
 Marshall Islands ,1988,43687,2044,6412122.0,8012556.0,32546078.0,87883723.0,35307444.0,14725368.0,14725368.0,52576279.0,61163518.0,559508.0,225389.0,36474178.0,65586279.0,-2625739.0,17087774.0,89285756.0,71349134.0
 Marshall Islands ,1989,44988,2044,6580471.0,8350832.0,33120339.0,99747656.0,40504373.0,14524889.0,14524890.0,59243283.0,68898598.0,569000.0,201243.0,37508176.0,67702528.0,-2722732.0,17784539.0,91951024.0,73478976.0
 Marshall Islands ,1990,46047,2153,7037192.0,8558376.0,22125320.0,107011406.0,42938666.0,23656389.0,23656389.0,64072740.0,87727825.0,572250.0,452072.0,40370189.0,72967840.0,-1527871.0,18077883.0,99122860.0,79210062.0
 Marshall Islands ,1991,47053,2215,7595898.0,9594179.0,22991917.0,111821788.0,47834076.0,18029462.0,18029464.0,63987713.0,75726081.0,712641.0,85847.0,42763405.0,76208843.0,-4502060.0,20671573.0,104213854.0,83278325.0
