Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Mauritania ,1970,1122198,392,164791901.0,9374327.0,104568110.0,334295509.0,77689358.0,51252154.0,174084340.0,256606151.0,79470467.0,20245240.0,141443931.0,113271180.0,455719614.0,12496647.0,14341627.0,440277746.0,456966944.0
 Mauritania ,1971,1156361,406,169218838.0,11004253.0,111764561.0,352798680.0,85539860.0,57660992.0,191153712.0,267258821.0,84965996.0,21524024.0,153359963.0,121195439.0,484117661.0,13661133.0,15678035.0,469820542.0,489970157.0
 Mauritania ,1972,1191376,460,194063927.0,7260248.0,203094662.0,413621699.0,108520896.0,96729190.0,329931481.0,305100803.0,198671993.0,25707700.0,173019042.0,146678449.0,563126313.0,18208425.0,23896224.0,548475964.0,572598008.0
 Mauritania ,1973,1227358,516,192268517.0,9494186.0,176736599.0,512362807.0,151491236.0,89211591.0,443262284.0,360871571.0,173614724.0,30557948.0,201055689.0,174698590.0,625327668.0,18272581.0,29538106.0,633885916.0,649212950.0
 Mauritania ,1974,1264352,647,265441103.0,13782387.0,249502625.0,645344232.0,169564415.0,183374904.0,590891262.0,475779818.0,284086580.0,36379556.0,249103665.0,192140788.0,782113298.0,21764048.0,39881307.0,818360222.0,823252298.0
 Mauritania ,1975,1302436,821,350289776.0,19223299.0,226059234.0,915696642.0,273361449.0,235981902.0,672852240.0,642335192.0,353258577.0,45614914.0,275563264.0,281696849.0,1015175587.0,25710819.0,62691581.0,1068769937.0,1070329046.0
 Mauritania ,1976,1341604,886,398693094.0,25987490.0,245670863.0,1092766794.0,398470269.0,302523208.0,986481670.0,694296524.0,461166720.0,50807601.0,298811049.0,325469781.0,1146307734.0,34859229.0,62487090.0,1188877950.0,1199376537.0
 Mauritania ,1977,1381329,872,361386394.0,27737667.0,218136751.0,1189542805.0,448701338.0,266564589.0,888022895.0,740841467.0,430490236.0,60138448.0,275417579.0,381922485.0,1154478611.0,43839462.0,64175023.0,1204221094.0,1228397899.0
 Mauritania ,1978,1421786,825,390373190.0,18997100.0,196149023.0,1368685361.0,472668994.0,161766988.0,361778088.0,896016367.0,398480760.0,66998028.0,229198708.0,420406137.0,1173413792.0,48213791.0,66224867.0,1172711161.0,1208718431.0
 Mauritania ,1979,1463514,1013,561624884.0,31264632.0,234525000.0,1628838450.0,483213337.0,195805418.0,531988129.0,1145625113.0,442027257.0,75373121.0,272020081.0,466709668.0,1468945549.0,59271881.0,78054403.0,1482054817.0,1506021912.0
 Mauritania ,1980,1506694,1226,784970583.0,37486962.0,307362096.0,1940960992.0,465742115.0,247125082.0,702261565.0,1475218877.0,535450748.0,93156779.0,368105517.0,504716762.0,1849850319.0,64566236.0,90004259.0,1847282181.0,1857430475.0
