Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Mauritius ,1970,830115,249,39960040.0,8640009.0,97492831.0,167547686.0,34300717.0,26513159.0,26171844.0,133246969.0,94021211.0,26280026.0,31680032.0,48060048.0,164160164.0,19440019.0,16380016.0,206328665.0,205522143.0
 Mauritius ,1971,842412,275,47760028.0,10937411.0,97245652.0,182035822.0,38085253.0,34072315.0,33633687.0,143950568.0,107789761.0,30624751.0,37004907.0,51588122.0,185206827.0,20781081.0,17135277.0,231911287.0,231154788.0
 Mauritius ,1972,854036,339,66123119.0,13674186.0,145019238.0,222594004.0,47091759.0,43574723.0,43013767.0,175502245.0,137170744.0,43645005.0,51325027.0,60503590.0,239579231.0,24163973.0,23789337.0,289487310.0,289846577.0
 Mauritius ,1973,865368,422,90771018.0,20947158.0,185737302.0,257491500.0,49569016.0,89594640.0,88441250.0,207922484.0,193261207.0,50897919.0,59166534.0,71110089.0,303182551.0,29583267.0,31604484.0,365355341.0,363168703.0
 Mauritius ,1974,876740,689,231980113.0,27178320.0,379883686.0,370260579.0,72462880.0,133589618.0,131869862.0,297797699.0,338257237.0,88548720.0,97491264.0,86093904.0,515686706.0,34192080.0,38751024.0,603722861.0,603431827.0
 Mauritius ,1975,888292,684,171567077.0,36005857.0,383850121.0,398645918.0,84379960.0,191812191.0,189342911.0,314265958.0,374782499.0,93582042.0,105694611.0,106524239.0,512710123.0,46625095.0,46293244.0,607952380.0,606530348.0
 Mauritius ,1976,900166,842,146986453.0,47379965.0,364555743.0,553495700.0,109270693.0,220299403.0,193150717.0,444225007.0,411679992.0,129034963.0,137332758.0,198813525.0,658190882.0,53300206.0,74377973.0,757634729.0,753378074.0
 Mauritius ,1977,912574,960,148795943.0,58415428.0,410023469.0,687073534.0,138643813.0,250601440.0,229163660.0,548429721.0,496587043.0,145102290.0,156728612.0,236361572.0,758487538.0,67411161.0,90774823.0,876309492.0,881363832.0
 Mauritius ,1978,925835,1162,165971335.0,78048592.0,447673042.0,856790413.0,173776992.0,316948186.0,287975205.0,683013421.0,572188095.0,180959850.0,195320248.0,300877604.0,939906582.0,91743087.0,107945715.0,1075381105.0,1086538886.0
 Mauritius ,1979,940034,1356,203157259.0,83189026.0,527137213.0,1006030913.0,183617555.0,384069458.0,312360988.0,822413358.0,668545569.0,232086830.0,255184042.0,342375424.0,1118565831.0,104104352.0,130555728.0,1274702448.0,1296031259.0
 Mauritius ,1980,954865,1239,124535287.0,69404099.0,590692409.0,1044085140.0,182852017.0,238348497.0,264641218.0,861233123.0,705091884.0,213146815.0,241449651.0,344641955.0,1034063616.0,109471748.0,144560876.0,1183224421.0,1211119204.0
 Mauritius ,1981,969807,1207,147270535.0,62550955.0,521160680.0,1003003027.0,182663717.0,293044760.0,251345961.0,820339310.0,638522075.0,226169502.0,248341574.0,346744853.0,1060949821.0,112336546.0,143705358.0,1170531894.0,1222460909.0
 Mauritius ,1982,984176,1120,147336411.0,54648055.0,518704954.0,941459512.0,171465515.0,199007169.0,193678431.0,769993997.0,546559890.0,210302865.0,235034691.0,332866354.0,997602005.0,102460951.0,125255543.0,1102083895.0,1153991736.0
 Mauritius ,1983,998000,1122,130135901.0,53192630.0,518710647.0,931821120.0,167295887.0,193425915.0,197017713.0,764525233.0,519766871.0,207919563.0,229734109.0,334496237.0,998163541.0,105163706.0,145440958.0,1119422512.0,1166697025.0
 Mauritius ,1984,1011941,1050,130569387.0,47118627.0,516571787.0,871820760.0,152640110.0,232972505.0,188556350.0,719180650.0,549005504.0,209005111.0,231162272.0,303563922.0,951486857.0,99412877.0,139659772.0,1062159685.0,1113489496.0
 Mauritius ,1985,1025769,1073,142923465.0,47279207.0,587535389.0,868457749.0,142355357.0,256547625.0,201297290.0,726102392.0,604906375.0,237737392.0,263939712.0,291119093.0,967386478.0,97577721.0,124547280.0,1100154567.0,1151550198.0
 Mauritius ,1986,1039028,1447,190953783.0,61629718.0,902806906.0,1075679559.0,176969882.0,325273826.0,289662858.0,898709677.0,798892005.0,353860375.0,388732713.0,360986415.0,1312620116.0,131712620.0,178604867.0,1503565681.0,1565443222.0
