Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Monaco ,1970,24270,11706,,19350433.0,45404800.0,202472680.0,48293457.0,80098063.0,72946491.0,154179223.0,43861019.0,17660416.0,17660416.0,109374740.0,289096400.0,27279084.0,115431726.0,284114525.0,284114525.0
 Monaco ,1971,24610,12907,,21634625.0,52354458.0,227614777.0,55145970.0,87005922.0,82243130.0,172468807.0,49322766.0,19745113.0,19745113.0,122285714.0,323222343.0,30499203.0,129057689.0,317652390.0,317652390.0
 Monaco ,1972,24889,15647,,26524021.0,64737255.0,278731301.0,67775897.0,107691356.0,101285572.0,210955404.0,61716034.0,24207481.0,24207481.0,149922117.0,396270146.0,37391980.0,158224548.0,389441390.0,389441390.0
 Monaco ,1973,25102,20160,,34467058.0,88686618.0,359967973.0,89070054.0,142838571.0,132872040.0,270897919.0,85430226.0,31456792.0,31456792.0,194818658.0,514939488.0,48589597.0,205607382.0,506065755.0,506065755.0
 Monaco ,1974,25262,21633,,37220368.0,112742729.0,393355787.0,98517094.0,159120910.0,146743303.0,294838693.0,118727937.0,33969636.0,33969636.0,210381235.0,556074079.0,52471050.0,222031789.0,546491490.0,546491490.0
 Monaco ,1975,25524,27057,,47036211.0,130064632.0,511960950.0,135203038.0,171918489.0,175622240.0,376757912.0,123333466.0,42928190.0,42928190.0,265863478.0,702723264.0,66308842.0,280586544.0,690613533.0,690613533.0
 Monaco ,1976,25898,27515,,48531804.0,137777160.0,530655097.0,141643077.0,188541157.0,178114424.0,389012022.0,144400710.0,44293160.0,44293160.0,274317037.0,725067483.0,68417237.0,289508245.0,712572704.0,712572704.0
 Monaco ,1977,26242,29923,,53480316.0,158879973.0,585658436.0,158322034.0,200894434.0,189254463.0,427336404.0,160205722.0,48809483.0,48809483.0,302287579.0,798998482.0,75393353.0,319027751.0,785229681.0,785229681.0
 Monaco ,1978,26553,36521,,66047164.0,196302038.0,723813171.0,199261771.0,235777192.0,229421001.0,524551401.0,186148819.0,60278774.0,60278774.0,373319358.0,986747788.0,93109344.0,393993149.0,969743582.0,969743582.0
 Monaco ,1979,26834,43790,,80030437.0,243423710.0,878288256.0,240407951.0,292088976.0,277157722.0,637880305.0,238743676.0,73040782.0,73040782.0,452357241.0,1195658592.0,112822128.0,477408004.0,1175054315.0,1175054315.0
 Monaco ,1980,27076,49572,,91414406.0,281628274.0,1017246330.0,282480946.0,345590541.0,327874576.0,734765385.0,302264714.0,83430509.0,83430509.0,516702975.0,1365735573.0,128870567.0,545317116.0,1342200433.0,1342200433.0
 Monaco ,1981,27284,43178,,80236544.0,258822649.0,918343040.0,256267757.0,277067264.0,281779725.0,662075282.0,276154802.0,73228888.0,73228888.0,453522198.0,1198737799.0,113112679.0,478637490.0,1178080461.0,1178080461.0
 Monaco ,1982,27573,40596,,76237439.0,239529162.0,880458876.0,248514800.0,266384836.0,260197659.0,631944075.0,267009476.0,69579053.0,69579053.0,430918093.0,1138991148.0,107474996.0,454781567.0,1119363398.0,1119363398.0
