Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Mongolia ,1970,1293880,129,18548032.0,22293158.0,24967211.0,149259500.0,37056799.0,104231886.0,104231886.0,112202702.0,68971326.0,31190976.0,51550063.0,37134177.0,194363403.0,20326555.0,44511418.0,167334994.0,202122730.0
 Mongolia ,1971,1327781,139,20406225.0,24523771.0,27460291.0,164231925.0,40761239.0,114546524.0,114546524.0,123470687.0,75821518.0,34311737.0,56707820.0,40840145.0,213786744.0,22355132.0,48953651.0,184057454.0,222321668.0
 Mongolia ,1972,1363835,146,22049160.0,26503411.0,29672439.0,177541020.0,44070356.0,123844028.0,123844028.0,133470663.0,82001190.0,37081749.0,61285884.0,44150067.0,231076922.0,24166889.0,52921511.0,198943096.0,240301927.0
 Mongolia ,1973,1402309,163,25328671.0,30443838.0,34113424.0,203677518.0,50592178.0,142566582.0,142566582.0,153085340.0,94246804.0,42594903.0,70397600.0,50719672.0,265448211.0,27763042.0,60795388.0,228534464.0,276045127.0
 Mongolia ,1974,1443130,180,28802337.0,34602295.0,38724088.0,231886178.0,57498509.0,161136746.0,161136746.0,174387669.0,106766287.0,48412178.0,80011959.0,57583559.0,301543793.0,31520159.0,69023484.0,259611610.0,313582987.0
 Mongolia ,1975,1485691,203,33451656.0,40233053.0,45023065.0,269748914.0,66985622.0,188231378.0,188231378.0,202763292.0,124749841.0,56292481.0,93035908.0,67081264.0,350930935.0,36718832.0,80410222.0,302129359.0,364939869.0
 Mongolia ,1976,1529084,217,36706655.0,44112689.0,49557702.0,293997031.0,73175218.0,207924392.0,207924392.0,220821813.0,136797044.0,61719316.0,102004957.0,73516200.0,384698795.0,40241799.0,88116496.0,331200919.0,400055195.0
 Mongolia ,1977,1572516,241,42194589.0,50618354.0,56433447.0,340915410.0,84093951.0,231764476.0,231764476.0,256821459.0,154634210.0,70816149.0,117039588.0,83956597.0,440404021.0,45956034.0,100638859.0,379166925.0,457992987.0
 Mongolia ,1978,1615868,270,48019111.0,57950013.0,64838561.0,389092525.0,97049405.0,274907834.0,274907834.0,292043121.0,182328856.0,81091290.0,134021414.0,97173254.0,506844293.0,53189705.0,116490796.0,436353550.0,527068298.0
 Mongolia ,1979,1657448,297,54768837.0,65661112.0,74627328.0,429739922.0,107716185.0,316372106.0,316372106.0,322023737.0,203698691.0,91862056.0,151822531.0,109276739.0,572295053.0,59819446.0,130946387.0,492707291.0,595137575.0
 Mongolia ,1980,1697780,337,64400980.0,76860358.0,83744361.0,533777030.0,128276398.0,321148643.0,321148643.0,405500632.0,224273271.0,107505117.0,177676706.0,125694833.0,664140942.0,68799509.0,150708557.0,571827208.0,690705951.0
 Mongolia ,1981,1739221,371,72110754.0,88664270.0,100303626.0,589778311.0,152144662.0,465565832.0,465565832.0,437633649.0,303844448.0,124155940.0,205194617.0,153677774.0,788032863.0,84114625.0,184270822.0,645453618.0,819390667.0
 Mongolia ,1982,1781797,415,89401791.0,105089290.0,124907314.0,634939875.0,161716491.0,529345545.0,529345545.0,473223383.0,312244907.0,146928273.0,242831868.0,170887370.0,906289641.0,93568627.0,204510695.0,740182965.0,942496030.0
 Mongolia ,1983,1825773,490,100106719.0,118036285.0,152171598.0,755260112.0,192390222.0,525567034.0,525567034.0,562869889.0,363448353.0,164994358.0,272692967.0,183832042.0,996045785.0,100589884.0,220787888.0,894603615.0,1036141236.0
 Mongolia ,1984,1871652,516,101868960.0,131356489.0,180140082.0,834807882.0,212144516.0,565444777.0,565444777.0,622663366.0,409106657.0,184547861.0,304999596.0,202393772.0,1094147369.0,110770689.0,242757862.0,965142601.0,1137008806.0
 Mongolia ,1985,1919744,542,105330780.0,144484846.0,177995977.0,904593276.0,232561515.0,662298063.0,662298063.0,672031761.0,462437213.0,201073958.0,332323977.0,222529083.0,1191419862.0,121978914.0,264772262.0,1040815799.0,1239580963.0
 Mongolia ,1986,1969912,583,134034369.0,167595804.0,222943247.0,1072409773.0,282047605.0,747438454.0,747438454.0,790362168.0,612383244.0,234119009.0,386950258.0,232045632.0,1329029896.0,126718147.0,281685688.0,1147890930.0,1383744976.0
 Mongolia ,1987,2021502,628,124574763.0,175293382.0,253204158.0,1197352786.0,312876221.0,662061223.0,827894970.0,884476565.0,604879990.0,250069704.0,413245187.0,256765893.0,1417245629.0,140620349.0,306746055.0,1269980838.0,1468185739.0
 Mongolia ,1988,2073771,678,135996672.0,200394816.0,254448528.0,1294730988.0,344724126.0,663282609.0,846427903.0,950006862.0,601303191.0,271105332.0,448116834.0,274866107.0,1529957377.0,151355617.0,319227330.0,1405881637.0,1597567923.0
 Mongolia ,1989,2120825,730,157680225.0,212189096.0,233365802.0,1411984083.0,367626437.0,785869657.0,931856278.0,1044357646.0,569260427.0,299800132.0,495550542.0,280103531.0,1657636757.0,151176886.0,360936477.0,1547303856.0,1729600288.0
