Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Montenegro ,1990,621442,3630,235542575.0,79461467.0,654570519.0,2272561906.0,357340153.0,446910113.0,374443932.0,1915221753.0,1181637848.0,222610801.0,415021706.0,674092278.0,1952874241.0,243100872.0,305655342.0,2255698889.0,2147133266.0
 Montenegro ,1991,624954,2949,192456937.0,64941997.0,534645688.0,1855806308.0,291741161.0,365042071.0,305859458.0,1564065148.0,964486609.0,181682718.0,338933634.0,550809998.0,1595351265.0,198383444.0,249825255.0,1842727961.0,1754038416.0
 Montenegro ,1992,627665,2479,162501319.0,54825737.0,451628605.0,1566843704.0,246403572.0,308508546.0,258451493.0,1320440132.0,814726690.0,153520163.0,286274839.0,465057447.0,1347206449.0,167647147.0,210899961.0,1556045970.0,1481154281.0
 Montenegro ,1993,629554,1368,89916086.0,30323486.0,249943261.0,868576757.0,136590357.0,170557128.0,142915370.0,731986399.0,451818559.0,85109638.0,158538287.0,257317445.0,745679127.0,92955891.0,116627931.0,861349406.0,819893104.0
 Montenegro ,1994,630968,1408,92865576.0,31358924.0,257705513.0,893947223.0,140434313.0,175970520.0,147453834.0,753512910.0,463936542.0,87365960.0,163295726.0,265814023.0,769362979.0,95364786.0,120663943.0,888649202.0,845878974.0
 Montenegro ,1995,632066,2019,133254939.0,44938371.0,370837556.0,1284580080.0,202232638.0,253684948.0,212425040.0,1082347441.0,668983365.0,126175824.0,234987644.0,381309302.0,1105157367.0,137823529.0,172843582.0,1276328582.0,1214899546.0
 Montenegro ,1996,633004,1450,95721774.0,32239886.0,266227882.0,929785263.0,146206342.0,181094768.0,151847619.0,783578921.0,484221420.0,91126572.0,169207208.0,273897998.0,794580184.0,99573605.0,123939714.0,918084023.0,873897112.0
 Montenegro ,1997,633607,1403,93213790.0,31598684.0,257362864.0,887940782.0,139052209.0,176086630.0,147558350.0,748888573.0,457571934.0,86087921.0,162579622.0,266978265.0,769919810.0,93802496.0,121746954.0,889118565.0,846325748.0
 Montenegro ,1998,633903,1423,93944808.0,31555758.0,263669757.0,909524653.0,144103091.0,181354782.0,151543337.0,765421563.0,478575933.0,90678678.0,167090604.0,268582702.0,781643329.0,99251226.0,121218231.0,902329065.0,858900432.0
 Montenegro ,1999,633723,1387,91260096.0,30619395.0,253364496.0,906651672.0,142081681.0,169386308.0,142627752.0,764569991.0,472196634.0,88288190.0,162491367.0,261102409.0,759575133.0,96571766.0,117530100.0,878890978.0,836590408.0
 Montenegro ,2000,633324,1644,110976019.0,38331081.0,299801037.0,996046243.0,153935598.0,208720443.0,174590257.0,842110645.0,495972567.0,93228262.0,185892144.0,318748652.0,903206005.0,100626722.0,148631389.0,1041382304.0,991261111.0
 Montenegro ,2001,633065,1941,125303578.0,40892635.0,369330912.0,1273289185.0,208502404.0,257887609.0,213765335.0,1064786780.0,709992813.0,137060743.0,236182063.0,356221979.0,1065952756.0,151776563.0,155575938.0,1228536881.0,1170035125.0
 Montenegro ,2002,632737,2157,139864894.0,46766479.0,375431008.0,1496975710.0,227498217.0,228064130.0,197282883.0,1269477493.0,757600432.0,136243774.0,249850723.0,401071530.0,1165373465.0,148734713.0,179085126.0,1364810410.0,1292543663.0
 Montenegro ,2003,632351,2880,169001117.0,49344130.0,432721341.0,1876123033.0,326051571.0,249444526.0,238862440.0,1550071462.0,791494513.0,152726345.0,308018959.0,547728446.0,1478052387.0,179547956.0,224411778.0,1820893905.0,1720707104.0
 Montenegro ,2004,632545,3480,192044788.0,62076486.0,722617547.0,2248309282.0,389823507.0,327406144.0,374328028.0,1858485775.0,1190299785.0,185181617.0,364783214.0,680779497.0,1789507164.0,219469746.0,270353432.0,2201312013.0,2093201052.0
 Montenegro ,2005,632875,3640,197686277.0,67712879.0,815263076.0,2415809867.0,483031692.0,379904891.0,427665830.0,1932778175.0,1362481457.0,189177161.0,354462575.0,758991259.0,1910509842.0,230994781.0,300662072.0,2303882412.0,2278756868.0
 Montenegro ,2006,632545,4375,223548955.0,95842537.0,1103990616.0,3074059059.0,520076231.0,651263840.0,621089749.0,2553982828.0,2107548541.0,211380465.0,385502771.0,861202903.0,2224826437.0,283262368.0,375466903.0,2767221789.0,2721727340.0
 Montenegro ,2007,631923,5892,266069015.0,214333373.0,1582735625.0,3974337479.0,731769174.0,1279244495.0,1210102137.0,3242568305.0,3155796137.0,187781218.0,411558399.0,1040871841.0,2929359635.0,351473884.0,645053121.0,3723305212.0,3680484508.0
 Montenegro ,2008,631466,7305,338228436.0,289010266.0,1796505685.0,5096988277.0,1009994934.0,1871824134.0,1782690907.0,4086993343.0,4219475180.0,233346860.0,515472441.0,1317904392.0,3654156158.0,441938152.0,751602471.0,4612924645.0,4545796042.0
 Montenegro ,2009,631182,6601,343824801.0,228660858.0,1427848137.0,4317961620.0,909197801.0,1120586846.0,1137450237.0,3408763819.0,2707316770.0,188513234.0,492746089.0,1270693113.0,3452695599.0,411339489.0,705431248.0,4166546873.0,4159099281.0
 Montenegro ,2010,631044,6513,317729427.0,204756021.0,1533286193.0,4301200864.0,914382645.0,901005958.0,895708260.0,3386818220.0,2596666589.0,187538503.0,504075948.0,1322172935.0,3453834097.0,427391772.0,677707994.0,4110155285.0,4138958868.0
 Montenegro ,2011,631788,7241,366439251.0,223255477.0,1921998891.0,4658060094.0,955994964.0,877174382.0,885515184.0,3702065129.0,2918724774.0,225618704.0,461663411.0,1467981216.0,3802710811.0,440811405.0,842560052.0,4574999603.0,4538508593.0
 Montenegro ,2012,633051,6566,304640819.0,190031114.0,1785187489.0,4244542155.0,862270997.0,841456230.0,807407383.0,3382271157.0,2783525389.0,166646623.0,418736579.0,1368506690.0,3428397709.0,368626955.0,777855553.0,4156919695.0,4087788971.0
 Montenegro ,2013,633946,7180,358755502.0,164507056.0,1845692164.0,4485904283.0,869537298.0,875379357.0,900340879.0,3616366985.0,2742448143.0,180439943.0,525519717.0,1441129613.0,3663369002.0,368580782.0,804876332.0,4551527861.0,4464527660.0
 Montenegro ,2014,634294,7329,371618121.0,156554581.0,1841639106.0,4570199717.0,888778933.0,927652232.0,871796741.0,3681420784.0,2751911125.0,178047668.0,499780600.0,1496555660.0,3714323781.0,358881477.0,830933342.0,4648640196.0,4587712603.0
 Montenegro ,2015,633966,6533,326731073.0,152385775.0,1707075586.0,3986540536.0,778010345.0,814498642.0,816605869.0,3208530191.0,2455030221.0,165694577.0,429319750.0,1321674880.0,3350823458.0,318413072.0,802298908.0,4141875320.0,4053084542.0
 Montenegro ,2016,633264,6967,326646599.0,241583533.0,1769732116.0,4215101695.0,857820649.0,1141437946.0,1014009270.0,3357281046.0,2752216062.0,163378607.0,443566835.0,1421958019.0,3618443464.0,345783024.0,838905455.0,4412194700.0,4373945080.0
 Montenegro ,2017,632438,7837,332917043.0,272479100.0,1993887276.0,4527423251.0,894933428.0,1467794753.0,1307492994.0,3632489823.0,3132492934.0,186849267.0,449161236.0,1541562933.0,3974896188.0,385108313.0,993667563.0,4956348508.0,4856612346.0
 Montenegro ,2018,631455,8824,370701621.0,314606281.0,2361082351.0,5063342461.0,1019045647.0,1757496501.0,1610703856.0,4044296814.0,3675012339.0,219421348.0,562961015.0,1726201207.0,4506758600.0,432819828.0,1099468649.0,5571828406.0,5506908975.0
 Montenegro ,2019,630396,8890,354313682.0,356328736.0,2430043318.0,4942144118.0,986368991.0,1772240096.0,1513305642.0,3955775128.0,3602357025.0,206095257.0,537683607.0,1701153465.0,4502974268.0,427191473.0,1126303304.0,5604483451.0,5542182456.0
 Montenegro ,2020,629048,7721,361162410.0,290460471.0,1242823586.0,4963641631.0,1080517519.0,1490908581.0,1331914883.0,3883124112.0,2916711984.0,196457731.0,536261073.0,1699816249.0,3960450788.0,358878017.0,713872568.0,4856800607.0,4780776034.0
 Montenegro ,2021,627859,9529,366767770.0,292018583.0,2500549564.0,5463432314.0,1171859099.0,1488123858.0,1320411282.0,4291573215.0,3642840155.0,218944756.0,576467627.0,1850160667.0,4705059228.0,481570923.0,1138073657.0,5983139051.0,5809147307.0
