Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Montserrat ,1970,11402,682,303906.0,687215.0,1685190.0,9712853.0,1566173.0,2534518.0,2504246.0,8146680.0,6667933.0,633952.0,756372.0,2480879.0,6867691.0,386397.0,2252922.0,7776335.0,7791209.0
 Montserrat ,1971,11411,787,349410.0,787551.0,1977353.0,11206004.0,1799244.0,2916607.0,2879364.0,9406760.0,7679838.0,734735.0,875937.0,2882486.0,7963367.0,448454.0,2619529.0,8981576.0,8998845.0
 Montserrat ,1972,11444,909,405819.0,918868.0,2237620.0,12969535.0,2089379.0,3308970.0,3298682.0,10880156.0,8777064.0,852060.0,1017838.0,3261064.0,9099758.0,516291.0,2979878.0,10405077.0,10425107.0
 Montserrat ,1973,11476,1010,455783.0,1032618.0,2490098.0,14517239.0,2352939.0,3881842.0,3806028.0,12164300.0,10124111.0,937066.0,1117513.0,3739442.0,10291919.0,573725.0,3372838.0,11586420.0,11608323.0
 Montserrat ,1974,11506,1102,486634.0,1085949.0,2923476.0,15772297.0,2499772.0,4073100.0,4010855.0,13272526.0,10753486.0,1048235.0,1246818.0,4142831.0,11377591.0,642457.0,3772901.0,12682963.0,12707728.0
 Montserrat ,1975,11533,1245,564217.0,1294744.0,2867551.0,17843494.0,2903499.0,4276391.0,4398208.0,14939995.0,11613996.0,1179293.0,1417129.0,4175612.0,12035362.0,698968.0,3884692.0,14356896.0,14384632.0
 Montserrat ,1976,11553,1088,507236.0,1151196.0,2696936.0,15997707.0,2638956.0,4854081.0,4562339.0,13358751.0,12126839.0,978641.0,1160928.0,4409696.0,11685538.0,618711.0,3837772.0,12572637.0,12595102.0
 Montserrat ,1977,11553,1199,491206.0,1040493.0,3840741.0,16835757.0,2481481.0,3871144.0,3871144.0,14354276.0,10666667.0,1218488.0,1438832.0,4738752.0,12843682.0,748947.0,4385453.0,13851346.0,13880976.0
 Montserrat ,1978,11543,1373,557743.0,1092333.0,4788889.0,20718858.0,2885185.0,4064011.0,4064011.0,17833673.0,13696296.0,1552040.0,1837683.0,5194177.0,14694006.0,1043123.0,4968947.0,15845832.0,15875462.0
 Montserrat ,1979,11519,1665,749981.0,1818086.0,4755556.0,24892483.0,3855556.0,6764163.0,6764163.0,21036927.0,17207407.0,2055773.0,2328414.0,6290172.0,17334514.0,1209771.0,4938091.0,19178868.0,19204794.0
 Montserrat ,1980,11452,2471,886857.0,1936576.0,5929630.0,37731918.0,4533333.0,7205007.0,7205007.0,33198585.0,22551852.0,2368904.0,2770926.0,10606995.0,25508862.0,1433908.0,7873600.0,28303592.0,28314703.0
 Montserrat ,1981,11369,2928,1105117.0,2366104.0,7500000.0,43368868.0,5229630.0,8803063.0,8803063.0,38139239.0,26377778.0,2790950.0,3250863.0,10257861.0,29851170.0,1791730.0,11079494.0,33283042.0,33294153.0
 Montserrat ,1982,11298,3258,1223507.0,3058531.0,8781481.0,43924216.0,6251852.0,11379230.0,11379230.0,37672364.0,27259259.0,2743300.0,3460658.0,11339542.0,33297394.0,2296380.0,11918776.0,36807150.0,36825668.0
 Montserrat ,1983,11232,3480,1205020.0,2129123.0,11688889.0,46249899.0,6640741.0,7921378.0,7921378.0,39609158.0,26755556.0,3607813.0,4292404.0,12991667.0,35638302.0,2978720.0,12041367.0,39086091.0,39104610.0
 Montserrat ,1984,11168,3733,1460189.0,2284641.0,11362963.0,46002714.0,7140741.0,8499981.0,8499981.0,38861973.0,24155556.0,3812029.0,4701921.0,14031273.0,38057312.0,3564573.0,12014715.0,41695288.0,41710103.0
 Montserrat ,1985,11113,3834,1592748.0,2625301.0,12314815.0,48582999.0,7385185.0,9767404.0,9767404.0,41197814.0,27062963.0,3485284.0,4375360.0,14872737.0,39582148.0,3784017.0,12331984.0,42602254.0,43602254.0
 Montserrat ,1986,11070,4099,1640767.0,3136291.0,13096296.0,46740463.0,8200000.0,11668533.0,11668533.0,38540463.0,25233333.0,3927752.0,4896834.0,15589647.0,41564805.0,4229064.0,12072202.0,45371959.0,46271959.0
 Montserrat ,1987,11020,4455,1799607.0,3588035.0,15840741.0,50989869.0,8792593.0,13349237.0,13349237.0,42197276.0,30122222.0,4615279.0,5443608.0,16453547.0,44477629.0,4293402.0,12899430.0,49090957.0,50057624.0
 Montserrat ,1988,10961,5157,1933198.0,5406121.0,16992593.0,51514983.0,9403704.0,20113407.0,20113407.0,42111280.0,31959259.0,4805880.0,5677731.0,17924123.0,50113875.0,5458985.0,13713717.0,56520983.0,56661724.0
 Montserrat ,1989,10894,5789,1362376.0,12011956.0,16600000.0,44945659.0,10622222.0,44690337.0,44690337.0,34323437.0,42548148.0,3859680.0,4742641.0,18932495.0,56303663.0,5302726.0,13951468.0,63061922.0,63687848.0
 Montserrat ,1990,10805,6862,1502343.0,20361821.0,19118519.0,35186299.0,11896296.0,75755900.0,75755900.0,23290002.0,54644444.0,2620770.0,3499246.0,21985253.0,67043814.0,6335499.0,13359653.0,74142199.0,75416273.0
 Montserrat ,1991,10569,5933,1527366.0,6294799.0,19503704.0,67008705.0,12888889.0,23419722.0,23419722.0,54119816.0,45585185.0,2157881.0,3559264.0,22920748.0,54933418.0,6716240.0,13915002.0,62706205.0,64346946.0
 Montserrat ,1992,10108,6555,1864047.0,6131874.0,21370370.0,65326151.0,13259259.0,22813563.0,22813563.0,52066892.0,42155556.0,2300832.0,3541023.0,25219679.0,59459028.0,7236404.0,15466001.0,66258233.0,67354529.0
 Montserrat ,1993,9547,6669,2953259.0,4695179.0,25607407.0,59638763.0,13492593.0,17468356.0,17468356.0,46146170.0,35566667.0,2402940.0,3734475.0,26578957.0,61868033.0,7286696.0,16619467.0,63670081.0,67147859.0
 Montserrat ,1994,8959,7665,3160892.0,4506335.0,30077778.0,70634231.0,14303704.0,16765767.0,16765767.0,56330528.0,44355556.0,2491433.0,3853457.0,28038807.0,64659791.0,8360042.0,16740258.0,68670369.0,73122220.0
 Montserrat ,1995,8342,7981,2998800.0,3351054.0,36748148.0,68298044.0,13603704.0,12467556.0,12467556.0,54694340.0,48666667.0,3008780.0,4127206.0,26648417.0,60887031.0,8067143.0,15694411.0,66580414.0,68847081.0
 Montserrat ,1996,7715,6930,2048432.0,3391786.0,56888889.0,38770275.0,19733333.0,12619093.0,12619093.0,19036941.0,53355556.0,4513170.0,5365058.0,20040369.0,48174078.0,6657921.0,10670512.0,53467145.0,54922701.0
 Montserrat ,1997,7069,5897,384830.0,5854163.0,22077778.0,41174278.0,21985185.0,21780341.0,21780341.0,19189093.0,41025926.0,2239567.0,2935519.0,19554575.0,38745859.0,4516306.0,5500466.0,41687952.0,44006470.0
 Montserrat ,1998,6409,5854,258904.0,7816659.0,14200000.0,36078263.0,20144444.0,29081778.0,29081778.0,15933819.0,40066667.0,374396.0,734646.0,17587873.0,34734474.0,4477486.0,3858907.0,37515597.0,39293374.0
 Montserrat ,1999,5767,5391,277423.0,6761354.0,21740741.0,30114629.0,20011111.0,25155533.0,25155533.0,10103518.0,39981481.0,422046.0,926123.0,15939514.0,31581462.0,3789316.0,3887733.0,31088681.0,37029422.0
 Montserrat ,2000,5138,6471,407407.0,4348148.0,17318519.0,44107407.0,17862963.0,16174074.0,16174074.0,26244444.0,41659259.0,422222.0,1162963.0,18337037.0,31722222.0,3962963.0,3503704.0,33248148.0,35940741.0
 Montserrat ,2001,4704,7501,366667.0,4070370.0,15603704.0,44629630.0,18462963.0,14696296.0,14696296.0,26166667.0,39000000.0,440741.0,1100000.0,19751852.0,32518519.0,3777778.0,3451852.0,35285185.0,35933333.0
 Montserrat ,2002,4601,7993,488889.0,5429630.0,15874074.0,44077778.0,17903704.0,18596296.0,18596296.0,26174074.0,38714815.0,511111.0,1307407.0,20388889.0,35385185.0,4040741.0,3729630.0,36774074.0,39833333.0
 Montserrat ,2003,4627,8664,496296.0,5514815.0,14281481.0,47733333.0,20955556.0,22825926.0,22825926.0,26777778.0,43540741.0,540741.0,1677778.0,22462963.0,37588889.0,3892593.0,3544444.0,40088889.0,41300000.0
 Montserrat ,2004,4656,8737,418519.0,4885185.0,19659259.0,56870370.0,23459259.0,18122222.0,18122222.0,33411111.0,50559259.0,570370.0,1855556.0,23692593.0,39348148.0,4803704.0,3692593.0,40677778.0,44088889.0
 Montserrat ,2005,4693,9814,377778.0,4944444.0,16677778.0,68374074.0,23548148.0,15751852.0,15751852.0,44825926.0,51929630.0,729630.0,2348148.0,27244444.0,43733333.0,4737037.0,4081481.0,46059259.0,48874074.0
 Montserrat ,2006,4731,10504,455556.0,3403704.0,16540741.0,66925926.0,26577778.0,12029630.0,12029630.0,40348148.0,43885185.0,844444.0,2400000.0,31311111.0,47000000.0,5185185.0,4244444.0,49696296.0,51607407.0
 Montserrat ,2007,4769,10553,444444.0,3462963.0,17796296.0,68762963.0,29500000.0,12607407.0,12607407.0,39262963.0,45100000.0,914815.0,3033333.0,33203704.0,49888889.0,5400000.0,4344444.0,50325926.0,54070370.0
 Montserrat ,2008,4814,11000,485185.0,3862963.0,17970370.0,82362963.0,30451852.0,13970370.0,13970370.0,51911111.0,56900000.0,1007407.0,3077778.0,34777778.0,52359259.0,5025926.0,5129630.0,52955556.0,57403704.0
 Montserrat ,2009,4871,11454,618519.0,4425926.0,15029630.0,74248148.0,30370370.0,13792593.0,13792593.0,43877778.0,43666667.0,925926.0,2685185.0,37677778.0,54674074.0,4674074.0,4592593.0,55792593.0,59403704.0
 Montserrat ,2010,4938,10471,540741.0,4177778.0,12240741.0,72574074.0,27011111.0,13355556.0,13355556.0,45562963.0,42659259.0,855556.0,2592593.0,36433333.0,51003704.0,3425926.0,3833333.0,51707407.0,55511111.0
 Montserrat ,2011,4961,12125,633333.0,4151852.0,14440741.0,83300000.0,30322222.0,13625926.0,13625926.0,52977778.0,47670370.0,855556.0,3003704.0,43325926.0,58833333.0,3774074.0,3944444.0,60151852.0,63700000.0
 Montserrat ,2012,4975,11978,785185.0,4485185.0,15148148.0,84270370.0,31214815.0,14100000.0,14100000.0,53055556.0,50988889.0,1022222.0,2988889.0,41229630.0,57485185.0,3344444.0,4651852.0,59588889.0,63440741.0
 Montserrat ,2013,5010,11468,729630.0,4944444.0,19062963.0,91029630.0,31237037.0,15540741.0,15540741.0,59792593.0,66148148.0,1022222.0,3107407.0,36696296.0,53762963.0,3466667.0,4818519.0,57455556.0,59485185.0
 Montserrat ,2014,5051,12137,822222.0,5218519.0,16859259.0,78407407.0,29800000.0,16400000.0,16400000.0,48607407.0,52681481.0,1000000.0,3125926.0,34737037.0,52374074.0,3507407.0,4962963.0,61303704.0,58955556.0
 Montserrat ,2015,5059,11842,748148.0,3192593.0,16666667.0,82614815.0,29303704.0,10044444.0,10044444.0,53311111.0,50114815.0,1000000.0,3566667.0,37577778.0,54725926.0,4151852.0,5488889.0,59911111.0,61381481.0
 Montserrat ,2016,5085,11926,840741.0,3833333.0,18373333.0,78362222.0,32171852.0,18974074.0,18974074.0,46190370.0,51283333.0,1448148.0,3940741.0,37574074.0,55462963.0,3974074.0,5300000.0,60644444.0,62837037.0
 Montserrat ,2017,4699,12905,718519.0,2518519.0,20340741.0,80789630.0,33622593.0,12130370.0,12130370.0,47167037.0,53240370.0,1370370.0,4018519.0,36522222.0,52829630.0,4185185.0,4866667.0,60640741.0,59666667.0
 Montserrat ,2018,4359,14928,677778.0,2707407.0,23292593.0,83698148.0,36071481.0,12987407.0,12987407.0,47626667.0,52285926.0,1533333.0,4566667.0,37033333.0,55707407.0,4451852.0,6270370.0,65070370.0,62855556.0
 Montserrat ,2019,4505,15560,544444.0,3922222.0,20801481.0,87217407.0,37328519.0,16890370.0,16890370.0,49888889.0,49266296.0,2596296.0,5788889.0,36711111.0,58566667.0,5388889.0,6211111.0,70100000.0,65351852.0
 Montserrat ,2020,4500,15072,466667.0,2648148.0,23274286.0,90861331.0,38615997.0,15106172.0,15106172.0,52245334.0,56005894.0,1992593.0,5296296.0,41696296.0,60740741.0,5292593.0,5340741.0,67822222.0,67803704.0
 Montserrat ,2021,4417,16204,450794.0,4493067.0,24617346.0,95552648.0,40894791.0,16406317.0,16406317.0,54657857.0,57521453.0,2924671.0,6464447.0,42011702.0,63812922.0,5060370.0,5332543.0,71572379.0,71552836.0
