Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Mozambique ,1970,8411676,465,1328888381.0,118811304.0,119625182.0,4010787579.0,702272138.0,498429843.0,498429843.0,3308515440.0,734068938.0,1080199338.0,1137520103.0,436578747.0,3705729631.0,341875095.0,342055965.0,3910561179.0,4027052622.0
 Mozambique ,1971,8622890,505,1479785273.0,132280128.0,133168724.0,4466695525.0,782825401.0,554867539.0,554867539.0,3683870124.0,817185359.0,1202659676.0,1266478541.0,485825110.0,4125448861.0,380438623.0,380641187.0,4353094701.0,4483334286.0
 Mozambique ,1972,8860585,550,1656714106.0,148102365.0,149058363.0,4999421613.0,876144788.0,621204161.0,621204161.0,4123276826.0,914671086.0,1346502457.0,1417954873.0,543751171.0,4618348564.0,425800968.0,426025080.0,4871539504.0,5019304130.0
 Mozambique ,1973,9123668,629,1949474570.0,174347254.0,175633642.0,5884115493.0,1028424214.0,731622111.0,731622111.0,4855691280.0,1077763221.0,1585112984.0,1669227036.0,641513036.0,5439533445.0,502353101.0,502618488.0,5736534649.0,5910383640.0
 Mozambique ,1974,9404221,638,2041407185.0,182391947.0,183544530.0,6163914896.0,1083277529.0,764796109.0,764796109.0,5080637367.0,1126347146.0,1658287099.0,1746282586.0,668855184.0,5686749969.0,523764393.0,524048672.0,5999073920.0,6180776798.0
 Mozambique ,1975,9703732,641,2112313978.0,188854976.0,189925390.0,6369189070.0,1116022189.0,792015654.0,792015654.0,5253166880.0,1165365606.0,1716977742.0,1808091693.0,692667873.0,5887046952.0,542421501.0,542696931.0,6224411502.0,6399337058.0
 Mozambique ,1976,10019210,564,1918136794.0,171762205.0,173505791.0,5793194523.0,1004357845.0,721767602.0,721767602.0,4788836711.0,1064757626.0,1561609675.0,1644475635.0,636158027.0,5367098903.0,498150104.0,498416172.0,5654684699.0,5827541942.0
 Mozambique ,1977,10363575,551,1956073140.0,174261204.0,174809593.0,5912881994.0,1056165651.0,729030544.0,729030544.0,4856716309.0,1072856967.0,1584461798.0,1668535464.0,632575389.0,5422446916.0,495355483.0,495646170.0,5713463500.0,5898603031.0
 Mozambique ,1978,10741128,557,2030846833.0,181940733.0,182616500.0,6098028567.0,1058863900.0,763362967.0,763362967.0,5039164667.0,1120118300.0,1653912900.0,1741692100.0,667631767.0,5668011300.0,522844600.0,523055267.0,5983206967.0,6163734500.0
 Mozambique ,1979,11127844,565,2114864567.0,190274867.0,194778633.0,6419142367.0,1077014233.0,804354667.0,804354667.0,5342128167.0,1195773033.0,1730025767.0,1821818000.0,725372500.0,5988571533.0,567947367.0,568294233.0,6290345800.0,6480333467.0
 Mozambique ,1980,11413587,549,2162593190.0,189767672.0,186414055.0,6553617364.0,1270541246.0,783420653.0,783420653.0,5283076118.0,1144396725.0,1725879739.0,1817441316.0,647309049.0,5831352474.0,506928805.0,507312444.0,6270487882.0,6379055316.0
 Mozambique ,1981,11640015,506,1985892502.0,180979052.0,181960226.0,5839946392.0,921982489.0,765929532.0,765929532.0,4917963903.0,1114142378.0,1644048996.0,1731365705.0,685599400.0,5657820280.0,537026040.0,536957609.0,5892835882.0,6146681424.0
 Mozambique ,1982,11901827,521,2045746318.0,186490962.0,202311082.0,6416998471.0,964420707.0,806455695.0,806455695.0,5452577790.0,1245124630.0,1696680492.0,1786623660.0,792528465.0,6052496482.0,620193462.0,620913588.0,6196120917.0,6454369807.0
 Mozambique ,1983,12163328,484,2131442613.0,147278474.0,160344015.0,6326664538.0,1001913820.0,379008254.0,379008254.0,5324750742.0,984280365.0,1340527889.0,1411621941.0,770378075.0,5668732634.0,603632327.0,604379129.0,5887954840.0,6000750361.0
 Mozambique ,1984,12426223,532,1974978978.0,124457864.0,209212103.0,6899418440.0,1038918190.0,438572383.0,438572383.0,5860500227.0,1271456798.0,1126693204.0,1186731067.0,1271600874.0,6548309994.0,996654222.0,993886989.0,6604585777.0,6805078040.0
 Mozambique ,1985,12680065,690,4295300312.0,112592055.0,329887959.0,8949387511.0,1021164063.0,391888739.0,391888739.0,7928223449.0,2055537092.0,1029015169.0,1083257662.0,1386201826.0,9046165568.0,1081681679.0,1087132034.0,8754887990.0,9020655957.0
 Mozambique ,1986,12909797,828,4576229695.0,157319476.0,140629220.0,10674370267.0,1280349964.0,669699518.0,669699518.0,9394020303.0,846842429.0,1433845321.0,1509987826.0,1895485863.0,11123078679.0,1490935943.0,1493119875.0,10686605544.0,10945471991.0
 Mozambique ,1987,12964793,285,1643536634.0,76839583.0,166224443.0,4155801562.0,448408903.0,593691143.0,593691143.0,3707392656.0,991158539.0,684484977.0,721478816.0,500864706.0,3722733249.0,392905111.0,387108400.0,3698586052.0,3882647927.0
 Mozambique ,1988,12956772,247,1338016007.0,72760389.0,178807757.0,3723661634.0,420232474.0,706367920.0,706367920.0,3303429161.0,1161037069.0,684496336.0,719406547.0,386476034.0,3120391839.0,297570192.0,306162672.0,3196914959.0,3308157401.0
 Mozambique ,1989,13087604,259,1561919418.0,76027687.0,189537075.0,3984579921.0,501860627.0,779179857.0,779179857.0,3482719294.0,1248597760.0,687258451.0,724561796.0,358748269.0,3296658163.0,289012578.0,286388413.0,3386155574.0,3574931068.0
 Mozambique ,1990,13303459,284,1338352348.0,67669447.0,217239496.0,4192135310.0,559202471.0,928891631.0,928891631.0,3632932840.0,1352702027.0,564042273.0,596140820.0,639388716.0,3605597465.0,497612478.0,466433652.0,3778003773.0,3924382414.0
 Mozambique ,1991,13561175,260,1251266838.0,46901682.0,293297716.0,3822155874.0,505193922.0,946097227.0,376939664.0,3316961951.0,1428062450.0,527259030.0,549478938.0,668564565.0,3570338584.0,485471923.0,568654637.0,3527945740.0,3633488368.0
 Mozambique ,1992,13816881,181,795330451.0,49172762.0,243180148.0,2894090229.0,451742998.0,757559408.0,336573142.0,2442347231.0,1254828492.0,396703983.0,422241237.0,481285511.0,2584406242.0,442742056.0,393634225.0,2504057840.0,2640001293.0
 Mozambique ,1993,14206254,183,912733378.0,45308069.0,225293613.0,2941683174.0,530191003.0,780078398.0,358458759.0,2411492171.0,1217530432.0,303662311.0,323440303.0,614767775.0,2669422022.0,434714909.0,338457587.0,2598152558.0,2729524753.0
 Mozambique ,1994,14912873,179,853571631.0,74339270.0,295334989.0,3106271494.0,732047675.0,685856386.0,418035520.0,2374223819.0,1290907482.0,345651272.0,356940341.0,574331328.0,2749132263.0,419311436.0,470638258.0,2663987826.0,2796555386.0
 Mozambique ,1995,15594830,179,917800645.0,84617597.0,331987672.0,3037457144.0,380217311.0,986215870.0,524241706.0,2657239834.0,1455748559.0,304745656.0,318219228.0,573939286.0,2845204342.0,420242546.0,530385041.0,2791049714.0,2899912127.0
 Mozambique ,1996,16079553,237,1193182999.0,114992308.0,454593050.0,3990260195.0,444234579.0,829432454.0,556071028.0,3546025615.0,1417502932.0,450823128.0,465326512.0,613702484.0,3525389102.0,430135697.0,708049102.0,3807318244.0,3856782767.0
 Mozambique ,1997,16521724,276,1406938448.0,138271396.0,497263187.0,4584537630.0,597405259.0,997429647.0,665243996.0,3987132371.0,1430391568.0,594355806.0,623267947.0,700300883.0,4296362324.0,575983249.0,851600400.0,4559972958.0,4648838896.0
 Mozambique ,1998,16923195,285,1432995398.0,196955866.0,523123255.0,4943396734.0,770252258.0,1260861855.0,672582604.0,4173144475.0,1463496935.0,765563696.0,830897929.0,800543342.0,4891942848.0,690537578.0,940012735.0,4826082842.0,5263884908.0
 Mozambique ,1999,17337893,311,1370780643.0,188947645.0,529425031.0,5113393174.0,950255737.0,2415974254.0,769109604.0,4163137437.0,2082389870.0,798400655.0,881782464.0,907917964.0,5030069059.0,720533559.0,960106785.0,5384438436.0,5976402589.0
 Mozambique ,2000,17768505,278,1080111688.0,200549088.0,633307912.0,4867105155.0,843053261.0,2130541730.0,1131437173.0,4024051893.0,1974499717.0,721955323.0,812089768.0,935122230.0,4691109133.0,769155570.0,894080788.0,4941694036.0,5656455081.0
 Mozambique ,2001,18220716,258,985155293.0,181799198.0,995642816.0,4379108909.0,938987192.0,1650510985.0,690251896.0,3440121717.0,1626704813.0,781283311.0,873936993.0,865080476.0,4633495473.0,800423845.0,927099668.0,4707973256.0,5398557897.0
 Mozambique ,2002,18694946,254,1294356606.0,88276188.0,1208620623.0,5205296030.0,883461439.0,2066504365.0,1067518292.0,4321834591.0,2803407387.0,698583859.0,848524368.0,1589870221.0,5066603473.0,689992875.0,555583213.0,4748390492.0,5677013631.0
 Mozambique ,2003,19186754,309,1431226849.0,96577221.0,1413876629.0,5843427612.0,1014451047.0,1884027554.0,881614612.0,4828976565.0,2837932037.0,890953690.0,1064479280.0,1671732043.0,5569819625.0,723870777.0,581933456.0,5922852224.0,6303399758.0
 Mozambique ,2004,19694411,361,1708160967.0,101955121.0,1960968176.0,7015312446.0,1340539965.0,1932363701.0,901302288.0,5674772481.0,3277538150.0,1136233243.0,1378639363.0,1986097701.0,6749989514.0,906594049.0,668542313.0,7113162280.0,7631106173.0
 Mozambique ,2005,20211114,405,1944812824.0,117314900.0,2314507209.0,7849890020.0,1459534880.0,1923280216.0,1043062196.0,6390355140.0,3545594369.0,1149426212.0,1436695180.0,2111474620.0,7581983659.0,1033255185.0,938430950.0,8195353887.0,8542083076.0
 Mozambique ,2006,20735982,415,2193508148.0,123205149.0,2494915676.0,8087016522.0,1503424983.0,1981739467.0,1062441166.0,6583591539.0,3386775070.0,1307582427.0,1653360879.0,2119546217.0,8206077138.0,1055391274.0,1061065471.0,8609909677.0,9176896596.0
 Mozambique ,2007,21280513,468,2483755883.0,137908843.0,2867177238.0,9160739349.0,1648878383.0,2143635740.0,1099699247.0,7511860966.0,3720725799.0,1431047141.0,1832695337.0,2464508943.0,9417000077.0,1195470102.0,1302660970.0,9959344687.0,10450826528.0
 Mozambique ,2008,21845571,546,3316774432.0,195253066.0,3329425036.0,11088201177.0,2051071302.0,2635777777.0,1817170300.0,9037129875.0,4497230747.0,1479449519.0,1922471561.0,2878337313.0,11326463352.0,1479345309.0,1534281671.0,11928650330.0,12556173243.0
 Mozambique ,2009,22436660,527,3273578429.0,219351401.0,3231064337.0,10989984319.0,2082311046.0,2183554704.0,1602961183.0,8907673273.0,4490131847.0,1249529758.0,1750673149.0,2763740892.0,10777564314.0,1419897017.0,1350323425.0,11822342290.0,11914471513.0
