Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Myanmar ,1970,27284112,81,863234604.0,38676995.0,108731472.0,2562720128.0,364391214.0,354089670.0,306671653.0,2198328914.0,346116854.0,216595878.0,258331555.0,374300593.0,2233563527.0,168199331.0,530820450.0,2199660712.0,2725746049.0
 Myanmar ,1971,27914953,81,879105128.0,38081881.0,118993630.0,2666960083.0,378941153.0,347039770.0,311915856.0,2288018930.0,333819580.0,216662173.0,262827373.0,409201591.0,2314119783.0,170493014.0,554410796.0,2265978016.0,2841720169.0
 Myanmar ,1972,28551949,76,853527102.0,34565957.0,119279114.0,2571729012.0,365960446.0,315634354.0,273249430.0,2205768567.0,248989994.0,183158457.0,229093725.0,430008761.0,2221836724.0,144382668.0,530258512.0,2156331062.0,2776639230.0
 Myanmar ,1973,29165356,102,1284535089.0,35878343.0,164919854.0,3295066217.0,469224965.0,383448116.0,304644789.0,2825841252.0,224434586.0,246669059.0,290419241.0,491397391.0,3068125860.0,161914828.0,803980967.0,2989412968.0,3622329838.0
 Myanmar ,1974,29751936,148,2102432551.0,39089477.0,216357295.0,3993919294.0,568027996.0,446183514.0,329580890.0,3425891299.0,252852592.0,359731232.0,400665307.0,470018883.0,4438578122.0,186777127.0,1239594776.0,4411482319.0,4403607277.0
 Myanmar ,1975,30344276,132,1921556747.0,32568117.0,204259165.0,3620560311.0,513873583.0,405616448.0,313605646.0,3106686728.0,240696643.0,355781045.0,389916285.0,378424762.0,4017575094.0,152911187.0,1142197996.0,3996106807.0,3989738701.0
 Myanmar ,1976,30941375,138,2000891219.0,37268893.0,234250773.0,3797443239.0,537632967.0,498097529.0,452853597.0,3259810272.0,276959806.0,407918140.0,452544794.0,402008736.0,4277664544.0,159074591.0,1225876311.0,4258874492.0,4252828205.0
 Myanmar ,1977,31554598,138,1991132742.0,47047764.0,252570834.0,3787424432.0,543008560.0,680806244.0,645022877.0,3244415872.0,375728690.0,421888800.0,474201309.0,445599210.0,4367345851.0,165590016.0,1243774810.0,4350788562.0,4345062764.0
 Myanmar ,1978,32185601,154,2288919119.0,61523366.0,332524492.0,4154886428.0,593762757.0,1004262145.0,938014760.0,3561123671.0,554112341.0,458164037.0,523463717.0,532515878.0,4967217525.0,203051706.0,1357743740.0,4942452003.0,4937539566.0
 Myanmar ,1979,32821779,171,2668222755.0,79213429.0,444536920.0,4620802089.0,653047724.0,1227614928.0,1109806759.0,3967754364.0,679116617.0,509929163.0,587842811.0,607409889.0,5654076728.0,247862115.0,1463525728.0,5616124091.0,5613807712.0
 Myanmar ,1980,33465781,186,3012238623.0,92903734.0,505362012.0,5123167767.0,719683871.0,1386833210.0,1213182297.0,4403483896.0,783555901.0,560735573.0,643649500.0,692969368.0,6281994398.0,288204665.0,1552028507.0,6234968568.0,6231772927.0
 Myanmar ,1981,34110098,182,3037360476.0,95811872.0,445633669.0,5191170248.0,725753665.0,1399982918.0,1293573911.0,4465416583.0,825792450.0,551785195.0,636607362.0,694505424.0,6266404320.0,302902577.0,1499216609.0,6203434971.0,6210961986.0
 Myanmar ,1982,34742586,180,3070324689.0,100329745.0,413555307.0,5346433907.0,814479245.0,1254216327.0,1238938007.0,4531954662.0,746588712.0,564162788.0,651796149.0,685687716.0,6325210688.0,314407718.0,1502664671.0,6240310376.0,6267591014.0
 Myanmar ,1983,35424262,182,3197923605.0,103601519.0,408663892.0,5658009341.0,795432911.0,1072345348.0,1101390664.0,4862576431.0,643058388.0,602033359.0,692661873.0,696410153.0,6556049709.0,326166939.0,1539285621.0,6460738243.0,6495942067.0
 Myanmar ,1984,36159838,181,3268503060.0,103311696.0,343191548.0,5836678523.0,778795174.0,1011865567.0,1031340442.0,5057883349.0,592718507.0,622291037.0,713748877.0,703641029.0,6660895833.0,330507914.0,1541183256.0,6562650881.0,6599004198.0
 Myanmar ,1985,36881020,183,3435200825.0,102825850.0,294111400.0,6053145484.0,824554216.0,954075883.0,1018690596.0,5228591268.0,515525349.0,619252752.0,706946990.0,723353850.0,6854255958.0,339168476.0,1546759967.0,6743306120.0,6785801519.0
 Myanmar ,1986,37572340,155,3184564696.0,80846360.0,186552770.0,5322523626.0,726262200.0,706052323.0,792185303.0,4596261426.0,366420046.0,470852147.0,537067709.0,584498563.0,5917906234.0,277251709.0,1253677196.0,5821200522.0,5848708673.0
