Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Namibia ,1970,754467,662,50481207.0,27855248.0,379550844.0,482879033.0,106691725.0,137309202.0,145963229.0,376187309.0,368828631.0,55281654.0,237636319.0,174980317.0,577254409.0,34108195.0,52193120.0,499622014.0,605128249.0
 Namibia ,1971,776995,719,56380865.0,31119650.0,424497545.0,538565981.0,119005677.0,153451567.0,163109032.0,419560304.0,411756160.0,61729219.0,265769146.0,195267512.0,644932644.0,38117746.0,58277729.0,558624188.0,676103456.0
 Namibia ,1972,800610,699,56491101.0,31195102.0,425228443.0,539694467.0,119239593.0,153831706.0,163497427.0,420454874.0,412729388.0,61836425.0,266231464.0,195563139.0,646060445.0,38193534.0,58386109.0,559837260.0,677273580.0
 Namibia ,1973,824918,861,71657765.0,39498971.0,537399207.0,687243845.0,151840218.0,194566087.0,206884077.0,535403626.0,523786110.0,78522377.0,336479963.0,248905398.0,819030765.0,48355396.0,74133272.0,710134555.0,858521041.0
 Namibia ,1974,850091,1020,87360640.0,48260978.0,660490561.0,831018953.0,183674800.0,238212553.0,253139553.0,647344152.0,637181663.0,95586720.0,413481141.0,301805372.0,1000308795.0,59171267.0,90229398.0,867120103.0,1048790564.0
 Namibia ,1975,876572,1048,93359966.0,51626915.0,702262593.0,892299446.0,197067319.0,254626656.0,270548058.0,695232125.0,682929829.0,102127101.0,439703266.0,322770434.0,1067051513.0,63126751.0,96464182.0,918823323.0,1118543627.0
 Namibia ,1976,901840,987,89809873.0,49237155.0,666054183.0,871281527.0,192506153.0,241729919.0,257382851.0,678775374.0,657398344.0,98729059.0,417107502.0,315098402.0,1024692908.0,60258556.0,93181423.0,890408188.0,1073800791.0
 Namibia ,1977,926109,1068,98835090.0,54963663.0,765472620.0,916813530.0,202874757.0,272956291.0,289534821.0,713938773.0,716132053.0,107652909.0,478965909.0,335819151.0,1137847801.0,67693964.0,101570023.0,989014591.0,1193853054.0
 Namibia ,1978,942023,1212,115513052.0,64067680.0,855697056.0,1119538157.0,246697044.0,315249838.0,334836210.0,872841113.0,852310565.0,126272675.0,536038466.0,400240137.0,1313063051.0,77708278.0,119495437.0,1141665173.0,1375598840.0
 Namibia ,1979,957334,1464,143021275.0,76388199.0,1015648522.0,1448692318.0,320459523.0,369721281.0,396245067.0,1128232794.0,1048973033.0,159525180.0,636397594.0,523595386.0,1623363674.0,93744706.0,150216514.0,1401930327.0,1699547925.0
 Namibia ,1980,975994,1972,194327201.0,112855285.0,1704794363.0,1544216441.0,343691785.0,579317240.0,607932858.0,1200524655.0,1362972522.0,205530149.0,1064350092.0,592986590.0,2299808785.0,141582706.0,193706910.0,1924930176.0,2421991155.0
 Namibia ,1981,987394,1975,196667307.0,108253421.0,1268734093.0,2138032738.0,466333317.0,518534747.0,552897493.0,1671699422.0,1525183364.0,217178552.0,797900487.0,718884146.0,2157544417.0,128594781.0,207244275.0,1950321291.0,2246811296.0
 Namibia ,1982,1005520,1735,179210261.0,84771828.0,1109299872.0,2048386967.0,457506982.0,386484752.0,428192319.0,1590879985.0,1290891875.0,211750125.0,695700720.0,760601145.0,2027885083.0,110934778.0,196666351.0,1744622466.0,2116038518.0
 Namibia ,1983,1033085,1860,185140108.0,72617456.0,1034886236.0,2166758473.0,510098639.0,392458251.0,365127491.0,1656659834.0,1209641708.0,235973319.0,728301682.0,873026130.0,2197588488.0,141558900.0,196944212.0,1921288610.0,2293990997.0
 Namibia ,1984,1061995,1467,154798099.0,47502584.0,885220580.0,1849094426.0,435347631.0,257487759.0,255033930.0,1413746796.0,1005769616.0,192735078.0,591070721.0,765902652.0,1857182276.0,135418164.0,162490056.0,1557624909.0,1947997596.0
 Namibia ,1985,1093311,1002,118880110.0,36966720.0,830115795.0,1255394021.0,353054695.0,159471383.0,197036412.0,902339327.0,645147529.0,148690360.0,564278777.0,581544616.0,1516297771.0,95805040.0,118822508.0,1095545818.0,1605929721.0
