Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Nauru ,1970,6663,2413,915469.0,545112.0,7841888.0,12057764.0,4070057.0,1495666.0,1266606.0,7987706.0,6001749.0,261008.0,5617278.0,4217848.0,16403013.0,2688736.0,2418571.0,16080266.0,15348249.0
 Nauru ,1971,6778,2602,1072583.0,638665.0,9305693.0,12146465.0,4067861.0,1472216.0,1234639.0,8078604.0,6008127.0,305805.0,5435272.0,4941723.0,18072080.0,3150185.0,2833651.0,17639285.0,16836297.0
 Nauru ,1972,6883,3020,1450658.0,863785.0,8573810.0,17874023.0,5921624.0,1905709.0,1799070.0,11952398.0,8620230.0,413598.0,4417657.0,6683632.0,21508831.0,4260615.0,3832484.0,20783565.0,19837442.0
 Nauru ,1973,6990,3850,1536608.0,914964.0,14073443.0,18863985.0,6561134.0,2795735.0,2146208.0,12302850.0,9805296.0,438101.0,9354092.0,7079630.0,27457893.0,4513048.0,4059551.0,26912601.0,25687472.0
 Nauru ,1974,7096,4934,2028215.0,1207695.0,22658887.0,17675561.0,5711186.0,1918987.0,1528964.0,11964375.0,8498113.0,578255.0,11857705.0,9344606.0,35753390.0,5956849.0,5358321.0,35010320.0,33416569.0
 Nauru ,1975,7199,4888,2334899.0,1390308.0,21594375.0,19089488.0,5935614.0,2661068.0,2223325.0,13153874.0,9915349.0,665700.0,8766115.0,10757597.0,36275025.0,6857547.0,6168559.0,35186676.0,33584876.0
 Nauru ,1976,7306,4892,2649676.0,1577728.0,20800660.0,20851822.0,6235044.0,3729701.0,3267707.0,14616778.0,11693053.0,755470.0,5951321.0,12207898.0,37168982.0,7782176.0,7000180.0,35743310.0,34116149.0
 Nauru ,1977,7441,4809,2492038.0,1483857.0,19744707.0,22460464.0,6454318.0,5151446.0,4732824.0,16006145.0,13588918.0,710516.0,7662511.0,11481609.0,37023050.0,7319344.0,6583692.0,35780573.0,34151781.0
 Nauru ,1978,7541,5142,2316532.0,1379374.0,20290835.0,26208995.0,7233306.0,7703002.0,7703002.0,18975688.0,17096907.0,660441.0,12388470.0,10672976.0,39681036.0,6803683.0,6120000.0,38777208.0,37011986.0
 Nauru ,1979,7586,5274,2442820.0,1454604.0,22516119.0,28665894.0,7836005.0,8133576.0,8133576.0,20829889.0,21127459.0,696420.0,12222489.0,11254793.0,41002581.0,7174207.0,6453666.0,40009405.0,38188129.0
