Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 New Zealand ,1970,2824061,2271,788384842.0,442754161.0,1434771750.0,5135507702.0,986444638.0,1579587773.0,1520097843.0,4149063064.0,1628922661.0,1597407970.0,1799499726.0,1811759584.0,6398642835.0,566272569.0,989971951.0,6412945187.0,6623846821.0
 New Zealand ,1971,2868885,2680,888023633.0,513282202.0,1751064504.0,5972015709.0,1150342634.0,1903232236.0,1791945387.0,4821673075.0,1688607598.0,1983858423.0,2247313004.0,2166686818.0,7686741650.0,705195238.0,1166240756.0,7687955585.0,7937704851.0
 New Zealand ,1972,2920878,3168,1238227200.0,639432000.0,2300760000.0,7119806400.0,1387627200.0,2249366400.0,2347372800.0,5732179200.0,2013912000.0,2291198400.0,2593584000.0,2609121600.0,9289094400.0,807955200.0,1400774400.0,9253106928.0,9657216000.0
 New Zealand ,1973,2980638,4125,1486131895.0,884893146.0,2998050553.0,9288663640.0,1810502235.0,3398423985.0,3106626399.0,7478161405.0,2979049779.0,3002122147.0,3345493260.0,3524643406.0,12294857381.0,1066757689.0,1986937985.0,12294218141.0,12704731201.0
 New Zealand ,1974,3042812,4580,1164379348.0,1097284260.0,2914442907.0,11053915830.0,2306393667.0,4946864963.0,3933449563.0,8747522163.0,4653323950.0,3631521665.0,4008931538.0,4242366533.0,13906854906.0,1251043838.0,2142849389.0,13937450266.0,14261899749.0
 New Zealand ,1975,3095428,4321,1357671751.0,1123383263.0,3161092369.0,10983924910.0,2384936660.0,3787063150.0,4131887745.0,8598988250.0,4109059636.0,3182718999.0,3578005730.0,4373385110.0,13511837621.0,1179852796.0,1899538972.0,13376856214.0,13824222272.0
 New Zealand ,1976,3127812,4303,1498673301.0,993144724.0,3707872989.0,10464839600.0,2262936977.0,3797435138.0,3738722174.0,8201902623.0,4066121587.0,3425254651.0,3913865933.0,4190513461.0,13722911572.0,1275763063.0,1850951089.0,13459506305.0,13904026141.0
 New Zealand ,1977,3141174,4691,1435487989.0,987079976.0,3969672668.0,11614932230.0,2651624873.0,3833791452.0,3704704297.0,8963307357.0,4213288277.0,3784291866.0,4429727642.0,4755842561.0,15014874371.0,1411223486.0,1995512715.0,14735426885.0,15206078653.0
 New Zealand ,1978,3143300,5657,1646576978.0,1105321825.0,4898255442.0,14253052352.0,3444539496.0,4076003841.0,4331078108.0,10808512856.0,4761386323.0,4631775415.0,5358633388.0,5896777879.0,18184928862.0,1725380410.0,2452238383.0,17780204804.0,18466962199.0
 New Zealand ,1979,3142539,6559,2414914630.0,1141540263.0,6055171046.0,16322901593.0,3903924623.0,5003564125.0,4523238320.0,12418976970.0,6383223350.0,5263144453.0,6184961210.0,6611122615.0,20906436132.0,1965247919.0,2588649495.0,20610407250.0,20997391444.0
