Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Nigeria ,1970,55569264,517,5554451123.0,2693855021.0,1718958134.0,3190182021.0,423962231.0,23129708088.0,23303711100.0,2785628562.0,1290398817.0,4398572015.0,6215755878.0,7468224174.0,28396291992.0,3696875229.0,2767130566.0,28741417424.0,29387650369.0
 Nigeria ,1971,56837614,587,6976309880.0,2918888717.0,1787006553.0,3804770232.0,474082358.0,26805535386.0,27007191362.0,3354037312.0,1498762930.0,4694259970.0,6508897693.0,8573110548.0,32065694821.0,3674705785.0,3413782197.0,33342852580.0,34092545940.0
 Nigeria ,1972,58173834,697,7937268211.0,4023197779.0,2221173872.0,4512546015.0,628856493.0,33672912017.0,33926230739.0,3910925892.0,1711422403.0,6106207129.0,8554878328.0,10841563989.0,40415591967.0,5191084824.0,3867598835.0,40547220253.0,41458899352.0
 Nigeria ,1973,59605446,782,8142570935.0,4398567907.0,3309875494.0,5012046330.0,676670375.0,36330653707.0,36603966413.0,4365837093.0,2214354864.0,7814193344.0,11301717580.0,11880647339.0,46843729531.0,6878032341.0,4242193428.0,46586282190.0,47633745851.0
 Nigeria ,1974,61157931,1233,11528381703.0,5253384200.0,8208008322.0,7522754908.0,894417446.0,44716374556.0,44122345002.0,6674722667.0,3669647968.0,10786154801.0,19726170491.0,17708337887.0,68528568669.0,8488727816.0,5823566571.0,75432854087.0,77128915025.0
 Nigeria ,1975,62851312,1550,14424258075.0,7172363173.0,8801203106.0,10342399726.0,1495975492.0,74471861066.0,71566457168.0,8908505124.0,6442253053.0,18576373776.0,27806888099.0,26613960361.0,95619502969.0,11131592360.0,8470440899.0,97434030994.0,98080029481.0
 Nigeria ,1976,64658315,1844,16273516166.0,10038087187.0,9774354227.0,12281680993.0,1830114150.0,116000000000.0,114000000000.0,10525263597.0,8676536591.0,24332672045.0,35591027285.0,30806145887.0,117000000000.0,13943207602.0,10827717704.0,119000000000.0,120000000000.0
 Nigeria ,1977,66589655,2076,18694448095.0,11727168291.0,12000499537.0,14317337051.0,2503969687.0,138000000000.0,138000000000.0,11895330959.0,10975119071.0,26060403760.0,39459918111.0,33966039561.0,134000000000.0,16652290200.0,13024574368.0,138000000000.0,139000000000.0
 Nigeria ,1978,68633344,2247,21292915098.0,12562123500.0,11146414322.0,18002411515.0,3400705658.0,145000000000.0,145000000000.0,14704780495.0,13495370654.0,29817294978.0,44914197981.0,36296878833.0,149000000000.0,19892729705.0,14266424807.0,154000000000.0,155000000000.0
 Nigeria ,1979,70750307,2635,25163593459.0,13678288409.0,16134185542.0,20158597543.0,3732730473.0,149000000000.0,148000000000.0,16542995677.0,12810835630.0,35835610152.0,56637508154.0,38971784908.0,177000000000.0,24863283059.0,17891688272.0,186000000000.0,188000000000.0
