Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Norway ,1970,3875546,3278,653659738.0,719599712.0,4674178126.0,8677336522.0,2012639193.0,4216658310.0,3587078562.0,6664697328.0,4753978094.0,2265899092.0,2723138908.0,3391218641.0,11183755517.0,1841839262.0,1854299257.0,12705328667.0,12814194863.0
 Norway ,1971,3902910,3712,740089280.0,837879706.0,5070929613.0,9974339975.0,2400542364.0,4979658549.0,4459101689.0,7573797611.0,5441399429.0,2503434899.0,2971836866.0,3981345855.0,12584493991.0,1995491586.0,2057850698.0,14487641228.0,14583103533.0
 Norway ,1972,3933047,4377,796266180.0,979774722.0,6067014006.0,11819680459.0,2909726014.0,5407658252.0,5010739445.0,8909954445.0,5935719639.0,3004895456.0,3570599621.0,4869579028.0,15021289786.0,2313664769.0,2491405466.0,17216304064.0,17358481291.0
 Norway ,1973,3960709,5643,1001763261.0,1212660789.0,8429484031.0,15139181965.0,3815753722.0,7481485765.0,6776123718.0,11323428243.0,8516028329.0,3989189190.0,4719525944.0,6406185866.0,19553981793.0,3087845065.0,3126000868.0,22348895393.0,22534123432.0
 Norway ,1974,3985380,6739,1192662069.0,1426067859.0,10819522690.0,17965927812.0,4653313578.0,9907741835.0,8632764964.0,13312614235.0,11547539358.0,4970117260.0,6020353058.0,7720623079.0,23855046525.0,3544951976.0,3950388484.0,26858747622.0,27145652980.0
 Norway ,1975,4007466,8115,1353181354.0,1799522666.0,11869464779.0,22467440333.0,5962377618.0,12311405812.0,11430202176.0,16505062715.0,13770767803.0,5854666449.0,7682121318.0,9665690423.0,28945224507.0,3660075284.0,4784633462.0,32519215991.0,32877543120.0
 Norway ,1976,4026314,8784,1582877966.0,1916057558.0,12928577758.0,24969043136.0,6781432600.0,13977048852.0,13333598055.0,18187610536.0,15932508838.0,5965160925.0,8315011715.0,10874886605.0,31643814283.0,3829549377.0,5125431060.0,35367786781.0,35942160909.0
 Norway ,1977,4043361,10030,1840706303.0,2234244389.0,14231238849.0,29468394859.0,7937071477.0,15817225513.0,15452427917.0,21531323382.0,18008828781.0,6648633419.0,9500892272.0,12791396640.0,36475814790.0,4195172350.0,5913402838.0,40553304225.0,41508030439.0
 Norway ,1978,4058807,11118,1967475798.0,2688540227.0,16740521726.0,32426915930.0,9178310842.0,13928370454.0,14788497308.0,23248605088.0,16572273359.0,6893986362.0,11083981117.0,14574848589.0,41210167398.0,4737851114.0,6157470553.0,45127187762.0,46523534751.0
 Norway ,1979,4072653,12597,2008464871.0,2630889536.0,20856163035.0,36697976600.0,10274943723.0,15196877348.0,16202393337.0,26423032877.0,19618422615.0,8336975555.0,14424573139.0,16385447799.0,47148075996.0,5460038705.0,6238661946.0,51305011792.0,53132594368.0
 Norway ,1980,4085776,15303,2336601390.0,2865834215.0,27550476042.0,42328300501.0,12044197220.0,18228568251.0,17980553633.0,30284103281.0,23668288046.0,8668566427.0,19151992472.0,19092671425.0,57613896929.0,6396954989.0,7769842436.0,62526003586.0,64439056748.0
 Norway ,1981,4099855,15051,2301765105.0,2597783492.0,27207731213.0,41355458736.0,11820698930.0,17660049281.0,17920350323.0,29534759806.0,22626676795.0,7871928636.0,19058601132.0,18836282437.0,56517384629.0,6114809487.0,7608142975.0,61708073147.0,63596562434.0
 Norway ,1982,4114931,14748,2141761483.0,2709778382.0,25657444186.0,41460585377.0,11901859821.0,18018035237.0,17754169230.0,29558725556.0,22489192808.0,7452394111.0,18731697494.0,19119362056.0,55800455538.0,5650730035.0,7447126088.0,60686392498.0,62646871992.0
 Norway ,1983,4128572,14499,1823921495.0,2569498061.0,25431835940.0,40572796512.0,11680882267.0,16256721384.0,17812290138.0,28891914244.0,20633831453.0,7136702743.0,19013984132.0,18708078453.0,54740807076.0,5532068473.0,7093256462.0,59859107966.0,61627522383.0
 Norway ,1984,4140235,14600,1905786854.0,2462427569.0,26225950226.0,39549426934.0,11285850671.0,17082363754.0,17081751118.0,28263576263.0,20799469051.0,7286810467.0,20222611361.0,18401858330.0,55263775372.0,5489582642.0,6781508616.0,60446672628.0,62058271863.0
 Norway ,1985,4152637,15483,1870601783.0,2637360081.0,27462206835.0,42704203291.0,11706905710.0,17989508253.0,17000469144.0,30997297581.0,22739292099.0,7439253714.0,20714105701.0,19300511405.0,57568287474.0,5681595242.0,7364113261.0,64293241626.0,65416626281.0
 Norway ,1986,4167459,18590,2462019746.0,3657058112.0,26430673147.0,55472931779.0,14966986676.0,25883392366.0,22676113319.0,40505945103.0,29094187424.0,9168001136.0,19230286386.0,25211157929.0,67778567879.0,7518721073.0,9699324633.0,77474646962.0,78692809868.0
 Norway ,1987,4187036,22191,3012118828.0,4667789742.0,29929721185.0,66639010308.0,18824926345.0,29673541177.0,27448366964.0,47814083964.0,32011517711.0,11055369613.0,22256194851.0,31554371461.0,81736858901.0,8646001083.0,11600382934.0,92915420523.0,94230754959.0
 Norway ,1988,4209653,23625,3144553078.0,5525562696.0,33078801797.0,71537239878.0,20310163956.0,30956654280.0,30247276987.0,51227075922.0,33673862395.0,12203038727.0,22464841862.0,35401041893.0,89229167892.0,10201652605.0,12491515758.0,99454911398.0,102000000000.0
 Norway ,1989,4227074,23637,2981678615.0,4710985589.0,38304004635.0,70951118836.0,20548048374.0,28112969802.0,27565790427.0,50403070461.0,34734303715.0,11447172134.0,25259613296.0,35556810776.0,90920269390.0,10808458252.0,11602722862.0,99913244985.0,103000000000.0
 Norway ,1990,4241636,27446,3574588408.0,4638530078.0,47220958266.0,82853898390.0,24298606572.0,29449298360.0,27363269783.0,58555291818.0,39734706837.0,12352905937.0,30735773175.0,41423115171.0,106000000000.0,12986638160.0,13102617387.0,116000000000.0,120000000000.0
 Norway ,1991,4261886,27691,3547308957.0,3898846859.0,47777378868.0,85428954522.0,25600257908.0,27021526105.0,26515891511.0,59828696614.0,38356656719.0,12133687751.0,30720926493.0,42895644995.0,108000000000.0,13914514898.0,13148504711.0,118000000000.0,122000000000.0
 Norway ,1992,4286557,29882,3438087881.0,4190682518.0,48588777779.0,94050836210.0,28721534486.0,28144657904.0,27325766711.0,65329301723.0,39946249370.0,13067179839.0,32471795469.0,47401715423.0,116000000000.0,14255690421.0,13843589744.0,128000000000.0,131000000000.0
 Norway ,1993,4312136,27330,3146404509.0,3346710983.0,44804794575.0,86464312333.0,26495429613.0,26557170806.0,25693921793.0,59968882721.0,37247700710.0,12295378044.0,29927986228.0,43478204689.0,106000000000.0,13430683000.0,12611132092.0,118000000000.0,121000000000.0
 Norway ,1994,4336739,28826,3310056168.0,4104378965.0,47467517509.0,90425701618.0,27492268660.0,29146659132.0,27502187068.0,62933432958.0,39908131926.0,13173346262.0,31365973791.0,45335626532.0,111000000000.0,13569232437.0,13179864073.0,125000000000.0,127000000000.0
