Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Pakistan ,1970,59290872,222,4838199949.0,355249918.0,763616809.0,11569223771.0,995579809.0,1949017014.0,1793545661.0,10573643962.0,1031855905.0,1327916700.0,1709392984.0,2094413158.0,12184755104.0,888808842.0,2298690253.0,13144906411.0,13139261768.0
 Pakistan ,1971,60878781,229,4920634831.0,385861465.0,823454806.0,12337135103.0,1082687907.0,2039735086.0,1848650942.0,11254447197.0,1111406109.0,1472856626.0,1892530702.0,2301661150.0,12880585648.0,911157417.0,2468740083.0,13958308411.0,13975754332.0
 Pakistan ,1972,62509565,132,2981334010.0,188551200.0,451795460.0,7268011469.0,730003579.0,1086367815.0,980626631.0,6538007890.0,541368884.0,840004008.0,1089891437.0,1403542585.0,7661193955.0,539544461.0,1458330261.0,8269851639.0,8251877546.0
 Pakistan ,1973,64285624,139,3163406948.0,213484181.0,996472187.0,7729725742.0,756075208.0,1064834739.0,956081845.0,6973650534.0,954832342.0,905304398.0,1197677087.0,1528303345.0,8226847431.0,614147343.0,1509828526.0,8912493427.0,8848524430.0
 Pakistan ,1974,66149169,178,4093983938.0,292044680.0,1207837295.0,10717870735.0,843810180.0,1443821777.0,1339670761.0,9874060555.0,1526729572.0,1247826522.0,1661072184.0,2009293636.0,11043782874.0,812761778.0,2174626658.0,11746526370.0,11660558124.0
 Pakistan ,1975,68126999,218,4888319449.0,468546955.0,1312260686.0,13807543883.0,1180879687.0,2264813598.0,2046992688.0,12626664195.0,2311485846.0,1457708687.0,2002108383.0,2750427817.0,14031432571.0,1077000147.0,2845029819.0,14872657573.0,14715396177.0
 Pakistan ,1976,70230923,251,5588774969.0,632013197.0,1401838586.0,15734330725.0,1417352080.0,2830706204.0,2873968647.0,14316978645.0,2395645784.0,1633925312.0,2313562921.0,3203997161.0,16172556379.0,1212823608.0,3221384523.0,17656530965.0,17254057789.0
 Pakistan ,1977,72451105,284,6409496005.0,704602337.0,1412947457.0,18068380524.0,1651650468.0,3408906228.0,3334788126.0,16416730056.0,2685585810.0,1870317942.0,2738559175.0,3682989273.0,18476635157.0,1346322817.0,3594665550.0,20552416004.0,19819587047.0
 Pakistan ,1978,74789330,334,7371474356.0,813486047.0,1679358392.0,21754610675.0,1889012226.0,3724547996.0,3655253931.0,19865598449.0,3274002371.0,2197983629.0,3133079594.0,4331526743.0,21550620538.0,1638888004.0,4262165794.0,24954103006.0,23338322130.0
 Pakistan ,1979,77407341,358,7893353807.0,906613975.0,2174208120.0,24509620972.0,2009867110.0,4146605421.0,3989098774.0,22499753862.0,4271167081.0,2508312022.0,3607780510.0,4814741934.0,23974352058.0,1914747632.0,4837114200.0,27731223923.0,25797571983.0
 Pakistan ,1980,80624057,415,9062043069.0,1116597288.0,2977682494.0,29283203320.0,2325690665.0,5143754936.0,4969933660.0,26957512655.0,5481242375.0,3054666117.0,4700089509.0,5496166738.0,28372770498.0,2249585148.0,5748288746.0,33426473326.0,30994277554.0
 Pakistan ,1981,84270202,473,11137169880.0,1086586274.0,3606040659.0,33881300230.0,2794188623.0,6490236223.0,6021450252.0,31087111607.0,6239585685.0,3434985809.0,4535189455.0,6815707961.0,33424891881.0,3475773203.0,6374465107.0,39838014704.0,36820056616.0
 Pakistan ,1982,87828198,440,11233191158.0,1032267161.0,2787628989.0,33325819932.0,2768071908.0,6487136625.0,5757498496.0,30557748024.0,5748678225.0,3387833083.0,4418652052.0,6782732867.0,33097818798.0,3329043856.0,6301931703.0,38668706077.0,35851006582.0
