Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Palau ,1970,11366,736,1856378.0,2476316.0,1150439.0,12398237.0,3501591.0,1211333.0,1211333.0,8896646.0,5222574.0,45456.0,268543.0,4242947.0,10864977.0,446219.0,1574574.0,8366465.0,9329342.0
 Palau ,1971,11740,783,2039555.0,2721474.0,1264255.0,13624676.0,3847994.0,1331143.0,1331143.0,9776682.0,5739187.0,49933.0,295007.0,4663349.0,11939712.0,490189.0,1730138.0,9194174.0,10252214.0
 Palau ,1972,12172,830,2240778.0,2988776.0,1388557.0,14964647.0,4226472.0,1462004.0,1462004.0,10738175.0,6303569.0,54868.0,324152.0,5120212.0,13112981.0,538623.0,1900440.0,10098467.0,11260422.0
 Palau ,1973,12541,885,2464928.0,3281796.0,1525232.0,16439589.0,4642939.0,1606230.0,1606230.0,11796651.0,6924866.0,60397.0,356806.0,5618414.0,14403785.0,592912.0,2088928.0,11093715.0,12370140.0
 Palau ,1974,12662,963,2705318.0,3608202.0,1676272.0,18065677.0,5102231.0,1765171.0,1765171.0,12963446.0,7609952.0,66255.0,391383.0,6182899.0,15832772.0,650342.0,2294628.0,12191052.0,13593988.0
 Palau ,1975,12607,1063,2969338.0,3968393.0,1842995.0,19858507.0,5608495.0,1940148.0,1940148.0,14250013.0,8365224.0,72660.0,429271.0,6805034.0,17406037.0,713252.0,2520748.0,13400106.0,14943283.0
 Palau ,1976,12539,1175,3264972.0,4363104.0,2026241.0,21835214.0,6167075.0,2133191.0,2133191.0,15668139.0,9197701.0,79867.0,471988.0,7479096.0,19134591.0,784224.0,2771208.0,14735557.0,16430508.0
 Palau ,1977,12463,1295,3586887.0,4774639.0,2219268.0,23920480.0,6756132.0,2336522.0,2336522.0,17164348.0,10075562.0,87899.0,519199.0,8170330.0,20952764.0,862763.0,3038944.0,16142514.0,17998720.0
 Palau ,1978,12387,1433,3970287.0,5238463.0,2438926.0,26303639.0,7427970.0,2571029.0,2571029.0,18875669.0,11079958.0,97603.0,576524.0,8937921.0,23033224.0,958284.0,3351745.0,17749537.0,19791411.0
 Palau ,1979,12300,1588,4308046.0,5796804.0,2687760.0,28951660.0,8177088.0,2829332.0,2829332.0,20774571.0,12196562.0,105252.0,621498.0,9978719.0,25407460.0,1032466.0,3669927.0,19537327.0,21787685.0
 Palau ,1980,12252,1755,4729936.0,6386096.0,2960919.0,31872207.0,9000802.0,3112287.0,3112287.0,22871405.0,13426396.0,115248.0,681311.0,10990431.0,27952337.0,1131674.0,4032890.0,21500419.0,23985315.0
 Palau ,1981,12386,1913,5247861.0,7009775.0,3254835.0,35092607.0,9913972.0,3427741.0,3427741.0,25178635.0,14780591.0,128153.0,758458.0,11993493.0,30719871.0,1260170.0,4450116.0,23695290.0,26404610.0
 Palau ,1982,12666,2059,5875912.0,7671461.0,3581148.0,38641266.0,10914699.0,3771287.0,3771287.0,27726567.0,16271911.0,145265.0,855970.0,13012520.0,33773053.0,1423149.0,4934041.0,26074355.0,29067928.0
 Palau ,1983,12973,2212,6630725.0,8374976.0,3932217.0,42534521.0,12001237.0,4171435.0,4171435.0,30533284.0,17921661.0,165480.0,977525.0,14077983.0,37189233.0,1626926.0,5501098.0,28692094.0,31999885.0
 Palau ,1984,13299,2436,6629000.0,9868545.0,4483883.0,48003605.0,13569191.0,4686837.0,4686837.0,34434414.0,20232356.0,156449.0,922050.0,17715538.0,42587304.0,1526905.0,5925266.0,32401724.0,36157232.0
 Palau ,1985,13644,2700,8010804.0,11001676.0,5100315.0,54713975.0,15441393.0,5321660.0,5321660.0,39272583.0,23044239.0,192509.0,1144858.0,18910616.0,47829157.0,1900276.0,6860927.0,36842391.0,41172756.0
 Palau ,1986,13985,3025,9680642.0,12264917.0,5737206.0,62360027.0,17650282.0,6099890.0,6099890.0,44709745.0,26243800.0,238915.0,1421519.0,20359050.0,54085433.0,2364945.0,7994360.0,42306095.0,46884005.0
 Palau ,1987,14309,3340,11698556.0,13673207.0,6559041.0,71053148.0,20053304.0,6906359.0,6906359.0,50999845.0,29890017.0,305244.0,1765052.0,22148111.0,61612225.0,2943239.0,9384060.0,47788551.0,53387485.0
 Palau ,1988,14632,3717,14137100.0,15243199.0,7374017.0,80765632.0,22663233.0,8112502.0,8112502.0,58102399.0,34127889.0,367216.0,2191625.0,24398477.0,70743330.0,3662941.0,11109988.0,54392449.0,60793091.0
 Palau ,1989,14957,4136,17083955.0,16993463.0,8975356.0,91362133.0,26063401.0,8719252.0,8719252.0,65298732.0,38567595.0,441060.0,2721315.0,27277567.0,81917113.0,4558631.0,13282182.0,61863628.0,69225960.0
 Palau ,1990,15293,4579,20645077.0,18944696.0,9711866.0,105248175.0,29467695.0,10042216.0,10042216.0,75780479.0,44171443.0,566769.0,3280147.0,31018374.0,95614580.0,5673341.0,16052945.0,70021644.0,78828589.0
 Palau ,1991,15640,5219,24533818.0,16866406.0,9971697.0,116014599.0,33308602.0,11667877.0,11667877.0,82705997.0,48631755.0,785555.0,4119894.0,33635572.0,103546188.0,6000928.0,18389570.0,81621777.0,86830055.0
 Palau ,1992,16004,5010,27353679.0,15447134.0,11694697.0,124599602.0,34663653.0,11727815.0,11727815.0,89935949.0,52308663.0,760315.0,5211959.0,34880955.0,110247627.0,6928368.0,20425532.0,80176020.0,93339143.0
 Palau ,1993,16380,4683,14474722.0,7516930.0,9752768.0,113147231.0,30820616.0,13220692.0,13220692.0,82326614.0,48887831.0,719216.0,5505458.0,36842059.0,94564261.0,7894338.0,22330754.0,76706590.0,85930969.0
 Palau ,1994,16770,4818,10995866.0,6540710.0,15593078.0,116055391.0,35929892.0,8049571.0,8049571.0,80125499.0,48740995.0,880027.0,4803582.0,46400967.0,100852411.0,8327739.0,23783547.0,80798539.0,90957049.0
 Palau ,1995,17209,5526,9869212.0,9764936.0,10039893.0,155880340.0,39788310.0,14857582.0,14857582.0,116092030.0,63635473.0,1108898.0,3728987.0,53089111.0,121479132.0,10812506.0,34214380.0,95093210.0,110390638.0
