Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Panama ,1970,1516188,654,136504198.0,50059280.0,840259158.0,955454590.0,148465938.0,309134780.0,241414169.0,806988652.0,949767952.0,223367520.0,244860305.0,465677552.0,1175038204.0,80910929.0,197025940.0,992250572.0,1165333385.0
 Panama ,1971,1559072,718,150514337.0,64152215.0,923980633.0,1042681590.0,175663572.0,380465211.0,282341198.0,867018018.0,1056347027.0,238457549.0,260799974.0,533303460.0,1331286459.0,97833476.0,224682997.0,1119865745.0,1314855647.0
 Panama ,1972,1602646,768,157140754.0,70244474.0,997264105.0,1132379298.0,220797997.0,437660038.0,343086497.0,911581301.0,1176192272.0,247406287.0,269171717.0,637825540.0,1497537430.0,112772912.0,250382033.0,1231140561.0,1444770309.0
 Panama ,1973,1646580,854,169920274.0,91897681.0,1144265966.0,1245298162.0,243803881.0,528127902.0,400789922.0,1001494281.0,1315149799.0,282499377.0,312838822.0,733084532.0,1724741542.0,127580141.0,289420092.0,1405571355.0,1652542039.0
 Panama ,1974,1690676,944,168027012.0,94833709.0,1658772480.0,1531673153.0,291765300.0,604677633.0,428627676.0,1239907853.0,2062102720.0,354440212.0,384504646.0,811028233.0,2001106297.0,167506776.0,375205920.0,1596643248.0,1888635855.0
 Panama ,1975,1734876,1055,198413868.0,111202066.0,1919939989.0,1708304521.0,344405882.0,616964736.0,493613163.0,1363898638.0,2247154574.0,414098465.0,454221295.0,929031888.0,2253459617.0,170944168.0,389646331.0,1829819126.0,2115327197.0
 Panama ,1976,1779037,1073,221606329.0,120523956.0,1859704019.0,1784579947.0,376380161.0,672854738.0,560995278.0,1408199785.0,2192740785.0,381286426.0,425507401.0,1031398075.0,2406436800.0,199765382.0,407635656.0,1908513478.0,2246617833.0
 Panama ,1977,1823146,1108,256631678.0,89989263.0,2052589597.0,2010460193.0,401725627.0,533782145.0,411021679.0,1608734566.0,2241533315.0,410589156.0,470414610.0,1123493570.0,2611824234.0,227925558.0,443369553.0,2019287057.0,2382036383.0
 Panama ,1978,1867313,1291,283042684.0,126763016.0,2205680292.0,2324444839.0,470743278.0,708628689.0,558875184.0,1853701561.0,2473803744.0,443225730.0,519311707.0,1268719868.0,3003069868.0,287947717.0,517284876.0,2411555847.0,2824181964.0
 Panama ,1979,1911814,1424,305856492.0,142690968.0,2530998021.0,2746483215.0,552921077.0,854334143.0,609480903.0,2193562138.0,3083373091.0,514640170.0,601708495.0,1526230904.0,3529035281.0,348498707.0,604049715.0,2723025087.0,3232501573.0
 Panama ,1980,1956987,1784,335296718.0,189667419.0,3536308087.0,3252495637.0,663368816.0,1073109794.0,798630149.0,2589126822.0,3769391563.0,624657008.0,731554343.0,1787826723.0,4340546470.0,539670608.0,756530660.0,3491222312.0,4119430014.0
 Panama ,1981,2003092,2151,371731013.0,226342446.0,3875512941.0,3610569142.0,726579773.0,1225509420.0,1006793940.0,2883989369.0,4108936733.0,629868870.0,765049718.0,2523068107.0,5376980889.0,592256428.0,898533178.0,4309286395.0,4639007186.0
 Panama ,1982,2050247,2161,382863714.0,277040277.0,3783580833.0,3655598329.0,901770076.0,1284926237.0,1108504119.0,2753828253.0,3914033506.0,663745974.0,805614518.0,2428394092.0,5368512664.0,662699721.0,811900342.0,4430161003.0,4911753244.0
