Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Papua New Guinea ,1970,2489059,387,250332611.0,109218847.0,173817909.0,1009251610.0,329114053.0,596715019.0,523068584.0,680137556.0,622558576.0,26037349.0,34089435.0,343595898.0,1265461800.0,184110321.0,344114688.0,963593750.0,1097370106.0
 Papua New Guinea ,1971,2549315,409,266743934.0,95843724.0,261310496.0,1083520413.0,377564462.0,483657827.0,425281146.0,705955951.0,644624001.0,30422264.0,54583979.0,391792480.0,1357269076.0,195617167.0,352687794.0,1042273669.0,1225105100.0
 Papua New Guinea ,1972,2610700,477,299668005.0,78540974.0,456597283.0,1229693006.0,445069648.0,376536572.0,322558099.0,784623358.0,638985869.0,35622226.0,203100178.0,517665718.0,1679728554.0,204981944.0,375771736.0,1244925241.0,1465909721.0
 Papua New Guinea ,1973,2672144,695,394800338.0,83983305.0,993109929.0,1577772354.0,604253617.0,316726593.0,268032294.0,973518736.0,697461487.0,54301350.0,569516157.0,736152748.0,2602619362.0,294113449.0,524053367.0,1858199544.0,2217532555.0
 Papua New Guinea ,1974,2733313,762,442720877.0,95565511.0,1172095185.0,1822193107.0,733444937.0,402799066.0,329906298.0,1088748169.0,901484906.0,72213005.0,594437281.0,762336041.0,3013134644.0,392305761.0,725769173.0,2081686086.0,2511134759.0
 Papua New Guinea ,1975,2794462,704,434230978.0,81525242.0,923867703.0,1919600538.0,777472703.0,428420484.0,332193557.0,1142127834.0,965683830.0,80322572.0,387694491.0,818917293.0,2821834892.0,361179702.0,738287188.0,1965948406.0,2321311750.0
 Papua New Guinea ,1976,2855837,756,516876015.0,73283874.0,1013519424.0,1982799396.0,767756866.0,451958148.0,357390237.0,1215042530.0,972285586.0,93084079.0,368391770.0,936432633.0,2974114981.0,325898563.0,753232125.0,2159944723.0,2497393903.0
 Papua New Guinea ,1977,2917572,822,583603636.0,88251243.0,1220033262.0,2055361017.0,737274660.0,539485029.0,427464443.0,1318086359.0,1100565692.0,92233067.0,420936003.0,983460757.0,3104289351.0,309672369.0,718365343.0,2397417805.0,2749854725.0
 Papua New Guinea ,1978,2979606,984,756768836.0,104535875.0,1350556371.0,2535268685.0,861077441.0,636177801.0,535429029.0,1674191244.0,1283216997.0,138110370.0,456548882.0,1009852075.0,3569400957.0,381986771.0,859708518.0,2933302490.0,3341200078.0
 Papua New Guinea ,1979,3041902,1098,837541678.0,108491311.0,1724740846.0,2784589820.0,901589225.0,819698081.0,647902744.0,1883000595.0,1516011975.0,156244373.0,678942892.0,1136601902.0,4115510234.0,402138771.0,951793680.0,3338944870.0,3844054652.0
 Papua New Guinea ,1980,3104788,1181,909220385.0,135326214.0,1817577302.0,3417162166.0,1058923317.0,976863126.0,830590722.0,2358238850.0,1967987008.0,176747322.0,668098768.0,1714927214.0,4764796058.0,399011209.0,938212266.0,3667448760.0,4266721029.0
 Papua New Guinea ,1981,3169073,1134,899598584.0,148159461.0,1579460529.0,3636118120.0,1166656748.0,1036127861.0,946785029.0,2469461371.0,2127520020.0,180885056.0,490021128.0,1666284771.0,4671880876.0,497138331.0,970678600.0,3593030152.0,4186910775.0
 Papua New Guinea ,1982,3235264,1047,828286670.0,157044315.0,1442519120.0,3373622364.0,1095245585.0,1159427727.0,1104032533.0,2278376779.0,2077439699.0,162864195.0,457103145.0,1883959677.0,4562621752.0,338394313.0,897833630.0,3387309602.0,3969694264.0
 Papua New Guinea ,1983,3303677,1001,835467113.0,143263562.0,1514826435.0,3214869096.0,973899797.0,1139930003.0,1069221657.0,2240969299.0,1958525899.0,156245410.0,546100824.0,1794181743.0,4471024915.0,280001396.0,872010276.0,3308441753.0,3956102423.0
 Papua New Guinea ,1984,3374465,995,906326953.0,119723452.0,1644465016.0,3141999078.0,966218034.0,1041082096.0,855302215.0,2175781045.0,1939950554.0,170194006.0,432435360.0,1792007347.0,4391774053.0,306010834.0,835270104.0,3357797962.0,3915900828.0
 Papua New Guinea ,1985,3447579,916,782053607.0,91073230.0,1666901306.0,3097085579.0,934185378.0,726080427.0,626982288.0,2162900199.0,1817219858.0,160040595.0,515557605.0,1720234206.0,4223265833.0,320248762.0,794098423.0,3158568856.0,3703105549.0
 Papua New Guinea ,1986,3522916,998,833714677.0,103460275.0,1884795700.0,3323251534.0,993405103.0,789841799.0,779155208.0,2329846432.0,1944591548.0,161524742.0,649186193.0,1668753508.0,4507216575.0,358631731.0,893470192.0,3514387968.0,4082771792.0
 Papua New Guinea ,1987,3600343,1138,918327028.0,108669949.0,2216518918.0,3853598912.0,1150293308.0,974267666.0,852216853.0,2703305605.0,2233095845.0,181320984.0,943737105.0,1921091684.0,5358915153.0,414595065.0,1052494322.0,4096360673.0,4847281623.0
 Papua New Guinea ,1988,3679651,1304,1042360917.0,148887464.0,2582776572.0,4241810417.0,1248166390.0,1503318811.0,1193165315.0,2993644027.0,2714653757.0,207797228.0,1193932497.0,2163546224.0,6203355090.0,467686691.0,1186941296.0,4799386392.0,5636651761.0
 Papua New Guinea ,1989,3764112,1238,975274155.0,182029971.0,2354468993.0,4505545692.0,1416045026.0,1244658672.0,1292407573.0,3089500666.0,2674976477.0,240162460.0,835399046.0,2293264199.0,6072396889.0,508240908.0,1278188613.0,4659348968.0,5467860036.0
 Papua New Guinea ,1990,3864972,1094,912774185.0,157401088.0,2137300073.0,3877839555.0,1305879181.0,1189855154.0,1136052660.0,2571960373.0,2254577081.0,176801429.0,854984315.0,1775025458.0,5273280850.0,533636085.0,1039459717.0,4229303064.0,4966130360.0
 Papua New Guinea ,1991,3990995,1254,962487443.0,228109341.0,2615262696.0,4463829821.0,1386215384.0,1569040052.0,1489836623.0,3077614437.0,2825524610.0,221991114.0,1135336590.0,1957781070.0,6225226410.0,681623655.0,1259888310.0,5003421178.0,5840933811.0
