Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Paraguay ,1970,2408787,249,119800783.0,15669205.0,122493489.0,513111817.0,75904398.0,160513395.0,127767455.0,437207418.0,106398126.0,211496056.0,215989755.0,241844348.0,727252622.0,42002284.0,91946246.0,600049421.0,680195559.0
 Paraguay ,1971,2463777,274,138625623.0,18295835.0,122756539.0,581500940.0,79965081.0,177402652.0,138533122.0,501535859.0,117603493.0,232361365.0,238856891.0,252412071.0,795437960.0,45689942.0,101557597.0,673930069.0,760225508.0
 Paraguay ,1972,2521508,309,166531267.0,19118544.0,146211806.0,649396650.0,87389044.0,212243107.0,155791062.0,562007606.0,118132048.0,265563099.0,273480474.0,285286592.0,910095252.0,53720209.0,111958165.0,779346042.0,879730242.0
 Paraguay ,1973,2583160,392,235831612.0,25851169.0,205726807.0,788929202.0,91899664.0,347124401.0,239627081.0,697029538.0,157685582.0,339023202.0,349490432.0,310099638.0,1128220758.0,61722000.0,145225906.0,1012191976.0,1138822097.0
 Paraguay ,1974,2648082,515,295736990.0,40327824.0,285595280.0,1062930823.0,103789254.0,513092983.0,362733718.0,959141570.0,263123500.0,513391530.0,525466879.0,419700219.0,1568960481.0,87393226.0,200335343.0,1362462258.0,1525408062.0
 Paraguay ,1975,2714664,571,350486108.0,54064796.0,275708995.0,1211602627.0,134666191.0,667612947.0,464238580.0,1076936436.0,313177660.0,503593465.0,519231173.0,505280177.0,1756412344.0,108209274.0,219140816.0,1550525076.0,1728964670.0
 Paraguay ,1976,2782624,628,368822250.0,68216896.0,343970399.0,1319724450.0,150875177.0,766868239.0,572282675.0,1168849273.0,340169203.0,579101179.0,600751784.0,565024157.0,1985622147.0,123913856.0,258893203.0,1748109231.0,1943497592.0
 Paraguay ,1977,2852430,760,448430130.0,79704628.0,562082463.0,1615607395.0,183945558.0,946612984.0,738710263.0,1431661837.0,521137634.0,761067660.0,788112199.0,636223068.0,2430512774.0,146139472.0,331903278.0,2166686897.0,2393290421.0
 Paraguay ,1978,2924370,910,515780670.0,116764260.0,651190558.0,1938492545.0,241841222.0,1276033488.0,953953167.0,1696651323.0,628355020.0,920899653.0,955019524.0,786828720.0,2981588190.0,185009382.0,422185634.0,2661993404.0,2928306295.0
 Paraguay ,1979,2999415,1182,674014048.0,175146390.0,757725698.0,2586699427.0,277948678.0,1788893716.0,1363518124.0,2308750748.0,817516054.0,1177967711.0,1227128593.0,1122034653.0,4011787840.0,247158524.0,566305632.0,3544301213.0,3908566500.0
 Paraguay ,1980,3078912,1508,823490758.0,259017396.0,850516489.0,3398419197.0,390680433.0,2345060848.0,1792172476.0,3007738764.0,989913084.0,1562579838.0,1642236731.0,1498302697.0,5289926468.0,338638074.0,728240812.0,4643457468.0,5088315995.0
 Paraguay ,1981,3163299,1862,981305251.0,352783550.0,867044780.0,4343944832.0,546954856.0,2971738079.0,2280149528.0,3796989976.0,1122298498.0,2004778865.0,2101339322.0,1999603375.0,6795724669.0,413743853.0,946949318.0,5888848324.0,6434072027.0
 Paraguay ,1982,3251678,1881,950691822.0,373947544.0,980528816.0,4746118565.0,587977876.0,2748191826.0,2076482359.0,4158140689.0,1282873514.0,2047034078.0,2158078746.0,2275710716.0,7187390501.0,442903404.0,986058267.0,6117483528.0,6691466139.0
 Paraguay ,1983,3343276,2021,1055263186.0,415082982.0,767820231.0,5490102251.0,652678839.0,2549084808.0,1931351303.0,4837423411.0,1122219215.0,2272220349.0,2397739630.0,2526099107.0,7977694625.0,491626054.0,1091883666.0,6756077946.0,7427523783.0
 Paraguay ,1984,3437892,1598,960034912.0,316406147.0,1167957472.0,4369787094.0,488510873.0,2238542613.0,1701345843.0,3881276220.0,1304750696.0,1824619290.0,1923696978.0,1971133079.0,6423517447.0,393242106.0,859004225.0,5495325299.0,6092123045.0
 Paraguay ,1985,3535498,1317,826236799.0,257048605.0,1387191089.0,3685472921.0,416936369.0,1831653489.0,1388974198.0,3268536552.0,1328020693.0,1572154049.0,1651297538.0,1642366988.0,5460442368.0,339147116.0,744345322.0,4656931516.0,5199513395.0
 Paraguay ,1986,3636027,1520,924283597.0,308823431.0,1977751713.0,4297019323.0,508933314.0,2479914492.0,1883309478.0,3788086008.0,1918668447.0,1860898060.0,1965133582.0,1996008924.0,6532484990.0,423592835.0,914642622.0,5527448355.0,6184998189.0
 Paraguay ,1987,3739050,1220,779048577.0,252525504.0,1650127435.0,3742125574.0,455082801.0,2085605321.0,1590639656.0,3287042773.0,1757388271.0,1566411252.0,1655866266.0,1656868649.0,5463435169.0,356558306.0,762567867.0,4560692696.0,5186388499.0
 Paraguay ,1988,3844437,1619,1123295709.0,282493044.0,2868907363.0,4652715380.0,538930390.0,2695222009.0,2066012072.0,4113784990.0,2472648052.0,2155823152.0,2276240180.0,1850467726.0,7015907162.0,430865615.0,1052544889.0,6224739536.0,6903376499.0
 Paraguay ,1989,3951288,1165,810111057.0,233434995.0,2151069266.0,3137853462.0,411547854.0,1906896534.0,1464371929.0,2726305609.0,1551396708.0,1585895896.0,1669857838.0,1214682044.0,4981465411.0,296167702.0,757211774.0,4602985317.0,4991118986.0
 Paraguay ,1990,4059195,1371,918992531.0,273030453.0,2417224624.0,4319273292.0,463219987.0,2206400420.0,1714533806.0,3856053304.0,2307773139.0,1939547195.0,2035808243.0,1413044419.0,5973975607.0,364504869.0,968595092.0,5565447344.0,6022338301.0
 Paraguay ,1991,4167996,1572,1042794482.0,324292091.0,2603640858.0,5128589594.0,584522521.0,2843412058.0,2189906504.0,4544067073.0,2650559367.0,2261201607.0,2387904051.0,1686835136.0,7072083539.0,441362104.0,1188895676.0,6552156957.0,7148182526.0
 Paraguay ,1992,4277051,1562,992183414.0,354305936.0,2498785376.0,5556172494.0,594284837.0,2706236487.0,2087778175.0,4961887657.0,2760452893.0,2335390899.0,2476690249.0,1929469623.0,7449649602.0,460054392.0,1236945987.0,6681863988.0,7373926970.0
 Paraguay ,1993,4386202,1627,1058822702.0,386828023.0,3506157441.0,5956481792.0,651559929.0,2891358022.0,2240530852.0,5304921863.0,3652614640.0,2419603709.0,2579894997.0,2053312206.0,7886488948.0,483620517.0,1324010502.0,7135325250.0,7864110779.0
 Paraguay ,1994,4495301,1816,1171200522.0,448509946.0,3712884860.0,7346143739.0,753373880.0,3362390885.0,2614439041.0,6592769860.0,4603001967.0,2632915480.0,2836528518.0,2443603079.0,8965673307.0,550039438.0,1515791805.0,8165593380.0,8984537295.0
 Paraguay ,1995,4603917,2043,1369408101.0,495419234.0,4748248944.0,8550106415.0,866022639.0,3672655921.0,2905787609.0,7684083776.0,5657466372.0,3115815423.0,3362069202.0,2857263213.0,10376536641.0,632114268.0,1660262623.0,9407937920.0,10440241257.0
 Paraguay ,1996,4711655,2287,1473519775.0,549854725.0,4361224865.0,9335802779.0,1015093465.0,3894832882.0,2990764255.0,8320709314.0,5355924934.0,3333382818.0,3623917036.0,3372857516.0,11426874658.0,707719176.0,1699006430.0,10777058096.0,11330428644.0
 Paraguay ,1997,4818289,2186,1341567924.0,543354521.0,3870460312.0,9660954039.0,1093222604.0,4109819493.0,2997090122.0,8567731435.0,5137335220.0,3232749379.0,3548330619.0,3757708573.0,11674028626.0,840799570.0,1642267419.0,10533006674.0,11484007928.0
 Paraguay ,1998,4923449,1913,1141053174.0,445194655.0,3938945638.0,8456168824.0,1022208071.0,3149983011.0,2333185267.0,7433960753.0,4653508808.0,2928979104.0,3227176619.0,3371311477.0,10462788062.0,768529191.0,1509522945.0,9418175316.0,10246124812.0
 Paraguay ,1999,5026031,1724,1050774216.0,428232358.0,2655187798.0,8012803391.0,930505173.0,2659257070.0,2035615580.0,7082298218.0,3347533710.0,2823249472.0,3094865846.0,3156030678.0,9835948427.0,785250585.0,1320794744.0,8664114051.0,9450340406.0
 Paraguay ,2000,5123819,1567,986152669.0,396751862.0,2677801803.0,8029998171.0,968443701.0,2335944638.0,1887503124.0,7061554470.0,3408841034.0,2639711948.0,2906236461.0,3099892512.0,9432719016.0,761032990.0,1282652522.0,8029395983.0,9184330262.0
 Paraguay ,2001,5211541,1427,859914211.0,360487588.0,2220318677.0,7224933055.0,840706774.0,2111417951.0,1703658188.0,6384226281.0,2819945816.0,2418168051.0,2675905238.0,2783478719.0,8591420525.0,741525231.0,1170109537.0,7436681097.0,8343410830.0
 Paraguay ,2002,5286512,1420,724973584.0,282964400.0,3315967340.0,5330345629.0,621758875.0,1666404725.0,1337195575.0,4708586754.0,2263928795.0,1893707633.0,3903709871.0,2118367100.0,8585322243.0,612359397.0,942947890.0,7506921402.0,8187342141.0
 Paraguay ,2003,5353254,1369,918488303.0,337488774.0,3592039518.0,5507968692.0,625321850.0,1957321418.0,1605301852.0,4882646842.0,2582737870.0,1967998848.0,3701994466.0,1996346151.0,8635289690.0,609982672.0,1070989322.0,7329589834.0,8527708862.0
 Paraguay ,2004,5416324,1681,1235968627.0,396025492.0,4330960935.0,6954632291.0,737560262.0,2338384619.0,1973449932.0,6217072029.0,3256396969.0,2333369969.0,4168954399.0,2244122321.0,10217103556.0,731730853.0,1440301864.0,9106450470.0,10399135844.0
 Paraguay ,2005,5476878,1816,1294255505.0,420679556.0,5036209630.0,7621777262.0,873655563.0,2600966155.0,2207614002.0,6748121699.0,3955606855.0,2453979604.0,4552004384.0,2479578107.0,11168608522.0,887336825.0,1534754145.0,9943921650.0,11306223198.0
 Paraguay ,2006,5534675,2279,1535743199.0,531441722.0,6193828557.0,9600504396.0,1120466736.0,3193056799.0,2692059760.0,8480037660.0,5139962036.0,2994839146.0,5305558125.0,3106747028.0,13570091565.0,1085630200.0,2004971291.0,12616274235.0,13780604183.0
 Paraguay ,2007,5590145,3094,2203888234.0,791716423.0,7745187656.0,12664935647.0,1369837784.0,3807793694.0,3193372152.0,11295097864.0,6361547416.0,3710659857.0,6361786484.0,3949377582.0,17284587093.0,1493304718.0,2484513651.0,17298039782.0,17856369582.0
 Paraguay ,2008,5645148,4152,3302827149.0,1256344802.0,10446437598.0,18129978053.0,1828951921.0,5476539877.0,4658999896.0,16301026132.0,9437406165.0,5005643629.0,7794509238.0,5527384960.0,23020456118.0,1830141688.0,3309248281.0,23436136876.0,24615549363.0
 Paraguay ,2009,5702574,3717,2224454655.0,1235345172.0,8518912441.0,16934292666.0,2043139315.0,4229792827.0,4143996472.0,14891153351.0,7322036092.0,4425907667.0,7123370045.0,5472229399.0,20968457322.0,1694780819.0,3218277232.0,21195914836.0,22360961842.0
 Paraguay ,2010,5768613,4482,3547862575.0,1521922601.0,11487694438.0,19939398029.0,2470211236.0,6497620991.0,5804282592.0,17469186794.0,10663826861.0,5057331703.0,7911411565.0,6437064619.0,25343742137.0,1955344775.0,3970136003.0,25854843999.0,27260886597.0
 Paraguay ,2011,5843939,5535,4657087162.0,1873182029.0,13583125709.0,24761158252.0,3396088294.0,8324818555.0,7071182770.0,21365069958.0,12912863347.0,6209059276.0,9615606252.0,8183307765.0,31290434964.0,2377857670.0,4583394086.0,32344636222.0,33756239169.0
 Paraguay ,2012,5923322,5378,3341242479.0,1894767313.0,12641839183.0,25788968828.0,3901281961.0,7075011624.0,6500007341.0,21887686868.0,12233898499.0,6162498371.0,9588736203.0,9003640614.0,30842666020.0,2525464259.0,4488815153.0,31855215759.0,33271921136.0
 Paraguay ,2013,6005652,6149,4953107638.0,2174568555.0,14905195786.0,28462169202.0,4350530737.0,8476785678.0,7337177119.0,24111638466.0,13343028228.0,7052093262.0,10620480587.0,10391964721.0,35836567170.0,2749908344.0,4946537325.0,36927342231.0,38501122438.0
 Paraguay ,2014,6090721,6382,4752828153.0,2456199472.0,14319795269.0,30483759989.0,4663184811.0,9149156956.0,7985729953.0,25820575178.0,13574782616.0,7577932006.0,11114045732.0,10872179009.0,37347315259.0,2873710653.0,5278352241.0,38868684798.0,40377929597.0
 Paraguay ,2015,6177950,5645,3418513027.0,2193089320.0,12589204412.0,27350445605.0,4274100576.0,7922587670.0,7024946000.0,23076345029.0,11650789847.0,7030991082.0,10329645460.0,10262281283.0,33555329250.0,2646505456.0,4705294704.0,34876113370.0,36211447840.0
 Paraguay ,2016,6266615,5557,3860339602.0,2288635512.0,13412910349.0,26580516433.0,4100869247.0,7147988767.0,6885777037.0,22479647186.0,11051715525.0,6879144625.0,10161149025.0,10045772365.0,33499535796.0,2557444326.0,4586194967.0,34822807297.0,36089700024.0
