Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Peru ,1970,13562371,423,1085271318.0,155038760.0,1317829457.0,5167958656.0,1007751938.0,775193798.0,775193798.0,4160206718.0,1188630491.0,801033592.0,1653746770.0,1188630491.0,5478036176.0,516795866.0,852713178.0,5736434109.0,5839793282.0
 Peru ,1971,13911968,461,1162790698.0,180878553.0,1162790698.0,5788113695.0,1136950904.0,1007751938.0,904392765.0,4651162791.0,1240310078.0,930232558.0,1731266150.0,1317829457.0,5994832041.0,568475452.0,1007751938.0,6408268734.0,6511627907.0
 Peru ,1972,14292437,499,1214470284.0,232558140.0,1291989664.0,6614987080.0,1343669251.0,930232558.0,1033591731.0,5271317830.0,1343669251.0,1007751938.0,1886304910.0,1498708010.0,6666666667.0,645994832.0,1136950904.0,7131782946.0,7209302326.0
 Peru ,1973,14674785,579,1421188631.0,284237726.0,1498708010.0,7622739018.0,1602067184.0,1498708010.0,1550387597.0,6020671835.0,1705426357.0,1214470284.0,2480620155.0,1731266150.0,8139534884.0,801033592.0,1395348837.0,8501291990.0,8630490956.0
 Peru ,1974,15057175,714,1731266150.0,387596899.0,2015503876.0,9509043928.0,1782945736.0,2403100775.0,2273901809.0,7726098191.0,3023255814.0,1602067184.0,3152454780.0,2041343669.0,10335917313.0,1111111111.0,1886304910.0,10749354005.0,10878552972.0
 Peru ,1975,15441497,849,2179791516.0,445866446.0,1808236144.0,12310867995.0,2328413665.0,2799050470.0,2675198679.0,9982454330.0,3666013005.0,1808236144.0,3220146558.0,2501806172.0,12385179069.0,1436680772.0,2551346888.0,13103519455.0,13276911962.0
 Peru ,1976,15826813,781,1954952397.0,430448234.0,1937017054.0,11675908350.0,2188111857.0,2367465288.0,2385400631.0,9487796494.0,3228361756.0,1883211024.0,3569133275.0,2367465288.0,12160162614.0,1398956761.0,2475077346.0,12357451388.0,12662352220.0
 Peru ,1977,16224613,683,1792607571.0,379890346.0,2303085224.0,10779388574.0,2279342077.0,1875708585.0,2160626344.0,8500046497.0,3264682663.0,1626405545.0,3549600423.0,2125011624.0,11408581960.0,1412717225.0,2148754771.0,11076177907.0,11408581960.0
 Peru ,1978,16638480,562,1291982778.0,268630083.0,2571173647.0,8391492102.0,1554216906.0,1618176449.0,1778075308.0,6837275196.0,2475234332.0,1528633089.0,3997471466.0,1726907673.0,10239922907.0,1074520330.0,1880410578.0,9350885253.0,9798602058.0
 Peru ,1979,17059185,689,1472951209.0,289250237.0,4396603609.0,9278257616.0,1530801257.0,2318451903.0,2376301951.0,7747456359.0,3012652473.0,2015851655.0,6786255570.0,1953551604.0,14288961729.0,1294951063.0,2496452049.0,11756909651.0,12513410271.0
