Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Philippines ,1970,37435586,204,1992498057.0,340103166.0,1176561638.0,5527345680.0,677793812.0,1583209843.0,1344105397.0,4849551867.0,1142296940.0,2071644332.0,2337824405.0,1741799687.0,7559115518.0,262954316.0,883935886.0,7632640699.0,7559115518.0
 Philippines ,1971,38421746,222,2265700389.0,367949797.0,1234933017.0,6114395288.0,756509794.0,1726253568.0,1494701678.0,5357885493.0,1226856198.0,2388266406.0,2644928814.0,1840774394.0,8375075197.0,286999016.0,968722787.0,8511150371.0,8375075197.0
 Philippines ,1972,39412479,234,2377350182.0,445135139.0,1285917832.0,6705636910.0,897287005.0,1844410440.0,1572066618.0,5808349905.0,1266269531.0,2641199060.0,2927576213.0,1923054228.0,9067815975.0,334471783.0,1060228431.0,9220853790.0,9067815975.0
 Philippines ,1973,40406234,289,3104085500.0,541427992.0,2035176361.0,7968512390.0,1050189248.0,2438321301.0,1914677403.0,6918323142.0,1626823645.0,3340086384.0,3782685972.0,2271310906.0,11412449174.0,417881282.0,1295057523.0,11686737734.0,11412449174.0
 Philippines ,1974,41388324,388,4312458436.0,893368946.0,2810196583.0,11088331686.0,1495723856.0,4116871414.0,3041697841.0,9592607830.0,3057923526.0,4402546224.0,5087544908.0,2889129830.0,15607882556.0,566533287.0,1858847149.0,16069745889.0,15607882556.0
 Philippines ,1975,42394433,407,4546981327.0,1246712444.0,2551211707.0,11928223558.0,1746241993.0,5094367395.0,4076624985.0,10181981565.0,3275498636.0,4758812320.0,5308537216.0,3152937271.0,16875240685.0,641552909.0,1978519517.0,17256682186.0,16875240685.0
 Philippines ,1976,43474370,453,5022903025.0,1745806757.0,2693042449.0,13360233229.0,2014868024.0,6228132653.0,5001586691.0,11345365204.0,3501991500.0,5400769858.0,6014225113.0,3503192932.0,19381054332.0,786518612.0,2308407892.0,19694247468.0,19381054332.0
 Philippines ,1977,44646518,508,5655785940.0,2108795079.0,3372041032.0,15639381803.0,2207074066.0,6671303601.0,5495066724.0,13432307737.0,3845380759.0,6206109620.0,6972954790.0,3919627423.0,22283109807.0,898439309.0,2727507266.0,22669065871.0,22283109807.0
 Philippines ,1978,45890739,572,6417642347.0,2262987879.0,3824502917.0,18086335196.0,2493174045.0,7712232400.0,6364120218.0,15593161151.0,4593382097.0,7342285297.0,8247116748.0,4534412227.0,25762223399.0,1059412367.0,3240651831.0,26270338182.0,25762223399.0
 Philippines ,1979,47154232,680,7549124927.0,3019361679.0,4832584441.0,22002457670.0,2818209705.0,10109610718.0,8416519647.0,19184247965.0,5942818718.0,8575198340.0,9906334785.0,5368418076.0,31218296297.0,1314983677.0,4060073153.0,32044801655.0,31218296297.0
