Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Poland ,1970,32482943,839,3839945750.0,3113252000.0,6486465000.0,23381361000.0,5583618250.0,5778690500.0,6176572000.0,17797742750.0,7352811000.0,8668715500.0,11470944750.0,5472651500.0,28047043750.0,1501569000.0,2648680750.0,27267583500.0,28276836750.0
 Poland ,1971,32710744,923,4253009847.0,3446860532.0,7205466269.0,25946363534.0,6190819522.0,6365922690.0,6832604283.0,19755544012.0,8188868324.0,9597362160.0,12699780311.0,6059079454.0,31053672953.0,1662486473.0,2932456336.0,30190534682.0,31307975094.0
 Poland ,1972,32979398,1012,4702017393.0,3810665218.0,7950242937.0,28672599736.0,6837273915.0,7042640219.0,7537764676.0,21835325821.0,9022102992.0,10610988318.0,14040999732.0,6699598915.0,34334014412.0,1838217120.0,3242516033.0,33379481531.0,34614954085.0
 Poland ,1973,33270009,1188,5563606867.0,4511026569.0,9331997913.0,33893244786.0,8086588361.0,8346771047.0,8895667167.0,25806656426.0,10550042988.0,12561426571.0,16622034930.0,7930962689.0,40642250758.0,2176031344.0,3838588359.0,39512510161.0,40974984191.0
 Poland ,1974,33578683,1320,6237459640.0,5062792773.0,10344169581.0,37941446096.0,9078753617.0,9394073798.0,9954120485.0,28862692479.0,11627667775.0,14097066872.0,18653982235.0,8898775906.0,45601475616.0,2441639760.0,4306825303.0,44334940676.0,45975906942.0
 Poland ,1975,33899770,1393,6650760241.0,5389795783.0,11474188554.0,40379911747.0,9654861446.0,10132605723.0,10894680422.0,30725050301.0,13097996687.0,15006839759.0,19858062651.0,9472580120.0,48554803313.0,2599057530.0,4584546988.0,47205548494.0,48952764458.0
 Poland ,1976,34229706,1537,7426357831.0,6007510843.0,12766918373.0,45740475301.0,10867289157.0,10816221988.0,11857650602.0,34873186145.0,14691993976.0,16724811446.0,22131200904.0,10560258434.0,54133497590.0,2897649699.0,5110519880.0,52627807229.0,54575716867.0
 Poland ,1977,34561582,1689,8220199398.0,6661087349.0,13759520482.0,50012346687.0,11890724398.0,12352724699.0,13036212651.0,38121622289.0,15499043072.0,18553868976.0,24550825301.0,11719754217.0,60040121386.0,3215503313.0,5672751807.0,58369022590.0,60529431627.0
 Poland ,1978,34870698,1896,9288149091.0,7548507576.0,14951370303.0,56304555455.0,13470546061.0,14048720000.0,14655828485.0,42834009394.0,16564564848.0,21021683939.0,27818124242.0,13271631818.0,67991788182.0,3640992424.0,6424383030.0,66103232121.0,68549906970.0
 Poland ,1979,35188357,2103,10367533434.0,8460174096.0,16207053313.0,62588937651.0,15196521687.0,15917946988.0,16386689157.0,47392415964.0,17654907229.0,23550122892.0,31161891566.0,14851411446.0,76102734337.0,4075487048.0,7186236747.0,73997886446.0,76736765663.0
 Poland ,1980,35521429,1605,8087395251.0,6503028873.0,16633098907.0,48646793668.0,11586925217.0,13021108179.0,14942039276.0,37059868451.0,20146564568.0,18101899585.0,23954990275.0,11423274934.0,58631559442.0,3134148737.0,5528721372.0,56998099359.0,59107766302.0
 Poland ,1981,35851094,1507,7682372514.0,6159112849.0,12974587752.0,50655850838.0,11685145790.0,8637196618.0,10690561752.0,38970705049.0,15539418797.0,17136927814.0,22675521040.0,10837236303.0,55570991056.0,2974462050.0,5242286301.0,54018062851.0,56017430038.0
 Poland ,1982,36188644,1813,9150203539.0,7478926524.0,13220227019.0,52192085746.0,12457433082.0,15892347464.0,14009990628.0,39734652664.0,12952329073.0,20885368164.0,27632051715.0,13218352435.0,67508846536.0,3624969181.0,6404343141.0,65623580741.0,68052502098.0
 Poland ,1983,36536141,2078,10543947788.0,8695861278.0,13544334134.0,62735795631.0,15493277226.0,16472772474.0,16211385472.0,47242518405.0,13348050137.0,24193885527.0,32026479847.0,15234483342.0,78055816712.0,4177803058.0,7377241398.0,75909891426.0,78719539378.0
 Poland ,1984,36876560,2061,10496254945.0,8742649417.0,13926407365.0,62032854734.0,16212185182.0,17334353674.0,16732788944.0,45820669552.0,13574929972.0,24282866920.0,32120531261.0,15228813935.0,78127024727.0,4184661074.0,7354114094.0,76012422113.0,78825865066.0
 Poland ,1985,37179160,1902,10664249941.0,7984000362.0,13439595560.0,56921033517.0,15531611010.0,17070155361.0,15986645546.0,41389422507.0,13606256170.0,22222945642.0,29422669514.0,14071594518.0,72817961647.0,3857043099.0,6818404214.0,70715902339.0,73333305545.0
