Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Portugal ,1970,8683631,942,2055784886.0,306510995.0,1549455992.0,6306931503.0,975673720.0,2275525089.0,2015890091.0,5331257784.0,1954286679.0,1410839342.0,1584896322.0,1525846346.0,6983004336.0,547694460.0,962271341.0,8180187194.0,8107986478.0
 Portugal ,1971,8700519,1064,2239126015.0,426632296.0,1808651359.0,7350139209.0,1083311696.0,2403201336.0,2436170389.0,6266827512.0,2303250066.0,1592358318.0,1783770787.0,1718139044.0,7936761231.0,615123775.0,1153969308.0,9259165279.0,9204213323.0
 Portugal ,1972,8833266,1280,2569008820.0,537515755.0,2397433738.0,8497893730.0,1307771232.0,3228913227.0,3257575198.0,7190122498.0,2797074699.0,2001846322.0,2226380288.0,2152905645.0,9599334293.0,734692846.0,1378830939.0,11307331530.0,11235629546.0
 Portugal ,1973,8957960,1704,3531663917.0,719538475.0,3160512842.0,11443910714.0,1681808062.0,4718735202.0,4330833178.0,9762102652.0,3968939255.0,2743419987.0,3017021322.0,2795170709.0,12920642941.0,968424821.0,1888823705.0,15264860666.0,15092894648.0
 Portugal ,1974,9079603,1954,3919413258.0,919617313.0,3685469855.0,14838142973.0,2148787930.0,5191204626.0,4872308724.0,12689355043.0,5758322412.0,3386933584.0,3688273847.0,3227740448.0,14928612999.0,1170293050.0,2003275075.0,17745586332.0,17507496582.0
 Portugal ,1975,9202709,2109,4352041107.0,962543200.0,3093363255.0,17411408703.0,2521333154.0,3764554183.0,5369481920.0,14890075549.0,4945033844.0,3432462477.0,3765062254.0,3692263101.0,16416859529.0,1390122083.0,2254827784.0,19410092496.0,19354199736.0
 Portugal ,1976,9330201,2169,4234132613.0,871087744.0,2777650590.0,17644527437.0,2430458028.0,5038671320.0,5455234880.0,15214069409.0,4891682320.0,3607451968.0,4018279686.0,3826135180.0,16783719492.0,1395240005.0,2438844265.0,20238479746.0,20335257192.0
 Portugal ,1977,9458997,2250,4085534936.0,1362155545.0,3094331652.0,18005583932.0,2618402465.0,6456910006.0,6079833444.0,15387181467.0,5593575573.0,3415288302.0,3789853565.0,5654114570.0,20505486862.0,1376110198.0,4237718038.0,21282868415.0,21436760563.0
 Portugal ,1978,9578255,2417,4487130373.0,1502710737.0,3702702928.0,18785472613.0,2847743597.0,7428037422.0,7020511353.0,15937729016.0,5959678186.0,3836890535.0,4279952704.0,6616849746.0,23035890409.0,1489561723.0,4659685126.0,23150952497.0,23492061338.0
 Portugal ,1979,9686178,2701,4931936822.0,1453444701.0,5642479961.0,21142233043.0,3208279692.0,8144718392.0,7572520119.0,17933953352.0,7862532926.0,4631280842.0,5120327886.0,6827891456.0,25442714705.0,1689687645.0,5419426195.0,26164608583.0,26619630726.0
 Portugal ,1980,9785252,3293,5442155973.0,1929933431.0,7057784179.0,26345500042.0,4161569860.0,11191837996.0,10060651499.0,22183930182.0,10783092801.0,5809544194.0,6440753238.0,8616409096.0,31108576909.0,2082305152.0,6597020023.0,32218931811.0,32895353122.0
 Portugal ,1981,9856752,3127,4585514059.0,1996847887.0,6501358480.0,26460461052.0,4187406508.0,11463361985.0,10558832296.0,22273054544.0,11270840371.0,5530461703.0,5889122096.0,8966271710.0,30154277492.0,2291302902.0,6425218844.0,30822410856.0,31978106679.0
 Portugal ,1982,9904424,2922,4298934763.0,2044851952.0,6314072285.0,25182205483.0,3964550554.0,10799769668.0,10150747831.0,21217654929.0,10708389834.0,5094528119.0,5599482835.0,8764407314.0,29366231275.0,2301861787.0,6356692625.0,28937147994.0,30526883139.0
