Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Republic of Korea ,1970,32601143,281,2385078368.0,420536296.0,1030088524.0,7531012942.0,890983103.0,2370588220.0,2327761782.0,6640029839.0,1902073433.0,1563003969.0,1812556518.0,1709515466.0,8213981920.0,582503951.0,1303791320.0,9168721674.0,9005144003.0
 Republic of Korea ,1971,33288369,300,2687618375.0,399541981.0,1255374157.0,8475936021.0,1008216968.0,2473588316.0,2313425849.0,7467719053.0,2279146472.0,1650595208.0,1911003248.0,1920797356.0,9069343723.0,633448318.0,1516934444.0,9979331552.0,9903571249.0
 Republic of Korea ,1972,33976851,320,2879146844.0,400871312.0,1803030078.0,9039584451.0,1137201918.0,2333198296.0,2330398559.0,7902382533.0,2329125952.0,2034899135.0,2301383112.0,2041262172.0,10069887353.0,690771264.0,1756452649.0,10885883179.0,10862212682.0
 Republic of Korea ,1973,34659713,401,3414576996.0,542777404.0,3319929872.0,10769185708.0,1232672087.0,3609394417.0,3375161616.0,9536513622.0,3837350885.0,2981760972.0,3290556627.0,2320235321.0,12854686121.0,905800588.0,2380739185.0,13890030252.0,13876473370.0
 Republic of Korea ,1974,35319338,555,4724177787.0,762474581.0,4344671146.0,15336024081.0,1877259888.0,6371261334.0,5318532162.0,13458764193.0,6508229855.0,4076667759.0,4438373437.0,3183158311.0,17910488352.0,1159287714.0,3643016522.0,19614188851.0,19543973941.0
 Republic of Korea ,1975,35930694,601,5334090909.0,896074380.0,4934710744.0,17469008264.0,2415909091.0,6214256198.0,5932231405.0,15053099174.0,6824793388.0,4385950413.0,4917148760.0,3636983471.0,19769628099.0,1286983471.0,3698347107.0,21608057851.0,21784297521.0
 Republic of Korea ,1976,36456320,817,6891528926.0,1171900826.0,7634504132.0,22477892562.0,3230991736.0,8263842975.0,7890082645.0,19246900826.0,8477066116.0,6413842975.0,7093388430.0,5275826446.0,26874380165.0,1760950413.0,4680785124.0,29770041322.0,29902479339.0
 Republic of Korea ,1977,36911298,1039,8377479339.0,1815495868.0,10014876033.0,27583057851.0,4108884298.0,11574586777.0,11263016529.0,23474173554.0,10717561983.0,8101446281.0,9127892562.0,7006818182.0,34443801653.0,2489876033.0,5626239669.0,38336570248.0,38446487603.0
 Republic of Korea ,1978,37329984,1396,10351239669.0,3397314050.0,12990909091.0,36177685950.0,5151446281.0,17922314050.0,17428512397.0,31026239669.0,15187190083.0,10985123967.0,12304132231.0,9494834711.0,46346487603.0,3400206612.0,7398760331.0,52122933884.0,51972107438.0
 Republic of Korea ,1979,37737918,1771,12409504132.0,4801652893.0,15836157025.0,46745247934.0,6580785124.0,25087603306.0,23079338843.0,40164462810.0,20679752066.0,14491942149.0,16325826446.0,12461983471.0,59780165289.0,4650206612.0,9130991736.0,66830371901.0,66946900826.0
