Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Republic of Moldova ,1990,4480199,1064,1457226553.0,584717696.0,1570254719.0,3114009985.0,388713164.0,1363060547.0,1042040209.0,2725296821.0,1771592697.0,1141446217.0,1317818352.0,602517346.0,4419062100.0,237498835.0,219283018.0,4765523859.0,4765523859.0
 Republic of Moldova ,1991,4490927,905,1166723992.0,400603051.0,931285702.0,2748009386.0,590437186.0,1201161256.0,691043981.0,2157572331.0,1060977717.0,810459651.0,929748567.0,793270582.0,3707253128.0,161805720.0,255100954.0,4065201110.0,4065358080.0
 Republic of Moldova ,1992,4494902,650,949849199.0,262660602.0,797978048.0,1556527045.0,387657210.0,1788143401.0,476045926.0,1168869834.0,1240475350.0,709551439.0,810560309.0,413236470.0,2732032811.0,111629350.0,184096881.0,2923562799.0,2950183683.0
 Republic of Moldova ,1993,4493689,660,863894574.0,196394075.0,838500304.0,1543452528.0,380800855.0,1688673349.0,461074431.0,1162651674.0,1171677230.0,986753507.0,1158964925.0,482576693.0,3075786811.0,103507754.0,270448789.0,2965485990.0,2984805186.0
 Republic of Moldova ,1994,4482507,467,532690513.0,187521552.0,843090686.0,1464945718.0,389251870.0,615481885.0,404638333.0,1075693848.0,977962747.0,576468566.0,648957397.0,398147652.0,2056578440.0,104288097.0,184973229.0,2095293405.0,2105959714.0
 Republic of Moldova ,1995,4461231,475,575291733.0,147594259.0,904591781.0,1615354495.0,451437705.0,534863112.0,336842913.0,1163916789.0,1101716745.0,462517734.0,521768258.0,391702513.0,1902770392.0,86253819.0,180159811.0,2120569006.0,2120549043.0
 Republic of Moldova ,1996,4430195,475,517693945.0,153430676.0,797833859.0,1772965637.0,433878114.0,499636235.0,399629831.0,1339087524.0,1149571894.0,408922857.0,461482282.0,479970854.0,1880694389.0,90304931.0,177811699.0,2103421987.0,2032467727.0
 Republic of Moldova ,1997,4393789,544,556951983.0,216472301.0,873653039.0,2077166423.0,547991978.0,558869353.0,458537955.0,1529174445.0,1317161817.0,406179765.0,460291018.0,542249841.0,2093738859.0,118108920.0,199664796.0,2390026302.0,2314646036.0
 Republic of Moldova ,1998,4353534,476,486807739.0,127467594.0,651108150.0,1911881278.0,413986364.0,534762383.0,447561221.0,1497894915.0,1119821868.0,272831135.0,342720039.0,531541027.0,1825437735.0,118529250.0,218372085.0,2073519599.0,2038497959.0
 Republic of Moldova ,1999,4303938,336,324267273.0,92256853.0,521992951.0,1190602279.0,177109194.0,326282349.0,258168996.0,1013493085.0,701767601.0,176186568.0,246596519.0,388456826.0,1362727589.0,91422126.0,219727991.0,1446938863.0,1406269475.0
