Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Romania ,1970,19922618,636,1936980789.0,1065851696.0,328595306.0,9099105318.0,2060402743.0,3550006178.0,3184762465.0,7038703032.0,345169726.0,5204775649.0,5944173886.0,2166039152.0,12107157240.0,614914493.0,379197225.0,12665832511.0,12642096835.0
 Romania ,1971,20145244,746,2747466195.0,1167065550.0,360852602.0,10542042662.0,2518661851.0,4278858343.0,3838626726.0,8023381284.0,396298898.0,5961038375.0,6807881193.0,2571052152.0,14375431919.0,668631260.0,413335568.0,15037909459.0,15009728864.0
 Romania ,1972,20382169,851,3030245363.0,1332746504.0,458474428.0,12126152942.0,3050598035.0,5029705475.0,4512222742.0,9075554908.0,483015900.0,6940380188.0,7926335933.0,2968464219.0,16590539028.0,771590161.0,561156343.0,17353939441.0,17321418291.0
 Romania ,1973,20628252,980,3067128276.0,1484620760.0,2517398129.0,13663583736.0,3295691748.0,5715795327.0,5127724028.0,10367891988.0,2711546668.0,8299674190.0,9478732053.0,3456028200.0,19313735290.0,913612734.0,913612734.0,20208626258.0,20170754933.0
 Romania ,1974,20889661,1013,2784494000.0,1417871500.0,3393985000.0,14033589000.0,3428354000.0,6488513500.0,5820941000.0,10605235000.0,3621889500.0,8466100000.0,9668857000.0,3616171000.0,20237722000.0,922470500.0,1827858000.0,21166704000.0,21127040500.0
 Romania ,1975,21167265,1077,3084495500.0,1403722500.0,3648643000.0,15303675500.0,3746974000.0,7510075500.0,6737399000.0,11556701500.0,4236555500.0,9671239500.0,11045079500.0,3906090500.0,21803552000.0,1071262000.0,1292902500.0,22802261000.0,22759526500.0
 Romania ,1976,21449635,1195,3914546000.0,1470543500.0,3737667000.0,16826515000.0,4435194000.0,7613828000.0,6830477000.0,12391321000.0,4487879000.0,10645560500.0,12157875000.0,4379990500.0,24470516500.0,1077018000.0,1470543500.0,25627880500.0,25579853000.0
 Romania ,1977,21678700,1278,3671071500.0,2409844500.0,4103098000.0,17722528000.0,4524407500.0,9936284500.0,8913987000.0,13198120500.0,5026907000.0,11240373000.0,12837489000.0,4718217500.0,26519426500.0,1283749000.0,1599055500.0,27702532500.0,27650633500.0
 Romania ,1978,21844026,1495,4336736156.0,2670794788.0,5091164336.0,21579817268.0,5275557795.0,12710231070.0,11402535369.0,16304259474.0,5570582645.0,13267898858.0,15152133005.0,5639594777.0,31236915075.0,1560167209.0,1877489686.0,32658478507.0,32597247314.0
 Romania ,1979,21993493,1602,4221538889.0,2766819444.0,6352882222.0,23495938333.0,6018382222.0,13283850556.0,11917137778.0,17477555556.0,6843454444.0,14685541111.0,16772060556.0,5981375556.0,33506951111.0,1654386667.0,2110769444.0,35242480556.0,35176444444.0
