Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Rwanda ,1970,3896367,58,136573744.0,3726954.0,21661917.0,217749882.0,36476244.0,15587560.0,14680520.0,181273638.0,26828997.0,13725358.0,23431315.0,10806288.0,187313884.0,872276.0,11903306.0,227911051.0,227807455.0
 Rwanda ,1971,4015403,68,167616896.0,3609001.0,18877588.0,263765505.0,41879884.0,21519931.0,19542247.0,221885621.0,29361342.0,16965777.0,26606633.0,15198843.0,226210739.0,1026982.0,12152384.0,273831877.0,273832243.0
 Rwanda ,1972,4135579,75,186341791.0,2999931.0,19114465.0,307953862.0,51203739.0,18490693.0,17581085.0,256750123.0,34440936.0,19905806.0,30190442.0,17869087.0,251767570.0,1152925.0,13213393.0,308260697.0,308135671.0
 Rwanda ,1973,4259484,89,231054435.0,2679898.0,27358749.0,370255345.0,64538137.0,20293668.0,18235182.0,305717208.0,34592561.0,23234819.0,34633477.0,22240106.0,310544479.0,1491298.0,18445265.0,378928130.0,382373813.0
 Rwanda ,1974,4386369,113,301367985.0,12578096.0,30976433.0,480210039.0,72781783.0,47086017.0,44496708.0,407428255.0,54815831.0,28652174.0,42093834.0,24692548.0,408590879.0,1794718.0,26063697.0,496978530.0,501613182.0
 Rwanda ,1975,4515756,134,342571782.0,16155461.0,42553595.0,577161894.0,116856655.0,75597321.0,67107647.0,460305239.0,82539285.0,35565972.0,62586527.0,81786268.0,548628760.0,2260446.0,43268277.0,604128384.0,604242889.0
 Rwanda ,1976,4648207,145,382062705.0,17486504.0,75433654.0,618831473.0,130775675.0,84801244.0,73278616.0,488055798.0,100870177.0,39677196.0,65290559.0,91480627.0,608420259.0,2580139.0,49519725.0,673537292.0,673864040.0
 Rwanda ,1977,4783252,165,422260224.0,19625295.0,86428905.0,704907657.0,158872210.0,108219883.0,84766877.0,546035447.0,107528001.0,53848928.0,86486433.0,107903420.0,698599100.0,3123027.0,59200701.0,791019289.0,788926645.0
 Rwanda ,1978,4921953,193,467644555.0,23480616.0,108612069.0,890412565.0,175670678.0,144725090.0,112548463.0,714741887.0,175782819.0,71538054.0,106318380.0,154187742.0,840620171.0,4407529.0,84581349.0,951323424.0,956990983.0
 Rwanda ,1979,5074374,231,662179318.0,27499668.0,189419019.0,1053460924.0,178788866.0,128417418.0,146456591.0,874672058.0,205817985.0,71859959.0,106318114.0,137922360.0,1036250233.0,7262092.0,95068683.0,1172523902.0,1172158250.0
 Rwanda ,1980,5247532,253,700239110.0,35987543.0,146963948.0,1269216273.0,192506184.0,194867576.0,136358233.0,1076710088.0,269947976.0,96981898.0,125871307.0,158769533.0,1129492748.0,10135218.0,98490037.0,1327530345.0,1325811542.0
 Rwanda ,1981,5441966,275,697714978.0,39737094.0,112164112.0,1481579569.0,323524220.0,180052160.0,163123122.0,1158055349.0,249617845.0,112148369.0,127977457.0,217804691.0,1217671094.0,14097836.0,120339038.0,1497763295.0,1486731611.0
 Rwanda ,1982,5652900,260,673494966.0,70361869.0,131905119.0,1410406105.0,223169258.0,240703939.0,179551973.0,1187236847.0,277169120.0,99432886.0,163091182.0,261505322.0,1308763801.0,30238984.0,110071479.0,1472523110.0,1486945138.0
 Rwanda ,1983,5859396,263,678958405.0,78170810.0,139053920.0,1492153277.0,213566991.0,192651416.0,192030522.0,1278586287.0,250512223.0,118851581.0,222683682.0,309788682.0,1425249414.0,34217581.0,101430255.0,1543577481.0,1563479713.0
 Rwanda ,1984,6056729,273,782199255.0,91034113.0,162693955.0,1523753116.0,199111692.0,241429785.0,218897249.0,1324641423.0,254568024.0,115105972.0,231441863.0,341447855.0,1581276414.0,30988448.0,104164879.0,1651772368.0,1677283180.0
 Rwanda ,1985,6266752,286,873689963.0,95899948.0,150089815.0,1660416732.0,237516712.0,285775092.0,237712811.0,1422900020.0,278201014.0,119208237.0,233874603.0,374678178.0,1721851493.0,31727615.0,111981186.0,1794210548.0,1812787181.0
 Rwanda ,1986,6497804,308,869662703.0,87006500.0,198587234.0,1866398061.0,282252866.0,297037125.0,272228263.0,1584145196.0,319612148.0,156871885.0,315881772.0,418746082.0,1879210786.0,44033993.0,143879738.0,1998257921.0,2038548784.0
 Rwanda ,1987,6735829,333,1001077814.0,96555784.0,160912476.0,2129832301.0,317624043.0,325370871.0,301649749.0,1812208258.0,323989559.0,159601367.0,322332897.0,477885476.0,2113316822.0,56796429.0,158668422.0,2243009263.0,2279575008.0
 Rwanda ,1988,6953975,347,1073809598.0,102798765.0,170756413.0,2305626062.0,390065645.0,351158093.0,313305420.0,1915560417.0,346998799.0,165493976.0,359330149.0,555298286.0,2312161495.0,62705931.0,158218765.0,2409642314.0,2459117649.0
 Rwanda ,1989,7141974,347,1149515611.0,103262813.0,158012167.0,2391586711.0,374810820.0,305169182.0,280631598.0,2016775891.0,327718744.0,157535590.0,310553120.0,577221326.0,2364235746.0,61182430.0,162500447.0,2478311734.0,2507710293.0
 Rwanda ,1990,7319962,331,984156113.0,100371611.0,144419277.0,2453203618.0,485662904.0,254043842.0,254043842.0,1967540714.0,361439604.0,292870385.0,438536319.0,642889024.0,2383537982.0,54509383.0,163075531.0,2423631251.0,2435032064.0
 Rwanda ,1991,7485681,241,633147602.0,56592305.0,140446343.0,1916690481.0,433132064.0,179072514.0,179072514.0,1483558417.0,347241293.0,211456717.0,318942034.0,505873614.0,1722585901.0,62333615.0,145696730.0,1802146973.0,1812575129.0
 Rwanda ,1992,7657208,249,655645396.0,83580387.0,113337619.0,2030038567.0,492963480.0,228319439.0,228319439.0,1537075086.0,372454022.0,208631019.0,308371846.0,532907733.0,1801996174.0,59230293.0,162260518.0,1905092110.0,1914769388.0
 Rwanda ,1993,7904740,233,704970311.0,85794261.0,102664469.0,1968468692.0,428315199.0,237691862.0,237691862.0,1540153492.0,407140211.0,190899476.0,263902095.0,450571287.0,1684304372.0,55932388.0,123134030.0,1840012519.0,1854308804.0
 Rwanda ,1994,6732665,169,532759353.0,22377507.0,74773764.0,1710486135.0,181997303.0,84682285.0,84682285.0,1528488832.0,769274615.0,142264829.0,191342463.0,152291404.0,1022905736.0,5380137.0,118754872.0,1135541582.0,1141600742.0
 Rwanda ,1995,5686897,217,502888570.0,40579699.0,75007156.0,1406530738.0,221630235.0,124868603.0,124868603.0,1184900503.0,376720654.0,95524440.0,120143665.0,368229536.0,1171740260.0,26818570.0,113080220.0,1235293228.0,1230119922.0
 Rwanda ,1996,6715510,205,576361955.0,49312073.0,84173613.0,1553863968.0,271745840.0,145616081.0,145616081.0,1282118128.0,376510563.0,127831452.0,160660077.0,344993733.0,1250105678.0,28280798.0,90497044.0,1375357916.0,1389377125.0
 Rwanda ,1997,7666732,252,751928116.0,66043735.0,146753394.0,2110340731.0,314802082.0,190693707.0,190693707.0,1795538649.0,491741318.0,196003821.0,259076363.0,521630901.0,1773865394.0,43023355.0,132162924.0,1933139428.0,1950521330.0
 Rwanda ,1998,7914645,274,800326168.0,79405344.0,113935480.0,2294166903.0,333812266.0,223883547.0,223883547.0,1960354638.0,443233558.0,216725677.0,311066535.0,580376621.0,1977101607.0,56431911.0,149495028.0,2167082182.0,2188268087.0
 Rwanda ,1999,8009587,268,679758913.0,92830512.0,116786774.0,2254883091.0,353354854.0,257529809.0,257529809.0,1901528237.0,473136160.0,221595417.0,302447798.0,664786250.0,1976391554.0,77857849.0,158710231.0,2147079915.0,2156063513.0
 Rwanda ,2000,8109989,253,644091447.0,84681346.0,112908461.0,2160657363.0,333593180.0,254044037.0,254044037.0,1827064184.0,456766046.0,200155908.0,264308442.0,687715170.0,1911745529.0,84681346.0,146267779.0,2052881105.0,2068277714.0
 Rwanda ,2001,8223941,236,625293612.0,83522973.0,144472170.0,2000036607.0,320547628.0,250568920.0,250568920.0,1679488979.0,431159133.0,178332835.0,241539410.0,627550990.0,1803644751.0,85780351.0,139957415.0,1943602166.0,1966175942.0
 Rwanda ,2002,8372306,232,593228060.0,79938533.0,122011445.0,2015292487.0,336583296.0,248230181.0,248230181.0,1678709190.0,420729120.0,193535395.0,244022890.0,622679098.0,1788098762.0,96767698.0,151462483.0,1945872182.0,1966908638.0
 Rwanda ,2003,8567992,246,706772951.0,85556726.0,165533665.0,2151937642.0,364546048.0,280849251.0,280849251.0,1787391594.0,461262347.0,191572668.0,223191458.0,665854517.0,1947345472.0,94856370.0,171113451.0,2107299350.0,2138918140.0
 Rwanda ,2004,8791853,267,805265955.0,107368794.0,247640928.0,2336137147.0,393108326.0,341155684.0,341155684.0,1943028821.0,548966253.0,211274079.0,238982154.0,694433652.0,2157766409.0,110832303.0,200883550.0,2343064166.0,2375967506.0
 Rwanda ,2005,9026299,322,991354527.0,130865968.0,313719787.0,2864709826.0,482232130.0,444585755.0,444585755.0,2382477696.0,690183531.0,254561199.0,304756364.0,835390975.0,2674685269.0,141622075.0,270695359.0,2905941569.0,2932831837.0
 Rwanda ,2006,9270066,355,996899943.0,157691446.0,360696525.0,3199142545.0,532888333.0,498449972.0,487574700.0,2666254212.0,741331049.0,297257438.0,366134161.0,976961944.0,3023325646.0,183067080.0,342571071.0,3289769813.0,3318770538.0
 Rwanda ,2007,9523168,425,1060416305.0,201113437.0,555804408.0,3735225019.0,575915752.0,683785686.0,663674342.0,3159309267.0,908667075.0,330923019.0,479015641.0,1299924125.0,3702315547.0,232194605.0,429651434.0,4051521606.0,4067976342.0
 Rwanda ,2008,9781996,526,1283718989.0,298071503.0,583342390.0,4851433729.0,636373516.0,1106339015.0,1067937165.0,4215060213.0,1364180008.0,409619734.0,541283220.0,1627506980.0,4674053754.0,314529439.0,608943623.0,5144019253.0,5176935125.0
 Rwanda ,2009,10043737,561,1439427905.0,325542986.0,587737067.0,5389936032.0,723233336.0,1193071051.0,1150838448.0,4666702696.0,1501017119.0,452240797.0,563101381.0,1823040721.0,5134780719.0,348418980.0,635248746.0,5636292887.0,5671486723.0
 Rwanda ,2010,10309031,589,1488516541.0,358410089.0,658514230.0,5830594746.0,800849337.0,1257007632.0,1217565373.0,5029745409.0,1625707006.0,504174957.0,639650541.0,1960108763.0,5537350128.0,392707705.0,697956489.0,6070678059.0,6120409602.0
 Rwanda ,2011,10576932,645,1640828423.0,454767675.0,871221589.0,6433380071.0,827910382.0,1439264728.0,1410945862.0,5605469689.0,1862381905.0,574706402.0,792928253.0,2102259360.0,6181841906.0,428114624.0,762943571.0,6823180935.0,6881484483.0
 Rwanda ,2012,10840334,696,1896482521.0,537201057.0,918125443.0,7133378888.0,991380133.0,1784158663.0,1732066439.0,6141998755.0,2184617633.0,633246095.0,856265928.0,2350661596.0,7029194441.0,522550119.0,866033220.0,7546860914.0,7651045362.0
 Rwanda ,2013,11101350,692,1948546090.0,586110292.0,1054689233.0,7133843741.0,1005202348.0,1909884461.0,1851118786.0,6128641393.0,2284129028.0,531984012.0,788697227.0,2491355358.0,7214259929.0,527344616.0,872206345.0,7684385335.0,7815834873.0
 Rwanda ,2014,11368451,708,2035603351.0,607161230.0,1143926955.0,7659910881.0,1177658135.0,1915344363.0,1866947454.0,6482252746.0,2477041830.0,561697466.0,840346340.0,2603167110.0,7539651893.0,526499714.0,926874148.0,8052952450.0,8240673796.0
