Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Saint Kitts and Nevis ,1970,44968,536,2572902.0,1716538.0,10531797.0,26691816.0,4525286.0,4754442.0,4754442.0,22166529.0,17132814.0,2366323.0,2498911.0,12084496.0,21955945.0,1473846.0,1609252.0,24124410.0,24845242.0
 Saint Kitts and Nevis ,1971,44583,651,3098667.0,2095778.0,13191469.0,30707652.0,4951950.0,5833336.0,5833336.0,25755702.0,19862989.0,2855512.0,3014957.0,14519714.0,26432703.0,1771746.0,1931842.0,29002868.0,29869468.0
 Saint Kitts and Nevis ,1972,44416,765,3595032.0,2477881.0,17114237.0,35142608.0,5782353.0,6238254.0,6238254.0,29360255.0,23508319.0,3359624.0,3545884.0,16950858.0,30997547.0,2098178.0,2329714.0,33971713.0,34986781.0
 Saint Kitts and Nevis ,1973,44242,809,3841696.0,2444173.0,12570777.0,43899891.0,7941673.0,7393371.0,7393371.0,35958217.0,26987433.0,3470173.0,3667383.0,18016934.0,32458986.0,2163783.0,2325017.0,35806708.0,36876606.0
 Saint Kitts and Nevis ,1974,44056,1059,5009145.0,3525022.0,23768687.0,42712886.0,5606587.0,9946753.0,9946753.0,37106298.0,28397306.0,4643220.0,4899833.0,23307046.0,42682163.0,2848331.0,3092788.0,46637501.0,48031020.0
 Saint Kitts and Nevis ,1975,43888,1125,5075573.0,3702584.0,32130225.0,47484357.0,8327340.0,6475982.0,6475982.0,39157018.0,35230684.0,4948821.0,5217395.0,24395261.0,45219197.0,3149932.0,3678452.0,49384287.0,50859880.0
 Saint Kitts and Nevis ,1976,43740,954,4660695.0,2262701.0,18302050.0,37987693.0,4272593.0,10059551.0,10059551.0,33715101.0,23372263.0,3796271.0,4029213.0,21523518.0,37084233.0,2354864.0,2253243.0,41730142.0,42977030.0
 Saint Kitts and Nevis ,1977,43603,991,4655556.0,4214815.0,18999337.0,37834910.0,3872899.0,11563371.0,11563371.0,33962010.0,23901321.0,4644444.0,4881481.0,21148148.0,40666667.0,2722222.0,3044444.0,43205330.0,44496296.0
 Saint Kitts and Nevis ,1978,43465,1107,4266667.0,3511111.0,21853087.0,43612059.0,5321562.0,9736930.0,9736930.0,38290496.0,25768743.0,4903704.0,5155556.0,22881481.0,44018519.0,3451852.0,4751852.0,48128115.0,49433333.0
 Saint Kitts and Nevis ,1979,43278,1329,4733333.0,5192593.0,24037079.0,54085661.0,6093381.0,14437200.0,14437200.0,47992280.0,33719199.0,4737037.0,5048148.0,27092593.0,52103704.0,3744444.0,6292593.0,57532346.0,58840741.0
