Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Saint Lucia ,1970,103090,387,4291749.0,2126303.0,19479723.0,39136593.0,7152938.0,16823124.0,16823124.0,31983655.0,33960353.0,2464503.0,3236509.0,16908050.0,37362061.0,2113126.0,8686321.0,39903751.0,41222418.0
 Saint Lucia ,1971,104781,436,4909677.0,2399008.0,22412472.0,44888083.0,8049740.0,18660979.0,18660979.0,36838343.0,38422061.0,2854969.0,3737068.0,19150794.0,42761872.0,2478379.0,10086946.0,45649990.0,47158548.0
 Saint Lucia ,1972,106457,491,5637793.0,2758756.0,24908098.0,51701651.0,9461782.0,22265269.0,22265269.0,42239869.0,44511012.0,3188518.0,4209592.0,22302599.0,48947474.0,2777967.0,11260767.0,52308062.0,54036644.0
 Saint Lucia ,1973,108114,544,6314934.0,3210502.0,29263851.0,57109086.0,10622850.0,25320392.0,25320392.0,46486236.0,50634276.0,3635433.0,4764932.0,25022751.0,55097894.0,3028300.0,12756473.0,58838492.0,60782879.0
 Saint Lucia ,1974,109740,728,8592546.0,4022966.0,39896983.0,79171925.0,13389272.0,29590779.0,29590779.0,65782653.0,64996504.0,5183612.0,6721829.0,32509784.0,74945767.0,4657793.0,18440848.0,79897802.0,82538119.0
 Saint Lucia ,1975,111497,831,10048086.0,4937906.0,40002419.0,92976497.0,18020507.0,44119173.0,44119173.0,74955990.0,81402982.0,5206482.0,7069562.0,41401792.0,86410336.0,4590802.0,18362188.0,92633911.0,95695108.0
 Saint Lucia ,1976,113421,849,10202945.0,5780744.0,54006378.0,88314777.0,17284650.0,42787662.0,42787662.0,71030127.0,85640548.0,6188997.0,7943838.0,40633213.0,90359200.0,4481996.0,21316463.0,96286371.0,99468268.0
 Saint Lucia ,1977,115385,912,11385142.0,3968240.0,53173174.0,110680527.0,13541770.0,20037104.0,20037104.0,97138756.0,70742409.0,7802734.0,9846157.0,37011392.0,99207380.0,8290069.0,28706380.0,105225929.0,108703244.0
 Saint Lucia ,1978,117397,1056,13985972.0,6384314.0,73422719.0,121524307.0,14250940.0,35949166.0,35949166.0,107273366.0,99735200.0,8593755.0,10800574.0,42757474.0,118052160.0,9923640.0,34200187.0,123935072.0,127278644.0
 Saint Lucia ,1979,119463,1270,15913551.0,8660586.0,88043477.0,153624098.0,15128960.0,39821571.0,39821571.0,138495137.0,119698807.0,10687381.0,13685838.0,49731526.0,139008315.0,12494172.0,38522642.0,151743685.0,154418543.0
 Saint Lucia ,1980,121633,1465,15637038.0,11291740.0,99897475.0,176588737.0,21342641.0,51227562.0,51227562.0,155246097.0,140573616.0,13963239.0,17412220.0,60563308.0,163808497.0,15806126.0,43098065.0,178249544.0,181191887.0
 Saint Lucia ,1981,123909,1652,17183910.0,13417455.0,88134598.0,217809757.0,23571461.0,58301430.0,58301430.0,194238296.0,145460973.0,14302863.0,18467684.0,71819849.0,187056807.0,19187333.0,46980576.0,204676147.0,207484747.0
 Saint Lucia ,1982,126194,1764,19444108.0,12040938.0,92785905.0,216905078.0,31473641.0,53745660.0,53745660.0,185431437.0,134609385.0,15154070.0,19476323.0,77530657.0,200760101.0,23929171.0,48338904.0,222647228.0,224385885.0
 Saint Lucia ,1983,128440,1887,22622009.0,8348718.0,109900063.0,220827019.0,31541181.0,37514695.0,37514695.0,189285839.0,122639504.0,17075735.0,22048653.0,82265487.0,215792929.0,28182159.0,52325901.0,242317338.0,243253539.0
 Saint Lucia ,1984,130625,2036,25022467.0,9495816.0,116025871.0,255342662.0,32689361.0,43093442.0,43093442.0,222653301.0,139496741.0,17583020.0,23457858.0,90192110.0,237387361.0,31481891.0,57737219.0,266004689.0,268278318.0
 Saint Lucia ,1985,132751,2212,30360379.0,11470974.0,129888670.0,269449531.0,39524409.0,51061898.0,51061898.0,229925122.0,150141237.0,18657777.0,25587872.0,99396282.0,264378645.0,34887541.0,62675597.0,293709280.0,298117841.0
