Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Samoa ,1970,142771,331,10338155.0,1707717.0,10789622.0,47022698.0,10941581.0,8222483.0,8222483.0,36081117.0,24404152.0,5657164.0,6811581.0,12153968.0,41884655.0,4262452.0,6610785.0,47276019.0,41794077.0
 Samoa ,1971,145064,383,12151194.0,2007206.0,12680062.0,55269802.0,12859671.0,9663623.0,9663623.0,42410130.0,28682085.0,6649279.0,8006151.0,14285443.0,49230096.0,5009969.0,7770136.0,55566960.0,49123634.0
 Samoa ,1972,147332,439,14146889.0,2336868.0,14780984.0,64334648.0,14964654.0,11254478.0,11254478.0,49369994.0,33403953.0,7741350.0,9321074.0,16631678.0,57315617.0,5832806.0,9046302.0,64693244.0,57191669.0
 Samoa ,1973,149587,572,18721771.0,3092573.0,19520515.0,85170178.0,19826282.0,14888168.0,14888168.0,65343897.0,44185556.0,10244780.0,12335361.0,22010104.0,75850592.0,7719045.0,11971737.0,85614025.0,75686559.0
 Samoa ,1974,152240,635,21153577.0,3494266.0,22065000.0,96220174.0,22382903.0,16818537.0,16818537.0,73837271.0,49921639.0,11575489.0,13937614.0,24868974.0,85702806.0,8721657.0,13526720.0,96734414.0,85517470.0
 Samoa ,1975,155263,623,21140238.0,3492081.0,22170122.0,96081277.0,22330547.0,16834648.0,16834648.0,73750729.0,49966842.0,11568206.0,13928854.0,24853418.0,85649078.0,8716211.0,13518276.0,96673775.0,85463863.0
 Samoa ,1976,158136,556,19221823.0,3175173.0,19917437.0,87539641.0,20424500.0,15267866.0,15267866.0,67115139.0,45301934.0,10518408.0,12664826.0,22597982.0,77876534.0,7925222.0,12291509.0,87900736.0,77708110.0
 Samoa ,1977,160362,634,22227522.0,3671639.0,23213370.0,101064450.0,23460465.0,17661410.0,17661410.0,77603984.0,52445833.0,12163147.0,14645177.0,26131345.0,90053342.0,9164353.0,14213306.0,101644958.0,89858607.0
 Samoa ,1978,161988,691,24470190.0,4042207.0,26075658.0,110944097.0,25715196.0,19579172.0,19579172.0,85228901.0,58103767.0,13390460.0,16122993.0,28768702.0,99141378.0,10089355.0,15647932.0,111902813.0,98927001.0
 Samoa ,1979,163489,776,27758235.0,4585222.0,27719513.0,127184813.0,30016569.0,21879000.0,21879000.0,97168245.0,64854899.0,15189558.0,18289167.0,32633488.0,112460908.0,11444729.0,17750069.0,126936708.0,112217625.0
 Samoa ,1980,164905,791,28509968.0,4709276.0,30472692.0,128999736.0,29484218.0,22676829.0,22676829.0,99515518.0,67500422.0,15600910.0,18784384.0,33516164.0,115503655.0,11754099.0,18229764.0,130371318.0,115253971.0
 Samoa ,1981,166190,737,26794556.0,4426539.0,30261343.0,120439848.0,27788773.0,21885074.0,21885074.0,92651075.0,64826487.0,14662718.0,17655063.0,31504033.0,108565212.0,11048882.0,17136138.0,122539710.0,108330486.0
 Samoa ,1982,166885,753,27484340.0,4539577.0,21921732.0,129889763.0,32233268.0,20679948.0,20679948.0,97656495.0,61077759.0,15039175.0,18107922.0,32308967.0,111345178.0,11330836.0,17573535.0,125677015.0,111104000.0
 Samoa ,1983,166944,698,25363512.0,4189224.0,32453600.0,110414489.0,22640237.0,20722049.0,20722049.0,87774252.0,62423703.0,13879132.0,16711056.0,29814304.0,102748644.0,10455358.0,16215191.0,116597666.0,102527017.0
 Samoa ,1984,166779,639,24748396.0,4090216.0,32447157.0,109030073.0,25884540.0,21801341.0,21801341.0,83145533.0,63722232.0,13544385.0,16309380.0,29110712.0,100305943.0,10210718.0,15836520.0,106550669.0,100088962.0
 Samoa ,1985,166517,576,21678671.0,3578488.0,31972373.0,101308383.0,24607916.0,18353168.0,18353168.0,76700467.0,63669886.0,11859973.0,14279000.0,25469766.0,87789931.0,8931487.0,13852519.0,95957613.0,87598729.0
 Samoa ,1986,166365,616,22891982.0,3780855.0,28811089.0,109058855.0,26718287.0,17379017.0,17379017.0,82340568.0,61768300.0,12527918.0,15083824.0,26904893.0,92723962.0,9433475.0,14628933.0,102476440.0,92526477.0
 Samoa ,1987,166773,692,25281846.0,4186331.0,32580654.0,125729442.0,30871263.0,22390351.0,22390351.0,94858179.0,78614764.0,13842012.0,16671983.0,29797959.0,102618970.0,10458207.0,16222644.0,115424607.0,102395074.0
 Samoa ,1988,167452,956,30228743.0,4971547.0,43451497.0,137324590.0,35256235.0,28343074.0,28343074.0,102068355.0,87286067.0,16519200.0,19879758.0,35389438.0,122104434.0,12401039.0,19233909.0,160077279.0,121833095.0
 Samoa ,1989,167886,938,27824854.0,4603188.0,40909836.0,125854425.0,31996558.0,26520074.0,26520074.0,93857867.0,80728467.0,15242697.0,18354809.0,32737660.0,112779780.0,11473947.0,17785321.0,157499813.0,112555867.0
 Samoa ,1990,168186,1005,28282323.0,4719593.0,32306861.0,127108341.0,31874356.0,26388476.0,26388476.0,95233984.0,70548816.0,15505818.0,18696131.0,33619538.0,115524938.0,11834415.0,18372938.0,169000095.0,115254862.0
 Samoa ,1991,168701,989,28955114.0,4666476.0,29063419.0,146257667.0,31085028.0,25577161.0,25577161.0,115172638.0,85882620.0,15735046.0,18888760.0,33224554.0,115285772.0,11586780.0,17964089.0,166830921.0,115015626.0
 Samoa ,1992,169799,999,29643951.0,4991686.0,32040303.0,165942360.0,37338966.0,30815160.0,30815160.0,128603394.0,107549223.0,16359738.0,19736278.0,35405037.0,121403308.0,12415703.0,19210651.0,169584687.0,121248600.0
