Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 San Marino ,1970,18169,4049,28139.0,4092302.0,227084004.0,58549567.0,12000537.0,20758122.0,20206452.0,46549031.0,228994554.0,29946742.0,29946742.0,29543849.0,81930409.0,4413605.0,13905774.0,73571348.0,79820212.0
 San Marino ,1971,18212,4441,30941.0,4499233.0,249664818.0,65720783.0,14423171.0,20916334.0,21806681.0,51297612.0,251765346.0,32924590.0,32924590.0,32481634.0,90077415.0,4852485.0,15288538.0,80883730.0,87757384.0
 San Marino ,1972,18575,5073,36045.0,5241909.0,290876632.0,77423287.0,17398491.0,23449883.0,24841061.0,60024797.0,293323892.0,38359376.0,38359376.0,37843301.0,104946287.0,5653473.0,17812180.0,94235958.0,102243293.0
 San Marino ,1973,19010,5989,43551.0,6333179.0,351431219.0,92854834.0,20179386.0,32560848.0,31896975.0,72675448.0,354387964.0,46345087.0,46345087.0,45721577.0,126794166.0,6830422.0,21520347.0,113854915.0,123528456.0
 San Marino ,1974,19439,6661,49527.0,7202272.0,399658013.0,103598518.0,21804193.0,41822366.0,38129845.0,81794326.0,403020492.0,52704964.0,52704964.0,51995892.0,144193964.0,7767751.0,24473557.0,129482279.0,140480105.0
 San Marino ,1975,19803,7460,56509.0,8217673.0,456004437.0,121405980.0,25590309.0,38111694.0,41741494.0,95815671.0,459840958.0,60135477.0,60135477.0,59326436.0,164522888.0,8862875.0,27923917.0,147734084.0,160285442.0
 San Marino ,1976,20160,7232,55769.0,8110071.0,450029814.0,117229079.0,24337379.0,42074148.0,39381261.0,92891700.0,453816171.0,59348086.0,59348086.0,58549638.0,162368679.0,8746827.0,27558291.0,145801323.0,158186714.0
 San Marino ,1977,20482,8159,63921.0,9295610.0,515819776.0,134513999.0,28435381.0,44315855.0,44931013.0,106078620.0,520159505.0,68023640.0,68023640.0,67108477.0,186103881.0,10025447.0,31586785.0,167113260.0,181310586.0
 San Marino ,1978,20795,9829,78184.0,11369620.0,630913910.0,163092819.0,36068286.0,52974484.0,53549613.0,127024533.0,636221901.0,83200868.0,83200868.0,82081527.0,227626835.0,12262298.0,38634337.0,204400420.0,221764098.0
 San Marino ,1979,21087,12112,97692.0,14206557.0,788305257.0,205315802.0,45285752.0,67671135.0,67106077.0,160030052.0,794938270.0,103961149.0,103961149.0,102562461.0,284424193.0,15321974.0,48274361.0,255401205.0,277098555.0
 San Marino ,1980,21346,14505,118428.0,17222148.0,955692094.0,253750135.0,55593373.0,89917336.0,86216136.0,198156761.0,963731711.0,126028632.0,126028632.0,124333128.0,344798089.0,18574331.0,58521419.0,309614354.0,335917435.0
 San Marino ,1981,21596,12939,106883.0,15543120.0,862530317.0,233226535.0,54168785.0,74862293.0,78166257.0,179057750.0,869786712.0,113741712.0,113741712.0,112211526.0,311182716.0,16763476.0,52816000.0,279428457.0,303168018.0
 San Marino ,1982,21804,12713,106028.0,15418755.0,855459211.0,232107109.0,53957307.0,71379176.0,73058880.0,178149802.0,862660074.0,112832090.0,112832090.0,111313893.0,308693650.0,16629351.0,52393531.0,277194650.0,300742818.0
 San Marino ,1983,21973,13081,109940.0,15987781.0,887348037.0,239659928.0,57187513.0,69379085.0,71541845.0,182472415.0,894807608.0,116995446.0,116995446.0,115421696.0,320084828.0,17243042.0,54326922.0,287423859.0,311840624.0
 San Marino ,1984,22096,12857,108664.0,15802237.0,876942820.0,236475419.0,55896069.0,71851896.0,70206335.0,180579350.0,884321963.0,115637629.0,115637629.0,114081981.0,316369857.0,17042939.0,53696405.0,284088300.0,308222032.0
