Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Sao Tome and Principe ,1970,77583,480,9770296.0,2868000.0,6553809.0,32928522.0,6447339.0,3130678.0,3130678.0,26481183.0,7224243.0,2723791.0,3457983.0,6116070.0,35388800.0,4174191.0,9002226.0,37201704.0,35388800.0
 Sao Tome and Principe ,1971,79226,471,9790527.0,2873925.0,5283925.0,33656709.0,6535962.0,3295537.0,3295537.0,27120712.0,6774113.0,2729462.0,3465177.0,6128771.0,35462058.0,4182838.0,9020891.0,37278725.0,35462058.0
 Sao Tome and Principe ,1972,80835,512,10877887.0,3193127.0,5924982.0,36871905.0,6851667.0,3379425.0,3379425.0,30020238.0,6775743.0,3032593.0,3849976.0,6809417.0,39400569.0,4647398.0,10022764.0,41419020.0,39400569.0
 Sao Tome and Principe ,1973,82472,679,14706243.0,4316919.0,10738658.0,48274646.0,7561074.0,3563060.0,3563060.0,40713531.0,9309135.0,4099870.0,5204982.0,9205975.0,53267229.0,6283008.0,13550183.0,55996030.0,53267229.0
 Sao Tome and Principe ,1974,84189,687,15180513.0,4456126.0,14124829.0,48130785.0,7295332.0,3817906.0,3817906.0,40835453.0,11088403.0,4232104.0,5372839.0,9502850.0,54985116.0,6485631.0,13987156.0,57801927.0,54985116.0
 Sao Tome and Principe ,1975,86037,698,15780255.0,4632183.0,7373142.0,56228123.0,7256751.0,5108708.0,5108708.0,48971372.0,11552641.0,4399284.0,5585076.0,9878226.0,57157331.0,6741820.0,14539732.0,60085385.0,57157331.0
 Sao Tome and Principe ,1976,88078,591,13663398.0,4010806.0,6876920.0,50913850.0,6131876.0,5146137.0,5146137.0,44781973.0,13446951.0,3809146.0,4835873.0,8553154.0,49489989.0,5837458.0,12589300.0,52025296.0,49489989.0
 Sao Tome and Principe ,1977,90299,545,12919913.0,3792554.0,9892308.0,44809224.0,4935317.0,8845263.0,8845263.0,39873906.0,16749822.0,3601862.0,4572706.0,8087716.0,46796999.0,5519826.0,11904259.0,49194353.0,46796999.0
 Sao Tome and Principe ,1978,92659,594,14452440.0,4242433.0,13457052.0,55732744.0,5126882.0,5427396.0,5427396.0,50605862.0,22269261.0,4029128.0,5115127.0,9047089.0,52347930.0,6174546.0,13316323.0,55029655.0,52347930.0
 Sao Tome and Principe ,1979,95017,692,17264816.0,5067955.0,18184913.0,68719646.0,5292311.0,8341827.0,8341827.0,63427335.0,32711852.0,4813162.0,6110508.0,10807580.0,62534534.0,7376105.0,15907598.0,65738084.0,62534534.0
 Sao Tome and Principe ,1980,97210,840,21441156.0,6293908.0,17360763.0,86705773.0,26828688.0,13047160.0,8853426.0,59877085.0,39452109.0,5977470.0,7588651.0,13421922.0,77661587.0,9160374.0,19755633.0,81640086.0,77661587.0
 Sao Tome and Principe ,1981,99170,823,21923483.0,6435506.0,17751289.0,88656263.0,27432206.0,13340655.0,9052574.0,61224057.0,40339573.0,6111908.0,7759301.0,13723837.0,79408607.0,9366433.0,20200047.0,81647519.0,79408634.0
 Sao Tome and Principe ,1982,100931,752,21085524.0,6189504.0,17341055.0,84999410.0,26115451.0,12830755.0,8706565.0,58883959.0,38797738.0,5878322.0,7462767.0,13199304.0,76373482.0,9008429.0,19427955.0,75937175.0,76373482.0
 Sao Tome and Principe ,1983,102650,687,19720871.0,5788942.0,14706321.0,81010746.0,25937708.0,12000345.0,8143106.0,55073038.0,36286779.0,5497884.0,6979771.0,12345047.0,71430632.0,8425400.0,18170577.0,70473202.0,71430632.0
 Sao Tome and Principe ,1984,104497,703,20535719.0,6028171.0,21711593.0,77978508.0,20629925.0,12478094.0,8479558.0,57348606.0,37786104.0,5725014.0,7268131.0,12855143.0,74382091.0,8773521.0,18921427.0,73459123.0,74382091.0
 Sao Tome and Principe ,1985,106607,738,21722302.0,6376323.0,13452959.0,93044499.0,32382239.0,12151943.0,8969521.0,60662259.0,39969430.0,6055929.0,7688257.0,13597922.0,78679993.0,9280522.0,20014667.0,78679971.0,78679971.0
 Sao Tome and Principe ,1986,108966,906,30438172.0,8935030.0,21578293.0,128713453.0,43734988.0,15936790.0,14993594.0,84978464.0,55970103.0,8485602.0,10772807.0,19054077.0,110249544.0,13004142.0,28045315.0,98689518.0,110249544.0
 Sao Tome and Principe ,1987,111610,935,30444475.0,8937025.0,21731444.0,121762148.0,42618598.0,15270752.0,16849207.0,79143568.0,48491959.0,8487321.0,10774892.0,19057735.0,110272385.0,13006774.0,28051483.0,104351304.0,110272385.0
 Sao Tome and Principe ,1988,114513,761,25993530.0,7629529.0,27725499.0,100985052.0,39890816.0,18281435.0,18482180.0,61094236.0,52841277.0,7247068.0,9200548.0,16271691.0,94150708.0,11105571.0,23949851.0,87149079.0,94150708.0
 Sao Tome and Principe ,1989,117445,743,25873913.0,7595852.0,21535418.0,132186778.0,34207973.0,24712669.0,22802396.0,97978804.0,84717425.0,7212664.0,9156769.0,16197197.0,93717431.0,11053903.0,23839804.0,87242117.0,93717431.0
 Sao Tome and Principe ,1990,120343,859,31322754.0,9195350.0,16432882.0,145731678.0,31369882.0,33497260.0,35459691.0,114361796.0,82208237.0,8732017.0,11085243.0,19606656.0,113453583.0,13381781.0,28861812.0,103428314.0,113453583.0
 Sao Tome and Principe ,1991,123084,739,28218721.0,8279634.0,19352993.0,124494457.0,27225826.0,37650559.0,37650559.0,97268631.0,79283271.0,7869389.0,9991184.0,17665148.0,102210521.0,12057483.0,25998351.0,90976447.0,102210526.0
 Sao Tome and Principe ,1992,125648,639,23858992.0,8032693.0,20245597.0,115509370.0,28421578.0,34974961.0,34974961.0,87087792.0,80530593.0,7619783.0,9673340.0,15424323.0,90214496.0,10524079.0,22701065.0,80298021.0,90214496.0
 Sao Tome and Principe ,1993,128182,826,34544383.0,10667523.0,26376699.0,157382690.0,41312611.0,42233153.0,42233153.0,116070079.0,106402060.0,10131911.0,12860959.0,19493956.0,119582105.0,13308025.0,28707262.0,105870682.0,119582107.0
 Sao Tome and Principe ,1994,130666,851,31828338.0,11350298.0,29599314.0,146721056.0,39888023.0,51951640.0,51951640.0,106833033.0,103370687.0,10816528.0,13737247.0,21559654.0,124904140.0,14718663.0,31709940.0,111200647.0,124904141.0
 Sao Tome and Principe ,1995,133077,652,26052465.0,8815638.0,20333259.0,109825880.0,27208657.0,67161263.0,67161263.0,82617223.0,98705183.0,8313644.0,10551119.0,16869243.0,98615222.0,11497123.0,24829632.0,86737991.0,98615222.0
 Sao Tome and Principe ,1996,135412,851,31956411.0,10983567.0,30482239.0,146240086.0,34941009.0,72199716.0,72199716.0,111299077.0,120356733.0,10471540.0,13287312.0,22899207.0,128565305.0,15658179.0,33780629.0,115193030.0,128565308.0
 Sao Tome and Principe ,1997,137656,565,21652083.0,6476470.0,24759712.0,101824110.0,27912989.0,42963701.0,42963701.0,73911121.0,82130434.0,6234264.0,7930172.0,16314099.0,87417090.0,11138541.0,23905726.0,77780338.0,87417090.0
 Sao Tome and Principe ,1998,139790,431,14650052.0,5310978.0,20394455.0,73560893.0,17632775.0,24607645.0,24607645.0,55928118.0,49818862.0,4854322.0,6147579.0,13521175.0,68744134.0,9168577.0,19945773.0,60301048.0,68744131.0
 Sao Tome and Principe ,1999,141808,467,15107931.0,5542465.0,25829552.0,80327168.0,21874602.0,29562396.0,29562396.0,58452566.0,62203951.0,5459884.0,6924253.0,14466163.0,73515162.0,9989822.0,21484528.0,66180317.0,73515165.0
