Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Saudi Arabia ,1970,6106191,715,227777778.0,184222222.0,2731714665.0,2600820953.0,852665178.0,1204337221.0,681917221.0,1748155775.0,1159604444.0,443777777.0,2953777775.0,1479111110.0,5328444440.0,241111111.0,242444444.0,4362903232.0,5377333329.0
 Saudi Arabia ,1971,6396658,894,237138501.0,205490317.0,3878660497.0,2871739328.0,958416484.0,1721718774.0,783490548.0,1913322844.0,1287303008.0,488986720.0,4492927666.0,1643253915.0,7117275265.0,276587293.0,261877574.0,5718076863.0,7184806248.0
 Saudi Arabia ,1972,6724260,1113,272151306.0,301344842.0,5951707321.0,3530054625.0,1230021379.0,1948185182.0,1180291451.0,2300033246.0,1765770997.0,577115182.0,6206642162.0,2099763139.0,9574997118.0,354906535.0,340189133.0,7481968417.0,9664266607.0
 Saudi Arabia ,1973,7088758,1591,328604004.0,534993218.0,14903230275.0,5174481512.0,2116137054.0,-2003761657.0,2089492231.0,3058344459.0,3126415385.0,787246703.0,9889955321.0,3017599167.0,14838710039.0,525820364.0,541737964.0,11279502264.0,14947435338.0
 Saudi Arabia ,1974,7483506,5461,379436620.0,1226478874.0,28581089022.0,8781013773.0,3829099878.0,14046491978.0,4011889158.0,4951913895.0,5995623664.0,2215774649.0,36524225362.0,5735492959.0,45359718323.0,584225352.0,909859155.0,40866012756.0,45412957759.0
 Saudi Arabia ,1975,7897544,5665,434385539.0,2944610870.0,34300509802.0,14500178870.0,6796785287.0,8137530088.0,8135267190.0,7703393582.0,10165081290.0,2359839238.0,30660853073.0,10518782274.0,46798218976.0,736010576.0,1503576645.0,44738180536.0,46773202008.0
 Saudi Arabia ,1976,8319556,7757,506515581.0,5218413599.0,38230222674.0,21605271573.0,10786532750.0,19692439715.0,13699213084.0,10818738823.0,15522308786.0,2963739378.0,39938810210.0,14884702554.0,64042776222.0,1272804533.0,2221529746.0,64532988983.0,64005665741.0
 Saudi Arabia ,1977,8755219,8483,869771196.0,7004409850.0,42599781860.0,33045454095.0,13594255045.0,22700581295.0,18940696015.0,19451199050.0,24156717684.0,3186324225.0,42739070072.0,18673698221.0,74293381845.0,1980956380.0,3025476127.0,74269439202.0,74188986607.0
 Saudi Arabia ,1978,9210564,8599,1233982617.0,8326661724.0,39584809230.0,44943798423.0,19478023728.0,29127039201.0,24072584630.0,25465774695.0,33389010456.0,3660766070.0,40006922473.0,24210474201.0,80555091195.0,2791830516.0,3985219664.0,79200910261.0,80266524580.0
 Saudi Arabia ,1979,9682002,11258,1369004346.0,9941572092.0,61361506231.0,59403134748.0,24221410325.0,29398611201.0,27873886703.0,35181724423.0,38304747540.0,5673289688.0,62631725650.0,29740213507.0,112000000000.0,3553579417.0,5187398774.0,109000000000.0,112000000000.0
 Saudi Arabia ,1980,10171710,15759,1622909304.0,12346314841.0,104000000000.0,67354369082.0,26146094136.0,37695187511.0,34098911875.0,41208274945.0,44919929173.0,6736922266.0,105000000000.0,35290386750.0,165000000000.0,4107923420.0,6586324459.0,160000000000.0,165000000000.0
 Saudi Arabia ,1981,10678211,16911,1849219391.0,14555174787.0,116000000000.0,84986888061.0,36027662625.0,38994275328.0,39101654221.0,48959225436.0,55459139063.0,8913503541.0,116000000000.0,40200344428.0,185000000000.0,4705679465.0,7942035129.0,181000000000.0,184000000000.0
 Saudi Arabia ,1982,11201154,13927,2442118672.0,14338842025.0,77741458354.0,95825888127.0,40124924266.0,39618036021.0,38144821807.0,55700963861.0,59945087350.0,7537839059.0,77296031310.0,46113221227.0,154000000000.0,5116722841.0,8712517975.0,156000000000.0,153000000000.0
 Saudi Arabia ,1983,11746020,11644,2791222061.0,13000616785.0,49694057317.0,96701268944.0,38449684065.0,44374234324.0,34803607715.0,58251584879.0,61588953033.0,8151653603.0,50841749475.0,48889659712.0,130000000000.0,5352037324.0,9017994744.0,137000000000.0,129000000000.0
 Saudi Arabia ,1984,12310361,10201,3297566342.0,10920847294.0,41299038710.0,93159003132.0,36054276210.0,39273535026.0,30095391949.0,57104726922.0,54100236657.0,9273766825.0,44227686271.0,47589387725.0,120000000000.0,5390470970.0,8875618324.0,126000000000.0,120000000000.0
 Saudi Arabia ,1985,12890245,8887,3806869934.0,9154819567.0,31242064133.0,88432739716.0,33143805357.0,22288444203.0,23155612124.0,55288934359.0,38069251500.0,8290412448.0,33897403536.0,43873837791.0,105000000000.0,5216811536.0,8588302988.0,115000000000.0,104000000000.0
 Saudi Arabia ,1986,13483349,7231,4279527825.0,7848903879.0,23201079258.0,77870322573.0,30120268265.0,16907507896.0,19614286986.0,47750054307.0,31093153457.0,6763979764.0,25011804384.0,37863069140.0,87974367622.0,4897133221.0,8073929174.0,97497466845.0,86885666105.0
 Saudi Arabia ,1987,14089798,6773,4883200000.0,7588533333.0,26412000000.0,75784841134.0,30143890090.0,15163506037.0,19109372703.0,45640951045.0,31778666667.0,7799200000.0,26763733333.0,35238933333.0,86796533333.0,4692266667.0,7629866667.0,95429689555.0,85581600000.0
 Saudi Arabia ,1988,14713715,6651,5572000000.0,7308800000.0,27608266667.0,74204452127.0,27264034286.0,17352968393.0,16681501726.0,46940417841.0,31027200000.0,8048000000.0,26670933333.0,36378400000.0,88131733333.0,4845066667.0,7356533333.0,97863799740.0,88138400000.0
 Saudi Arabia ,1989,15353227,6814,6040000000.0,7410933333.0,32131733333.0,80826717925.0,31988788968.0,18515042429.0,17704642429.0,48837928957.0,36256266667.0,8358933333.0,32964533333.0,37192533333.0,95677600000.0,4911733333.0,7157866667.0,105000000000.0,95217333333.0
 Saudi Arabia ,1990,16004763,7620,6704533333.0,7617333333.0,47382666667.0,88521349045.0,34086415712.0,18424703920.0,22200170587.0,54434933333.0,36855200000.0,10036000000.0,50128000000.0,40613600000.0,118000000000.0,5314133333.0,7515733333.0,122000000000.0,117000000000.0
 Saudi Arabia ,1991,16654276,8085,7173866667.0,8150666667.0,50585066667.0,103000000000.0,45100867594.0,26390469367.0,26794736034.0,58023733333.0,48053066667.0,11235733333.0,56334904168.0,46991200000.0,133000000000.0,5790133333.0,8166133333.0,135000000000.0,132000000000.0
 Saudi Arabia ,1992,17281350,8011,7676000000.0,8721066667.0,53539200000.0,101000000000.0,40717883280.0,31438335039.0,27721268373.0,60475200000.0,49265600000.0,12283733333.0,61874933333.0,43925333333.0,137000000000.0,6107733333.0,8574400000.0,138000000000.0,137000000000.0
 Saudi Arabia ,1993,17846461,7587,8059733333.0,9200533333.0,45617333333.0,98326665214.0,34926931881.0,33270722373.0,29019789039.0,63399733333.0,44424000000.0,12019733333.0,54463733333.0,45929866667.0,133000000000.0,6352000000.0,8874400000.0,135000000000.0,133000000000.0
 Saudi Arabia ,1994,18367528,7391,8301600000.0,9545600000.0,45899466667.0,96807835336.0,32680635336.0,27480846111.0,24800579444.0,64127200000.0,35193600000.0,12624800000.0,54998400000.0,47068800000.0,136000000000.0,6542400000.0,9051733333.0,136000000000.0,135000000000.0
 Saudi Arabia ,1995,18888857,7694,8426133333.0,9717333333.0,53449866667.0,100000000000.0,33579372625.0,29040008316.0,27550941649.0,66741333333.0,39658666667.0,13695733333.0,60665866667.0,49061600000.0,144000000000.0,6640800000.0,9448000000.0,145000000000.0,143000000000.0
 Saudi Arabia ,1996,19410280,8165,8576533333.0,10357600000.0,63416533333.0,108000000000.0,38608800000.0,29426293333.0,27426133333.0,69196266667.0,42197066667.0,15457333333.0,72292533333.0,51342933333.0,159000000000.0,6684800000.0,9619200000.0,158000000000.0,158000000000.0
 Saudi Arabia ,1997,19938377,8310,8906666667.0,10407200000.0,64902400000.0,113000000000.0,43145333333.0,31122309333.0,29130933333.0,69714133333.0,43141866667.0,16626666667.0,73820800000.0,55805866667.0,166000000000.0,6963200000.0,10307733333.0,166000000000.0,166000000000.0
 Saudi Arabia ,1998,20472580,7233,9040266667.0,10750400000.0,43493066667.0,108000000000.0,41384533333.0,33683962667.0,30122400000.0,67044800000.0,38830933333.0,15491733333.0,53754400000.0,55187733333.0,147000000000.0,7149600000.0,11295733333.0,148000000000.0,147000000000.0
 Saudi Arabia ,1999,21009660,7798,9184800000.0,10516533333.0,56061600000.0,108000000000.0,41092000000.0,34791173333.0,31518933333.0,67257600000.0,37485333333.0,16746666667.0,66504000000.0,56530666667.0,162000000000.0,7438133333.0,12264533333.0,164000000000.0,162000000000.0
 Saudi Arabia ,2000,21547390,8837,9326133333.0,11126400000.0,82259466667.0,118000000000.0,49014400000.0,36608597333.0,32886400000.0,68558579427.0,46926133333.0,18210666667.0,91527466667.0,58000800000.0,190000000000.0,7760800000.0,12755200000.0,190000000000.0,190000000000.0
 Saudi Arabia ,2001,22085929,8418,9522133333.0,11516000000.0,72980533333.0,119000000000.0,50318666667.0,36133549333.0,33625397333.0,68763168610.0,44058400000.0,18454933333.0,83361104849.0,60140266667.0,186000000000.0,8149066667.0,13278133333.0,186000000000.0,184000000000.0
 Saudi Arabia ,2002,22623415,8486,9626933333.0,11930400000.0,77641333333.0,119000000000.0,49204533333.0,37339672358.0,34150850213.0,70250623461.0,44830400000.0,19460000000.0,86175824031.0,61515200000.0,192000000000.0,8515733333.0,13796000000.0,192000000000.0,190000000000.0
